"";"finessGeo";"rs";"statut";"university";"cso";"LAB_SOFFCO";"code_postal";"ville";"longitude";"latitude";"adresse";"code_dep";"lib_dep";"code_reg";"lib_reg"
"1";"010000024";"CH DE FLEYRIAT";"public";0;0;0;1012;"BOURG-EN-BRESSE";"5.219238514";"46.202777742";"900 ROUTE DE PARIS";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"2";"010000032";"CH BUGEY SUD";"public";0;0;0;1300;"BELLEY";"5.6849667781";"45.761201117";"52 RUE GEORGES GIRERD";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"3";"010000065";"CH DE TREVOUX - MONTPENSIER";"public";0;0;0;1606;"TREVOUX";"4.7722129844";"45.940724136";"14 RUE DE L'HOPITAL";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"4";"010000099";"CH DE MEXIMIEUX";"public";0;0;0;1800;"MEXIMIEUX";"5.1945715111";"45.906187269";"13 AVENUE DU DOCTEUR BOYER";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"5";"010000107";"CH DE PONT DE VAUX";"public";0;0;0;1190;"PONT-DE-VAUX";"4.9468283136";"46.432666644";"CHEMIN DES NIVRES";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"6";"010000115";"CHIC AIN VAL DE SAONE - PONT VEYLE";"public";0;0;0;1290;"PONT-DE-VEYLE";"4.8895782487";"46.263462983";"RUE PIERRE GOUJON";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"7";"010000131";"CHIC AIN VAL DE SAONE - THOISSEY";"public";0;0;0;1140;"THOISSEY";"4.8041851112";"46.172263771";"11 RUE DE L HOPITAL";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"8";"010000180";"CH HAUTEVILLE - UNITE ESPERANCE";"public";0;0;0;1110;"HAUTEVILLE-LOMPNES";"5.6017769064";"45.976971801";"";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"9";"010000214";"CH HAUTEVILLE - UNITE ALBARINE";"public";0;0;0;1110;"HAUTEVILLE-LOMPNES";"5.6017769064";"45.976971801";"";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"10";"010005239";"CH DU HAUT BUGEY - GEOVREISSET";"public";0;0;0;1108;"OYONNAX";"5.6273411574";"46.275058165";"1 ROUTE DE VEYZIAT";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"11";"010006526";"AURAL UNITE D'AUTODIALYSE OYONNAX";"private for profit";0;0;0;1100;"OYONNAX";"5.6273411574";"46.275058165";"2 ROUTE DE VEYZIAT";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"12";"010007300";"CLINIQUE AMBULATOIRE CENDANEG";"private for profit";0;0;0;1280;"PREVESSIN-MOENS";"6.0863001071";"46.248434115";"180 ROUTE DU NANT";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"13";"010011385";"UNITÉ DE DIALYSE AMBERIEU EN BUGEY";"private for profit";0;0;0;NA;NA;NA;NA;NA;"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"14";"010780195";"CLINIQUE CONVERT BOURG-EN-B.";"private for profit";0;0;0;1000;"BOURG-EN-BRESSE";"5.2536031671";"46.211524646";"62 AVENUE DE JASSERON";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"15";"010780203";"HÔPITAL PRIVÉ D'AMBERIEU";"private for profit";0;0;0;1506;"AMBERIEU-EN-BUGEY";"5.3595460686";"45.958423261";"ENCEINTE PRAGNAT NORD";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"16";"010780294";"NEPHROCARE CH BELLEY";"private for profit";0;0;0;1300;"BELLEY";"5.6849667781";"45.761201117";"54 RUE GEORGES GIRERD";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"17";"010789006";"UNITÉ DE DIALYSE BOURG EN BRESSE";"private for profit";0;0;0;1440;"VIRIAT";"5.2096398587";"46.219242793";"6 RUE GAY LUSSAC";"01";"AIN";"84";"AUVERGNE-RHÔNE-ALPES"
"18";"020000089";"CH GUISE";"public";0;0;0;2120;"GUISE";"3.6400379651";"49.902839377";"858 RUE DES DOCTEURS DEVILLERS";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"19";"020000097";"CH LA FÈRE";"public";0;0;0;2800;"LA FERE";"3.3603686517";"49.663233464";"2 AVENUE DUPUIS";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"20";"020000105";"CH LE NOUVION-EN-THIÉRACHE";"public";0;0;0;2170;"LE NOUVION-EN-THIERACHE";"3.7789901052";"50.012290199";"40 RUE ANDRÉ RIDDERS";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"21";"020000162";"CH SAINT-QUENTIN";"public";0;0;0;2321;"SAINT-QUENTIN";"3.2691457249";"49.861843628";"1 RUE MICHEL DE L'HOSPITAL";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"22";"020000246";"CH VERVINS";"public";0;0;0;2140;"VERVINS";"3.9030879167";"49.832369532";"20 PLACE DE LA LIBERTÉ";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"23";"020000360";"CLINIQUE SAINT CHRISTOPHE";"private for profit";0;0;0;2200;"SOISSONS";"3.3122656253";"49.377328814";"30 RUE DE LA VICTOIRE";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"24";"020000394";"CH LAON";"public";0;0;0;2001;"LAON";"3.6109682573";"49.563713589";"33 RUE MARCELIN BERTHELOT";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"25";"020000519";"CH SOISSONS";"public";0;0;0;2209;"SOISSONS";"3.3358197468";"49.370910678";"46 AVENUE DU GÉNÉRAL DE GAULLE";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"26";"020000535";"CH CHAUNY";"public";0;0;0;2303;"CHAUNY";"3.2064613436";"49.619282064";"94 SQUARE DES ANCIENS COMBATTANTS";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"27";"020001061";"CH CHÂTEAU-THIERRY";"public";0;0;0;2400;"CHATEAU-THIERRY";"3.4086439767";"49.050524962";"ROUTE DE VERDILLY";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"28";"020001087";"CH HIRSON";"public";0;0;0;2500;"HIRSON";"4.0736138504";"49.924694781";"40 RUE AUX LOUPS";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"29";"020001772";"CENTRE D'AUTODIALYSE CHAUNY";"private for profit";0;0;0;2300;"CHAUNY";"3.2217269398";"49.618284659";"45 RUE PASTEUR";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"30";"020001913";"UNITÉ D'AUTODIALYSE LAON";"private for profit";0;0;0;2000;"LAON";"3.6111083196";"49.565033978";"46 RUE DU 13 OCTOBRE 1918";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"31";"020006441";"CENTRE D'AUTODIALYSE SOISSONS";"private for profit";0;0;0;2200;"COURMELLES";"3.312757484";"49.34494079";"58 PLACE ST GEORGES";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"32";"020010047";"POLYCLINIQUE ST CLAUDE";"private for profit";0;0;0;2109;"SAINT-QUENTIN";"3.3088368918";"49.859674488";"1 BOULEVARD DU DOCTEUR SCHWEITZER";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"33";"020012860";"UNITÉ D'AUTODIALYSE ST QUENTIN";"private for profit";0;0;0;2100;"SAINT-QUENTIN";"3.2657956568";"49.859012119";"263 RUE DE FAYET";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"34";"020016242";"UDM SANTÉLYS GUISE";"private for profit";0;0;0;2120;"GUISE";"3.641209271";"49.903075793";"934 RUE DES DOCTEURS DEVILLERS";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
