"";"finessGeoDP";"annee";"baria_t";"n";"TOT_y";"TOT";"AVER"
"1";"010780195";2020;"ABL";6;65;405;81
"2";"010780195";2020;"ANN";1;65;405;81
"3";"010780195";2020;"BPG";35;65;405;81
"4";"010780195";2020;"REV";3;65;405;81
"5";"010780195";2020;"SLE";20;65;405;81
"6";"010780195";2021;"ABL";3;88;405;81
"7";"010780195";2021;"BPG";65;88;405;81
"8";"010780195";2021;"GVC";1;88;405;81
"9";"010780195";2021;"REV";1;88;405;81
"10";"010780195";2021;"SLE";18;88;405;81
"11";"010780195";2022;"ABL";1;75;405;81
"12";"010780195";2022;"ANN";1;75;405;81
"13";"010780195";2022;"BPG";51;75;405;81
"14";"010780195";2022;"REV";10;75;405;81
"15";"010780195";2022;"SLE";12;75;405;81
"16";"010780195";2023;"ABL";8;94;405;81
"17";"010780195";2023;"BPG";64;94;405;81
"18";"010780195";2023;"GVC";1;94;405;81
"19";"010780195";2023;"REV";6;94;405;81
"20";"010780195";2023;"SLE";15;94;405;81
"21";"010780195";2024;"ABL";5;83;405;81
"22";"010780195";2024;"BPG";57;83;405;81
"23";"010780195";2024;"REV";6;83;405;81
"24";"010780195";2024;"SLE";15;83;405;81
"25";"010780203";2020;"ABL";21;65;558;112
"26";"010780203";2020;"ANN";8;65;558;112
"27";"010780203";2020;"BPG";16;65;558;112
"28";"010780203";2020;"SLE";20;65;558;112
"29";"010780203";2021;"ABL";18;104;558;112
"30";"010780203";2021;"ANN";4;104;558;112
"31";"010780203";2021;"BPG";34;104;558;112
"32";"010780203";2021;"REV";2;104;558;112
"33";"010780203";2021;"SLE";46;104;558;112
"34";"010780203";2022;"ABL";17;123;558;112
"35";"010780203";2022;"ANN";2;123;558;112
"36";"010780203";2022;"BPG";57;123;558;112
"37";"010780203";2022;"REV";5;123;558;112
"38";"010780203";2022;"SLE";42;123;558;112
"39";"010780203";2023;"ABL";21;153;558;112
"40";"010780203";2023;"ANN";2;153;558;112
"41";"010780203";2023;"BPG";80;153;558;112
"42";"010780203";2023;"REV";9;153;558;112
"43";"010780203";2023;"SLE";41;153;558;112
"44";"010780203";2024;"ABL";11;113;558;112
"45";"010780203";2024;"ANN";2;113;558;112
"46";"010780203";2024;"BPG";55;113;558;112
"47";"010780203";2024;"REV";9;113;558;112
"48";"010780203";2024;"SLE";36;113;558;112
"49";"020000162";2020;"ABL";1;60;321;64
"50";"020000162";2020;"BPG";7;60;321;64
"51";"020000162";2020;"SLE";52;60;321;64
"52";"020000162";2021;"ABL";4;70;321;64
"53";"020000162";2021;"BPG";10;70;321;64
"54";"020000162";2021;"DBP";1;70;321;64
"55";"020000162";2021;"REV";2;70;321;64
"56";"020000162";2021;"SLE";53;70;321;64
"57";"020000162";2022;"ABL";5;68;321;64
"58";"020000162";2022;"BPG";10;68;321;64
"59";"020000162";2022;"REV";1;68;321;64
"60";"020000162";2022;"SLE";52;68;321;64
"61";"020000162";2023;"ABL";4;63;321;64
"62";"020000162";2023;"BPG";4;63;321;64
"63";"020000162";2023;"REV";2;63;321;64
"64";"020000162";2023;"SLE";53;63;321;64
"65";"020000162";2024;"ABL";2;60;321;64
"66";"020000162";2024;"BPG";8;60;321;64
"67";"020000162";2024;"SLE";50;60;321;64
"68";"020000394";2020;"ABL";16;48;311;62
"69";"020000394";2020;"BPG";1;48;311;62
"70";"020000394";2020;"REV";6;48;311;62
"71";"020000394";2020;"SLE";25;48;311;62
"72";"020000394";2021;"ABL";21;70;311;62
"73";"020000394";2021;"BPG";5;70;311;62
"74";"020000394";2021;"REV";6;70;311;62
"75";"020000394";2021;"SLE";38;70;311;62
"76";"020000394";2022;"ABL";11;68;311;62
"77";"020000394";2022;"BPG";3;68;311;62
"78";"020000394";2022;"REV";4;68;311;62
"79";"020000394";2022;"SLE";50;68;311;62
"80";"020000394";2023;"ABL";19;59;311;62
"81";"020000394";2023;"BPG";1;59;311;62
"82";"020000394";2023;"REV";5;59;311;62
"83";"020000394";2023;"SLE";34;59;311;62
"84";"020000394";2024;"ABL";15;66;311;62
"85";"020000394";2024;"BPG";5;66;311;62
"86";"020000394";2024;"REV";4;66;311;62
"87";"020000394";2024;"SLE";42;66;311;62
"88";"020010047";2020;"ABL";1;71;377;75
"89";"020010047";2020;"ANN";5;71;377;75
"90";"020010047";2020;"BPG";14;71;377;75
"91";"020010047";2020;"REV";2;71;377;75
"92";"020010047";2020;"SLE";49;71;377;75
"93";"020010047";2021;"ABL";6;87;377;75
"94";"020010047";2021;"ANN";3;87;377;75
"95";"020010047";2021;"BPG";22;87;377;75
"96";"020010047";2021;"SLE";56;87;377;75
"97";"020010047";2022;"ABL";2;88;377;75
"98";"020010047";2022;"ANN";1;88;377;75
"99";"020010047";2022;"BPG";15;88;377;75
"100";"020010047";2022;"SLE";70;88;377;75
"101";"020010047";2023;"ABL";4;60;377;75
"102";"020010047";2023;"BPG";9;60;377;75
"103";"020010047";2023;"SLE";47;60;377;75
"104";"020010047";2024;"ABL";3;71;377;75
"105";"020010047";2024;"ANN";1;71;377;75
"106";"020010047";2024;"BPG";15;71;377;75
"107";"020010047";2024;"REV";1;71;377;75
"108";"020010047";2024;"SLE";51;71;377;75
"109";"030781116";2020;"ABL";2;22;264;53
"110";"030781116";2020;"BPG";2;22;264;53
"111";"030781116";2020;"SLE";18;22;264;53
"112";"030781116";2021;"ABL";3;66;264;53
"113";"030781116";2021;"BPG";5;66;264;53
"114";"030781116";2021;"SLE";58;66;264;53
"115";"030781116";2022;"BPG";4;44;264;53
"116";"030781116";2022;"SLE";40;44;264;53
"117";"030781116";2023;"ABL";5;65;264;53
"118";"030781116";2023;"BPG";7;65;264;53
"119";"030781116";2023;"REV";1;65;264;53
"120";"030781116";2023;"SLE";52;65;264;53
"121";"030781116";2024;"ABL";6;67;264;53
"122";"030781116";2024;"BPG";5;67;264;53
"123";"030781116";2024;"REV";2;67;264;53
"124";"030781116";2024;"SLE";54;67;264;53
"125";"060000510";2020;"ABL";1;59;462;92
"126";"060000510";2020;"BPG";50;59;462;92
"127";"060000510";2020;"REV";2;59;462;92
"128";"060000510";2020;"SLE";6;59;462;92
"129";"060000510";2021;"ABL";1;124;462;92
"130";"060000510";2021;"BPG";97;124;462;92
"131";"060000510";2021;"REV";4;124;462;92
"132";"060000510";2021;"SLE";22;124;462;92
"133";"060000510";2022;"ABL";1;110;462;92
"134";"060000510";2022;"BPG";85;110;462;92
"135";"060000510";2022;"REV";1;110;462;92
"136";"060000510";2022;"SLE";23;110;462;92
"137";"060000510";2023;"BPG";56;81;462;92
"138";"060000510";2023;"REV";2;81;462;92
"139";"060000510";2023;"SLE";23;81;462;92
"140";"060000510";2024;"BPG";74;88;462;92
"141";"060000510";2024;"SLE";14;88;462;92
"142";"060021417";2020;"BPG";28;48;391;78
"143";"060021417";2020;"REV";1;48;391;78
"144";"060021417";2020;"SLE";19;48;391;78
"145";"060021417";2021;"ABL";1;80;391;78
"146";"060021417";2021;"ANN";1;80;391;78
"147";"060021417";2021;"BPG";41;80;391;78
"148";"060021417";2021;"REV";2;80;391;78
"149";"060021417";2021;"SLE";35;80;391;78
"150";"060021417";2022;"ABL";1;80;391;78
"151";"060021417";2022;"BPG";40;80;391;78
"152";"060021417";2022;"REV";4;80;391;78
"153";"060021417";2022;"SLE";35;80;391;78
"154";"060021417";2023;"ABL";2;96;391;78
"155";"060021417";2023;"BPG";44;96;391;78
"156";"060021417";2023;"REV";1;96;391;78
"157";"060021417";2023;"SLE";49;96;391;78
"158";"060021417";2024;"ANN";2;87;391;78
"159";"060021417";2024;"BPG";38;87;391;78
"160";"060021417";2024;"REV";3;87;391;78
"161";"060021417";2024;"SLE";44;87;391;78
"162";"060780491";2020;"ABL";5;98;478;96
"163";"060780491";2020;"ANN";1;98;478;96
"164";"060780491";2020;"BPG";14;98;478;96
"165";"060780491";2020;"DBP";2;98;478;96
"166";"060780491";2020;"REV";9;98;478;96
"167";"060780491";2020;"SLE";67;98;478;96
"168";"060780491";2021;"ABL";4;101;478;96
"169";"060780491";2021;"ANN";1;101;478;96
"170";"060780491";2021;"BPG";18;101;478;96
"171";"060780491";2021;"DBP";2;101;478;96
"172";"060780491";2021;"REV";4;101;478;96
"173";"060780491";2021;"SLE";72;101;478;96
"174";"060780491";2022;"ABL";5;99;478;96
"175";"060780491";2022;"BPG";45;99;478;96
"176";"060780491";2022;"REV";7;99;478;96
"177";"060780491";2022;"SLE";42;99;478;96
"178";"060780491";2023;"ABL";2;78;478;96
"179";"060780491";2023;"BPG";44;78;478;96
"180";"060780491";2023;"REV";13;78;478;96
"181";"060780491";2023;"SLE";19;78;478;96
"182";"060780491";2024;"ANN";1;102;478;96
"183";"060780491";2024;"BPG";55;102;478;96
"184";"060780491";2024;"DBP";1;102;478;96
"185";"060780491";2024;"REV";6;102;478;96
"186";"060780491";2024;"SLE";39;102;478;96
"187";"060780590";2020;"ABL";7;95;336;67
"188";"060780590";2020;"BPG";20;95;336;67
"189";"060780590";2020;"REV";2;95;336;67
"190";"060780590";2020;"SLE";66;95;336;67
"191";"060780590";2021;"ABL";2;84;336;67
"192";"060780590";2021;"ANN";1;84;336;67
"193";"060780590";2021;"BPG";33;84;336;67
"194";"060780590";2021;"REV";1;84;336;67
"195";"060780590";2021;"SLE";47;84;336;67
"196";"060780590";2022;"BPG";27;63;336;67
"197";"060780590";2022;"REV";1;63;336;67
"198";"060780590";2022;"SLE";35;63;336;67
"199";"060780590";2023;"ABL";3;37;336;67
"200";"060780590";2023;"BPG";25;37;336;67
"201";"060780590";2023;"REV";1;37;336;67
"202";"060780590";2023;"SLE";8;37;336;67
"203";"060780590";2024;"ABL";2;57;336;67
"204";"060780590";2024;"BPG";34;57;336;67
"205";"060780590";2024;"REV";4;57;336;67
"206";"060780590";2024;"SLE";17;57;336;67
"207";"060780715";2020;"ABL";1;63;351;70
"208";"060780715";2020;"BPG";7;63;351;70
"209";"060780715";2020;"REV";4;63;351;70
"210";"060780715";2020;"SLE";51;63;351;70
"211";"060780715";2021;"ABL";3;89;351;70
"212";"060780715";2021;"BPG";5;89;351;70
"213";"060780715";2021;"REV";2;89;351;70
"214";"060780715";2021;"SLE";79;89;351;70
"215";"060780715";2022;"ABL";2;75;351;70
"216";"060780715";2022;"BPG";3;75;351;70
"217";"060780715";2022;"REV";4;75;351;70
"218";"060780715";2022;"SLE";66;75;351;70
"219";"060780715";2023;"BPG";12;77;351;70
