"";"finessGeoDP";"annee";"vda";"n";"TOT";"PCT"
"1";"010780195";2020;"COE";62;65;95,4
"2";"010780195";2020;"LAP";3;65;4,6
"3";"010780195";2021;"COE";88;88;100
"4";"010780195";2022;"COE";65;75;86,7
"5";"010780195";2022;"LAP";10;75;13,3
"6";"010780195";2023;"COE";90;94;95,7
"7";"010780195";2023;"LAP";4;94;4,3
"8";"010780195";2024;"COE";77;83;92,8
"9";"010780195";2024;"LAP";5;83;6
"10";"010780195";2024;"ROB";1;83;1,2
"11";"010780203";2020;"COE";65;65;100
"12";"010780203";2021;"COE";99;104;95,2
"13";"010780203";2021;"LAP";5;104;4,8
"14";"010780203";2022;"COE";114;123;92,7
"15";"010780203";2022;"LAP";9;123;7,3
"16";"010780203";2023;"COE";136;153;88,9
"17";"010780203";2023;"LAP";17;153;11,1
"18";"010780203";2024;"COE";105;113;92,9
"19";"010780203";2024;"LAP";8;113;7,1
"20";"020000162";2020;"COE";60;60;100
"21";"020000162";2021;"COE";68;70;97,1
"22";"020000162";2021;"LAP";2;70;2,9
"23";"020000162";2022;"COE";65;67;97
"24";"020000162";2022;"LAP";2;67;3
"25";"020000162";2023;"COE";60;63;95,2
"26";"020000162";2023;"LAP";3;63;4,8
"27";"020000162";2024;"COE";28;60;46,7
"28";"020000162";2024;"ROB";32;60;53,3
"29";"020000394";2020;"COE";40;48;83,3
"30";"020000394";2020;"LAP";8;48;16,7
"31";"020000394";2021;"COE";61;70;87,1
"32";"020000394";2021;"LAP";9;70;12,9
"33";"020000394";2022;"COE";61;68;89,7
"34";"020000394";2022;"LAP";7;68;10,3
"35";"020000394";2023;"COE";53;59;89,8
"36";"020000394";2023;"LAP";6;59;10,2
"37";"020000394";2024;"COE";57;66;86,4
"38";"020000394";2024;"LAP";9;66;13,6
"39";"020000519";2020;"COE";17;18;94,4
"40";"020000519";2020;"LAP";1;18;5,6
"41";"020000519";2021;"COE";23;23;100
"42";"020000519";2022;"COE";57;58;98,3
"43";"020000519";2022;"LAP";1;58;1,7
"44";"020000519";2023;"COE";54;55;98,2
"45";"020000519";2023;"LAP";1;55;1,8
"46";"020000519";2024;"COE";71;71;100
"47";"020010047";2020;"COE";70;71;98,6
"48";"020010047";2020;"LAP";1;71;1,4
"49";"020010047";2021;"COE";87;87;100
"50";"020010047";2022;"COE";87;88;98,9
"51";"020010047";2022;"LAP";1;88;1,1
"52";"020010047";2023;"COE";60;60;100
"53";"020010047";2024;"COE";70;71;98,6
"54";"020010047";2024;"LAP";1;71;1,4
"55";"030781116";2020;"COE";22;22;100
"56";"030781116";2021;"COE";65;66;98,5
"57";"030781116";2021;"LAP";1;66;1,5
"58";"030781116";2022;"COE";44;44;100
"59";"030781116";2023;"COE";64;65;98,5
"60";"030781116";2023;"LAP";1;65;1,5
"61";"030781116";2024;"COE";67;67;100
"62";"040000093";2020;"COE";25;29;86,2
"63";"040000093";2020;"LAP";4;29;13,8
"64";"040000093";2021;"COE";15;15;100
"65";"040000093";2022;"COE";34;36;94,4
"66";"040000093";2022;"LAP";2;36;5,6
"67";"040000093";2023;"COE";39;41;95,1
"68";"040000093";2023;"LAP";2;41;4,9
"69";"040000093";2024;"COE";29;31;93,5
"70";"040000093";2024;"LAP";2;31;6,5
"71";"050000348";2020;"COE";44;49;89,8
"72";"050000348";2020;"ROB";5;49;10,2
"73";"050000348";2021;"COE";48;54;88,9
"74";"050000348";2021;"ROB";6;54;11,1
"75";"050000348";2022;"COE";44;49;89,8
"76";"050000348";2022;"ROB";5;49;10,2
"77";"050000348";2023;"COE";27;33;81,8
"78";"050000348";2023;"ROB";6;33;18,2
"79";"050000348";2024;"COE";10;53;18,9
"80";"050000348";2024;"ROB";43;53;81,1
"81";"060000478";2020;"COE";11;12;91,7
"82";"060000478";2020;"LAP";1;12;8,3
"83";"060000478";2021;"COE";37;37;100
"84";"060000478";2022;"COE";29;29;100
"85";"060000478";2023;"COE";35;35;100
"86";"060000478";2024;"COE";27;27;100
"87";"060000510";2020;"COE";58;58;100
"88";"060000510";2021;"COE";119;124;96
"89";"060000510";2021;"LAP";4;124;3,2
"90";"060000510";2021;"ROB";1;124;0,8
"91";"060000510";2022;"COE";108;110;98,2
"92";"060000510";2022;"LAP";2;110;1,8
"93";"060000510";2023;"COE";81;81;100
"94";"060000510";2024;"COE";88;88;100
"95";"060021417";2020;"COE";47;48;97,9
"96";"060021417";2020;"LAP";1;48;2,1
"97";"060021417";2021;"COE";76;80;95
"98";"060021417";2021;"LAP";2;80;2,5
"99";"060021417";2021;"ROB";2;80;2,5
"100";"060021417";2022;"COE";71;80;88,7
"101";"060021417";2022;"LAP";3;80;3,8
"102";"060021417";2022;"ROB";6;80;7,5
"103";"060021417";2023;"COE";94;96;97,9
"104";"060021417";2023;"LAP";1;96;1
"105";"060021417";2023;"ROB";1;96;1
"106";"060021417";2024;"COE";81;87;93,1
"107";"060021417";2024;"LAP";1;87;1,1
"108";"060021417";2024;"ROB";5;87;5,7
"109";"060780491";2020;"COE";83;98;84,7
"110";"060780491";2020;"LAP";4;98;4,1
"111";"060780491";2020;"ROB";11;98;11,2
"112";"060780491";2021;"COE";77;101;76,2
"113";"060780491";2021;"LAP";4;101;4
"114";"060780491";2021;"ROB";20;101;19,8
"115";"060780491";2022;"COE";94;99;94,9
"116";"060780491";2022;"LAP";3;99;3
"117";"060780491";2022;"ROB";2;99;2
"118";"060780491";2023;"COE";61;78;78,2
"119";"060780491";2023;"LAP";11;78;14,1
"120";"060780491";2023;"ROB";6;78;7,7
"121";"060780491";2024;"COE";62;102;60,8
"122";"060780491";2024;"LAP";4;102;3,9
"123";"060780491";2024;"ROB";36;102;35,3
"124";"060780590";2020;"COE";95;95;100
"125";"060780590";2021;"COE";81;84;96,4
"126";"060780590";2021;"ROB";3;84;3,6
"127";"060780590";2022;"COE";61;63;96,8
"128";"060780590";2022;"ROB";2;63;3,2
"129";"060780590";2023;"COE";36;37;97,3
"130";"060780590";2023;"LAP";1;37;2,7
"131";"060780590";2024;"COE";54;57;94,7
"132";"060780590";2024;"ROB";3;57;5,3
"133";"060780715";2020;"COE";59;63;93,7
"134";"060780715";2020;"LAP";4;63;6,3
"135";"060780715";2021;"COE";87;89;97,8
"136";"060780715";2021;"LAP";2;89;2,2
"137";"060780715";2022;"COE";74;75;98,7
"138";"060780715";2022;"LAP";1;75;1,3
"139";"060780715";2023;"COE";21;77;27,3
"140";"060780715";2023;"LAP";2;77;2,6
"141";"060780715";2023;"ROB";54;77;70,1
"142";"060780715";2024;"COE";6;47;12,8
"143";"060780715";2024;"LAP";5;47;10,6
"144";"060780715";2024;"ROB";36;47;76,6
"145";"060789195";2020;"COE";207;213;97,2
"146";"060789195";2020;"LAP";6;213;2,8
"147";"060789195";2021;"COE";204;205;99,5
"148";"060789195";2021;"LAP";1;205;0,5
"149";"060789195";2022;"COE";228;228;100
"150";"060789195";2023;"COE";192;196;98
"151";"060789195";2023;"LAP";3;196;1,5
"152";"060789195";2023;"ROB";1;196;0,5
"153";"060789195";2024;"COE";83;135;61,5
"154";"060789195";2024;"LAP";13;135;9,6
"155";"060789195";2024;"ROB";39;135;28,9
"156";"060800166";2020;"COE";22;23;95,7
"157";"060800166";2020;"LAP";1;23;4,3
"158";"060800166";2021;"COE";35;35;100
"159";"060800166";2022;"COE";33;34;97,1
"160";"060800166";2022;"LAP";1;34;2,9
"161";"060800166";2023;"COE";30;33;90,9
"162";"060800166";2023;"LAP";1;33;3
"163";"060800166";2023;"ROB";2;33;6,1
"164";"060800166";2024;"COE";12;12;100
"165";"070780424";2020;"COE";118;124;95,2
"166";"070780424";2020;"LAP";6;124;4,8
"167";"070780424";2021;"COE";141;146;96,6
"168";"070780424";2021;"LAP";5;146;3,4
"169";"070780424";2022;"COE";135;146;92,5
"170";"070780424";2022;"LAP";11;146;7,5
"171";"070780424";2023;"COE";95;101;94,1
"172";"070780424";2023;"LAP";6;101;5,9
"173";"070780424";2024;"COE";79;93;84,9
"174";"070780424";2024;"LAP";4;93;4,3
"175";"070780424";2024;"ROB";10;93;10,8
"176";"080010473";2020;"COE";89;90;98,9
"177";"080010473";2020;"LAP";1;90;1,1
"178";"080010473";2021;"COE";141;143;98,6
"179";"080010473";2021;"LAP";2;143;1,4
"180";"080010473";2022;"COE";135;135;100
"181";"080010473";2023;"COE";125;125;100
"182";"080010473";2024;"COE";127;127;100
"183";"100000082";2020;"COE";104;106;98,1
"184";"100000082";2020;"LAP";2;106;1,9
"185";"100000082";2021;"COE";111;111;100
"186";"100000082";2022;"COE";50;50;100
"187";"100000124";2020;"COE";101;103;98,1
"188";"100000124";2020;"LAP";2;103;1,9
"189";"100000124";2021;"COE";134;134;100
"190";"100000124";2022;"COE";184;187;98,4
"191";"100000124";2022;"LAP";3;187;1,6
"192";"100000124";2023;"COE";147;149;98,7
"193";"100000124";2023;"LAP";2;149;1,3
"194";"100000124";2024;"COE";96;101;95
"195";"100000124";2024;"LAP";5;101;5
"196";"100010818";2020;"COE";12;12;100
"197";"100010818";2021;"COE";30;34;88,2
"198";"100010818";2021;"LAP";4;34;11,8
"199";"100010818";2022;"COE";52;52;100
"200";"100010818";2023;"COE";110;110;100
"201";"100010818";2024;"COE";99;99;100
"202";"110000023";2020;"COE";63;63;100
"203";"110000023";2021;"COE";117;118;99,2
"204";"110000023";2021;"LAP";1;118;0,8
"205";"110000023";2022;"COE";114;117;97,4
"206";"110000023";2022;"LAP";3;117;2,6
"207";"110000023";2023;"COE";119;120;99,2
"208";"110000023";2023;"LAP";1;120;0,8
"209";"110000023";2024;"COE";95;100;95
"210";"110000023";2024;"LAP";4;100;4
"211";"110000023";2024;"ROB";1;100;1
"212";"110000056";2020;"COE";28;31;90,3
"213";"110000056";2020;"ROB";3;31;9,7
"214";"110000056";2021;"COE";45;50;90
"215";"110000056";2021;"LAP";1;50;2
"216";"110000056";2021;"ROB";4;50;8
"217";"110000056";2022;"COE";50;55;90,9
"218";"110000056";2022;"LAP";3;55;5,5
"219";"110000056";2022;"ROB";2;55;3,6
"220";"110000056";2023;"COE";36;37;97,3
"221";"110000056";2023;"LAP";1;37;2,7
"222";"110000056";2024;"COE";44;45;97,8
"223";"110000056";2024;"LAP";1;45;2,2
"224";"130000409";2020;"COE";36;37;97,3
"225";"130000409";2020;"LAP";1;37;2,7
"226";"130000409";2021;"COE";36;37;97,3
"227";"130000409";2021;"LAP";1;37;2,7
"228";"130000409";2022;"COE";59;59;100
"229";"130000409";2023;"COE";51;51;100
"230";"130000409";2024;"COE";32;32;100
"231";"130001225";2020;"COE";56;56;100
"232";"130001225";2021;"COE";64;64;100
"233";"130001225";2022;"COE";81;82;98,8
"234";"130001225";2022;"LAP";1;82;1,2
"235";"130001225";2023;"COE";61;61;100
"236";"130001225";2024;"COE";53;53;100
"237";"130037922";2020;"COE";27;31;87,1
"238";"130037922";2020;"LAP";4;31;12,9
"239";"130043664";2020;"COE";328;351;93,4
"240";"130043664";2020;"LAP";18;351;5,1
"241";"130043664";2020;"ROB";5;351;1,4
"242";"130043664";2021;"COE";326;373;87,4
"243";"130043664";2021;"LAP";42;373;11,3
"244";"130043664";2021;"ROB";5;373;1,3
"245";"130043664";2022;"COE";244;291;83,8
"246";"130043664";2022;"LAP";40;291;13,7
"247";"130043664";2022;"ROB";7;291;2,4
"248";"130043664";2023;"COE";225;297;75,8
"249";"130043664";2023;"LAP";47;297;15,8
"250";"130043664";2023;"ROB";25;297;8,4
"251";"130043664";2024;"COE";235;301;78,1
"252";"130043664";2024;"LAP";32;301;10,6
"253";"130043664";2024;"ROB";34;301;11,3
"254";"130780521";2020;"COE";43;50;86
"255";"130780521";2020;"LAP";6;50;12
"256";"130780521";2020;"ROB";1;50;2
"257";"130780521";2021;"COE";75;81;92,6
"258";"130780521";2021;"LAP";5;81;6,2
"259";"130780521";2021;"ROB";1;81;1,2
"260";"130780521";2022;"COE";53;55;96,4
"261";"130780521";2022;"LAP";2;55;3,6
"262";"130780521";2023;"COE";78;89;87,6
"263";"130780521";2023;"LAP";9;89;10,1
"264";"130780521";2023;"ROB";2;89;2,2
"265";"130780521";2024;"COE";86;114;75,4
"266";"130780521";2024;"LAP";3;114;2,6
"267";"130780521";2024;"ROB";25;114;21,9
"268";"130781479";2020;"COE";93;108;86,1
"269";"130781479";2020;"LAP";8;108;7,4
"270";"130781479";2020;"ROB";7;108;6,5
"271";"130781479";2021;"COE";139;164;84,8
"272";"130781479";2021;"LAP";9;164;5,5
"273";"130781479";2021;"ROB";16;164;9,8
"274";"130781479";2022;"COE";132;170;77,6
"275";"130781479";2022;"LAP";13;170;7,6
"276";"130781479";2022;"ROB";25;170;14,7
"277";"130781479";2023;"COE";126;165;76,4
"278";"130781479";2023;"LAP";7;165;4,2
"279";"130781479";2023;"ROB";32;165;19,4
"280";"130781479";2024;"COE";120;169;71
"281";"130781479";2024;"LAP";12;169;7,1
"282";"130781479";2024;"ROB";37;169;21,9
"283";"130782162";2020;"COE";49;49;100
"284";"130782162";2021;"COE";131;131;100
"285";"130782162";2022;"COE";127;130;97,7
"286";"130782162";2022;"ROB";3;130;2,3
"287";"130782162";2023;"COE";99;105;94,3
"288";"130782162";2023;"ROB";6;105;5,7
"289";"130782162";2024;"COE";96;97;99
"290";"130782162";2024;"ROB";1;97;1
"291";"130783236";2020;"COE";78;125;62,4
"292";"130783236";2020;"LAP";13;125;10,4
"293";"130783236";2020;"ROB";34;125;27,2
"294";"130783236";2021;"COE";18;150;12
