"";"finessGeoDP";"annee";"baria_t";"redo";"n";"TOT_y";"TOT";"AVER"
"1";"010000024";2020;"SLE";0;6;6;54;14
"2";"010000024";2021;"ABL";1;1;26;54;14
"3";"010000024";2021;"BPG";0;2;26;54;14
"4";"010000024";2021;"REV";1;1;26;54;14
"5";"010000024";2021;"SLE";0;22;26;54;14
"6";"010000024";2022;"SLE";0;16;16;54;14
"7";"010000024";2023;"BPG";0;1;6;54;14
"8";"010000024";2023;"SLE";0;5;6;54;14
"9";"010000032";2020;"ABL";1;1;7;49;10
"10";"010000032";2020;"SLE";0;6;7;49;10
"11";"010000032";2021;"REV";1;1;10;49;10
"12";"010000032";2021;"SLE";0;9;10;49;10
"13";"010000032";2022;"ABL";1;2;16;49;10
"14";"010000032";2022;"SLE";0;13;16;49;10
"15";"010000032";2022;"SLE";1;1;16;49;10
"16";"010000032";2023;"ABL";1;3;11;49;10
"17";"010000032";2023;"SLE";0;8;11;49;10
"18";"010000032";2024;"SLE";0;4;5;49;10
"19";"010000032";2024;"SLE";1;1;5;49;10
"20";"010780195";2020;"ABL";1;6;65;405;81
"21";"010780195";2020;"ANN";1;1;65;405;81
"22";"010780195";2020;"BPG";0;26;65;405;81
"23";"010780195";2020;"BPG";1;9;65;405;81
"24";"010780195";2020;"REV";1;3;65;405;81
"25";"010780195";2020;"SLE";0;19;65;405;81
"26";"010780195";2020;"SLE";1;1;65;405;81
"27";"010780195";2021;"ABL";1;3;88;405;81
"28";"010780195";2021;"BPG";0;45;88;405;81
"29";"010780195";2021;"BPG";1;20;88;405;81
"30";"010780195";2021;"GVC";1;1;88;405;81
"31";"010780195";2021;"REV";1;1;88;405;81
"32";"010780195";2021;"SLE";0;18;88;405;81
"33";"010780195";2022;"ABL";1;1;75;405;81
"34";"010780195";2022;"ANN";1;1;75;405;81
"35";"010780195";2022;"BPG";0;38;75;405;81
"36";"010780195";2022;"BPG";1;13;75;405;81
"37";"010780195";2022;"REV";1;10;75;405;81
"38";"010780195";2022;"SLE";0;12;75;405;81
"39";"010780195";2023;"ABL";1;8;94;405;81
"40";"010780195";2023;"BPG";0;44;94;405;81
"41";"010780195";2023;"BPG";1;20;94;405;81
"42";"010780195";2023;"GVC";1;1;94;405;81
"43";"010780195";2023;"REV";1;6;94;405;81
"44";"010780195";2023;"SLE";0;15;94;405;81
"45";"010780195";2024;"ABL";1;5;83;405;81
"46";"010780195";2024;"BPG";0;42;83;405;81
"47";"010780195";2024;"BPG";1;15;83;405;81
"48";"010780195";2024;"REV";0;1;83;405;81
"49";"010780195";2024;"REV";1;5;83;405;81
"50";"010780195";2024;"SLE";0;15;83;405;81
"51";"010780203";2020;"ABL";1;21;65;558;112
"52";"010780203";2020;"ANN";0;5;65;558;112
"53";"010780203";2020;"ANN";1;3;65;558;112
"54";"010780203";2020;"BPG";0;9;65;558;112
"55";"010780203";2020;"BPG";1;7;65;558;112
"56";"010780203";2020;"SLE";0;18;65;558;112
"57";"010780203";2020;"SLE";1;2;65;558;112
"58";"010780203";2021;"ABL";1;18;104;558;112
"59";"010780203";2021;"ANN";0;4;104;558;112
"60";"010780203";2021;"BPG";0;18;104;558;112
"61";"010780203";2021;"BPG";1;16;104;558;112
"62";"010780203";2021;"REV";1;2;104;558;112
"63";"010780203";2021;"SLE";0;43;104;558;112
"64";"010780203";2021;"SLE";1;3;104;558;112
"65";"010780203";2022;"ABL";1;17;123;558;112
"66";"010780203";2022;"ANN";0;1;123;558;112
"67";"010780203";2022;"ANN";1;1;123;558;112
"68";"010780203";2022;"BPG";0;26;123;558;112
"69";"010780203";2022;"BPG";1;31;123;558;112
"70";"010780203";2022;"REV";1;5;123;558;112
"71";"010780203";2022;"SLE";0;41;123;558;112
"72";"010780203";2022;"SLE";1;1;123;558;112
"73";"010780203";2023;"ABL";1;21;153;558;112
"74";"010780203";2023;"ANN";0;1;153;558;112
"75";"010780203";2023;"ANN";1;1;153;558;112
"76";"010780203";2023;"BPG";0;47;153;558;112
"77";"010780203";2023;"BPG";1;33;153;558;112
"78";"010780203";2023;"REV";1;9;153;558;112
"79";"010780203";2023;"SLE";0;40;153;558;112
"80";"010780203";2023;"SLE";1;1;153;558;112
"81";"010780203";2024;"ABL";1;11;113;558;112
"82";"010780203";2024;"ANN";1;2;113;558;112
"83";"010780203";2024;"BPG";0;33;113;558;112
"84";"010780203";2024;"BPG";1;22;113;558;112
"85";"010780203";2024;"REV";1;9;113;558;112
"86";"010780203";2024;"SLE";0;35;113;558;112
"87";"010780203";2024;"SLE";1;1;113;558;112
"88";"020000162";2020;"ABL";1;1;60;321;64
"89";"020000162";2020;"BPG";0;5;60;321;64
"90";"020000162";2020;"BPG";1;2;60;321;64
"91";"020000162";2020;"SLE";0;51;60;321;64
"92";"020000162";2020;"SLE";1;1;60;321;64
"93";"020000162";2021;"ABL";1;4;70;321;64
"94";"020000162";2021;"BPG";0;6;70;321;64
"95";"020000162";2021;"BPG";1;4;70;321;64
"96";"020000162";2021;"DBP";0;1;70;321;64
"97";"020000162";2021;"REV";1;2;70;321;64
"98";"020000162";2021;"SLE";0;46;70;321;64
"99";"020000162";2021;"SLE";1;7;70;321;64
"100";"020000162";2022;"ABL";1;5;68;321;64
"101";"020000162";2022;"BPG";0;8;68;321;64
"102";"020000162";2022;"BPG";1;2;68;321;64
"103";"020000162";2022;"REV";1;1;68;321;64
"104";"020000162";2022;"SLE";0;51;68;321;64
"105";"020000162";2022;"SLE";1;1;68;321;64
"106";"020000162";2023;"ABL";1;4;63;321;64
"107";"020000162";2023;"BPG";0;2;63;321;64
"108";"020000162";2023;"BPG";1;2;63;321;64
"109";"020000162";2023;"REV";1;2;63;321;64
"110";"020000162";2023;"SLE";0;52;63;321;64
"111";"020000162";2023;"SLE";1;1;63;321;64
"112";"020000162";2024;"ABL";1;2;60;321;64
"113";"020000162";2024;"BPG";0;5;60;321;64
"114";"020000162";2024;"BPG";1;3;60;321;64
"115";"020000162";2024;"SLE";0;50;60;321;64
"116";"020000360";2021;"ABL";1;1;4;23;6
"117";"020000360";2021;"SLE";0;3;4;23;6
"118";"020000360";2022;"ABL";1;6;15;23;6
"119";"020000360";2022;"SLE";0;6;15;23;6
"120";"020000360";2022;"SLE";1;3;15;23;6
"121";"020000360";2023;"ABL";1;1;2;23;6
"122";"020000360";2023;"SLE";0;1;2;23;6
"123";"020000360";2024;"ABL";1;2;2;23;6
"124";"020000394";2020;"ABL";1;16;48;311;62
"125";"020000394";2020;"BPG";1;1;48;311;62
"126";"020000394";2020;"REV";1;6;48;311;62
"127";"020000394";2020;"SLE";0;17;48;311;62
"128";"020000394";2020;"SLE";1;8;48;311;62
"129";"020000394";2021;"ABL";1;21;70;311;62
"130";"020000394";2021;"BPG";1;5;70;311;62
"131";"020000394";2021;"REV";1;6;70;311;62
"132";"020000394";2021;"SLE";0;30;70;311;62
"133";"020000394";2021;"SLE";1;8;70;311;62
"134";"020000394";2022;"ABL";1;11;68;311;62
"135";"020000394";2022;"BPG";1;3;68;311;62
"136";"020000394";2022;"REV";1;4;68;311;62
"137";"020000394";2022;"SLE";0;43;68;311;62
"138";"020000394";2022;"SLE";1;7;68;311;62
"139";"020000394";2023;"ABL";1;19;59;311;62
"140";"020000394";2023;"BPG";1;1;59;311;62
"141";"020000394";2023;"REV";1;5;59;311;62
"142";"020000394";2023;"SLE";0;30;59;311;62
"143";"020000394";2023;"SLE";1;4;59;311;62
"144";"020000394";2024;"ABL";1;15;66;311;62
"145";"020000394";2024;"BPG";1;5;66;311;62
"146";"020000394";2024;"REV";1;4;66;311;62
"147";"020000394";2024;"SLE";0;35;66;311;62
"148";"020000394";2024;"SLE";1;7;66;311;62
"149";"020000519";2020;"REV";1;2;18;225;45
"150";"020000519";2020;"SLE";0;14;18;225;45
"151";"020000519";2020;"SLE";1;2;18;225;45
"152";"020000519";2021;"ABL";1;2;23;225;45
"153";"020000519";2021;"BPG";1;2;23;225;45
"154";"020000519";2021;"SLE";0;19;23;225;45
"155";"020000519";2022;"ABL";1;1;58;225;45
"156";"020000519";2022;"BPG";0;4;58;225;45
"157";"020000519";2022;"BPG";1;3;58;225;45
"158";"020000519";2022;"REV";1;2;58;225;45
"159";"020000519";2022;"SLE";0;44;58;225;45
"160";"020000519";2022;"SLE";1;4;58;225;45
"161";"020000519";2023;"ABL";1;2;55;225;45
"162";"020000519";2023;"BPG";0;4;55;225;45
"163";"020000519";2023;"BPG";1;1;55;225;45
"164";"020000519";2023;"SLE";0;46;55;225;45
"165";"020000519";2023;"SLE";1;2;55;225;45
"166";"020000519";2024;"ABL";1;4;71;225;45
"167";"020000519";2024;"BPG";0;1;71;225;45
"168";"020000519";2024;"BPG";1;5;71;225;45
"169";"020000519";2024;"REV";1;1;71;225;45
"170";"020000519";2024;"SLE";0;56;71;225;45
"171";"020000519";2024;"SLE";1;4;71;225;45
"172";"020000535";2020;"ABL";1;1;1;3;2
"173";"020000535";2022;"ABL";1;2;2;3;2
"174";"020001061";2020;"REV";1;1;2;2;2
"175";"020001061";2020;"SLE";0;1;2;2;2
"176";"020010047";2020;"ABL";1;1;71;377;75
"177";"020010047";2020;"ANN";0;5;71;377;75
"178";"020010047";2020;"BPG";0;8;71;377;75
"179";"020010047";2020;"BPG";1;6;71;377;75
"180";"020010047";2020;"REV";1;2;71;377;75
"181";"020010047";2020;"SLE";0;49;71;377;75
"182";"020010047";2021;"ABL";1;6;87;377;75
"183";"020010047";2021;"ANN";0;3;87;377;75
"184";"020010047";2021;"BPG";0;14;87;377;75
"185";"020010047";2021;"BPG";1;8;87;377;75
"186";"020010047";2021;"SLE";0;56;87;377;75
"187";"020010047";2022;"ABL";1;2;88;377;75
"188";"020010047";2022;"ANN";0;1;88;377;75
"189";"020010047";2022;"BPG";0;8;88;377;75
"190";"020010047";2022;"BPG";1;7;88;377;75
"191";"020010047";2022;"SLE";0;68;88;377;75
"192";"020010047";2022;"SLE";1;2;88;377;75
"193";"020010047";2023;"ABL";1;4;60;377;75
"194";"020010047";2023;"BPG";0;2;60;377;75
"195";"020010047";2023;"BPG";1;7;60;377;75
"196";"020010047";2023;"SLE";0;47;60;377;75
"197";"020010047";2024;"ABL";1;3;71;377;75
"198";"020010047";2024;"ANN";0;1;71;377;75
"199";"020010047";2024;"BPG";0;10;71;377;75
"200";"020010047";2024;"BPG";1;5;71;377;75
"201";"020010047";2024;"REV";1;1;71;377;75
"202";"020010047";2024;"SLE";0;51;71;377;75
"203";"030000061";2020;"BPG";0;1;7;17;8
"204";"030000061";2020;"REV";1;1;7;17;8
"205";"030000061";2020;"SLE";0;5;7;17;8
"206";"030000061";2021;"ABL";1;2;10;17;8
"207";"030000061";2021;"BPG";1;1;10;17;8
"208";"030000061";2021;"SLE";0;7;10;17;8
"209";"030000079";2021;"ABL";1;1;1;4;1
"210";"030000079";2022;"REV";0;1;2;4;1
"211";"030000079";2022;"REV";1;1;2;4;1
"212";"030000079";2023;"ABL";1;1;1;4;1
"213";"030000087";2020;"ABL";1;6;15;99;20
"214";"030000087";2020;"SLE";0;9;15;99;20
"215";"030000087";2021;"ABL";1;1;8;99;20
"216";"030000087";2021;"BPG";1;1;8;99;20
"217";"030000087";2021;"SLE";0;5;8;99;20
"218";"030000087";2021;"SLE";1;1;8;99;20
"219";"030000087";2022;"ABL";1;2;32;99;20
"220";"030000087";2022;"BPG";0;1;32;99;20
"221";"030000087";2022;"BPG";1;2;32;99;20
"222";"030000087";2022;"DBP";0;1;32;99;20
"223";"030000087";2022;"SLE";0;24;32;99;20
"224";"030000087";2022;"SLE";1;2;32;99;20
"225";"030000087";2023;"ABL";1;2;27;99;20
"226";"030000087";2023;"BPG";1;6;27;99;20
"227";"030000087";2023;"SLE";0;19;27;99;20
"228";"030000087";2024;"ABL";1;3;17;99;20
"229";"030000087";2024;"BPG";0;1;17;99;20
"230";"030000087";2024;"BPG";1;3;17;99;20
"231";"030000087";2024;"SLE";0;10;17;99;20
"232";"030781116";2020;"ABL";1;2;22;264;53
"233";"030781116";2020;"BPG";0;2;22;264;53
"234";"030781116";2020;"SLE";0;17;22;264;53
"235";"030781116";2020;"SLE";1;1;22;264;53
