"";"finessGeoDP";"annee";"vda";"baria_t";"redo";"n";"TOT";"PCT"
"1";"010780195";2020;"COE";"ABL";1;6;6;100
"2";"010780195";2020;"COE";"ANN";1;1;1;100
"3";"010780195";2020;"COE";"BPG";0;25;34;73,5
"4";"010780195";2020;"COE";"BPG";1;9;34;26,5
"5";"010780195";2020;"COE";"REV";1;1;1;100
"6";"010780195";2020;"COE";"SLE";0;19;20;95
"7";"010780195";2020;"COE";"SLE";1;1;20;5
"8";"010780195";2020;"LAP";"BPG";0;1;1;100
"9";"010780195";2020;"LAP";"REV";1;2;2;100
"10";"010780195";2021;"COE";"ABL";1;3;3;100
"11";"010780195";2021;"COE";"BPG";0;45;65;69,2
"12";"010780195";2021;"COE";"BPG";1;20;65;30,8
"13";"010780195";2021;"COE";"GVC";1;1;1;100
"14";"010780195";2021;"COE";"REV";1;1;1;100
"15";"010780195";2021;"COE";"SLE";0;18;18;100
"16";"010780195";2022;"COE";"ABL";1;1;1;100
"17";"010780195";2022;"COE";"ANN";1;1;1;100
"18";"010780195";2022;"COE";"BPG";0;38;51;74,5
"19";"010780195";2022;"COE";"BPG";1;13;51;25,5
"20";"010780195";2022;"COE";"SLE";0;12;12;100
"21";"010780195";2022;"LAP";"REV";1;10;10;100
"22";"010780195";2023;"COE";"ABL";1;8;8;100
"23";"010780195";2023;"COE";"BPG";0;44;64;68,8
"24";"010780195";2023;"COE";"BPG";1;20;64;31,2
"25";"010780195";2023;"COE";"GVC";1;1;1;100
"26";"010780195";2023;"COE";"REV";1;2;2;100
"27";"010780195";2023;"COE";"SLE";0;15;15;100
"28";"010780195";2023;"LAP";"REV";1;4;4;100
"29";"010780195";2024;"COE";"ABL";1;5;5;100
"30";"010780195";2024;"COE";"BPG";0;42;56;75
"31";"010780195";2024;"COE";"BPG";1;14;56;25
"32";"010780195";2024;"COE";"REV";0;1;2;50
"33";"010780195";2024;"COE";"REV";1;1;2;50
"34";"010780195";2024;"COE";"SLE";0;14;14;100
"35";"010780195";2024;"LAP";"BPG";1;1;1;100
"36";"010780195";2024;"LAP";"REV";1;4;4;100
"37";"010780195";2024;"ROB";"SLE";0;1;1;100
"38";"010780203";2020;"COE";"ABL";1;21;21;100
"39";"010780203";2020;"COE";"ANN";0;5;8;62,5
"40";"010780203";2020;"COE";"ANN";1;3;8;37,5
"41";"010780203";2020;"COE";"BPG";0;9;16;56,2
