"";"finessGeoDP";"codeGeo";"nb";"TOT";"PCT";"PCT_CUM"
"1";"010000024";"01000";16;54;29,6;29,6
"2";"010000032";"01300";22;49;44,9;44,9
"3";"010780195";"01000";57;405;14,1;14,1
"4";"010780195";"01100";31;405;7,7;21,8
"5";"010780195";"01340";25;405;6,2;28
"6";"010780195";"01250";24;405;5,9;33,9
"7";"010780195";"01240";17;405;4,2;38,1
"8";"010780195";"01370";14;405;3,5;41,6
"9";"010780195";"01500";14;405;3,5;45,1
"10";"010780195";"01960";11;405;2,7;47,8
"11";"010780203";"01500";87;558;15,6;15,6
"12";"010780203";"01100";58;558;10,4;26
"13";"010780203";"01150";55;558;9,9;35,9
"14";"010780203";"01800";42;558;7,5;43,4
"15";"010780203";"01C02";28;558;5;48,4
"16";"010780203";"01000";22;558;3,9;52,3
"17";"010780203";"01160";21;558;3,8;56,1
"18";"010780203";"01230";19;558;3,4;59,5
"19";"010780203";"38390";19;558;3,4;62,9
"20";"010780203";"01640";18;558;3,2;66,1
"21";"010780203";"01320";15;558;2,7;68,8
"22";"010780203";"01470";12;558;2,2;71
"23";"010780203";"01300";11;558;2;73
"24";"020000162";"02100";70;320;21,9;21,9
"25";"020000162";"02300";35;320;10,9;32,8
"26";"020000162";"02700";34;320;10,6;43,4
"27";"020000162";"02800";21;320;6,6;50
"28";"020000162";"80200";17;320;5,3;55,3
"29";"020000162";"02110";11;320;3,4;58,7
"30";"020000394";"02000";90;311;28,9;28,9
"31";"020000394";"02270";18;311;5,8;34,7
"32";"020000394";"02250";13;311;4,2;38,9
"33";"020000394";"02800";13;311;4,2;43,1
"34";"020000394";"02820";13;311;4,2;47,3
"35";"020000394";"02150";12;311;3,9;51,2
"36";"020000394";"02300";12;311;3,9;55,1
"37";"020000394";"02700";12;311;3,9;59
"38";"020000394";"02870";12;311;3,9;62,9
"39";"020000519";"02200";105;225;46,7;46,7
"40";"020000519";"02600";14;225;6,2;52,9
"41";"020000519";"02880";14;225;6,2;59,1
"42";"020000519";"02210";13;225;5,8;64,9
"43";"020010047";"02100";93;377;24,7;24,7
"44";"020010047";"02110";27;377;7,2;31,9
"45";"020010047";"02300";20;377;5,3;37,2
"46";"020010047";"02700";19;377;5;42,2
"47";"020010047";"02420";18;377;4,8;47
"48";"020010047";"80400";17;377;4,5;51,5
"49";"020010047";"02800";15;377;4;55,5
"50";"020010047";"02C02";14;377;3,7;59,2
"51";"020010047";"02270";12;377;3,2;62,4
"52";"020010047";"02000";11;377;2,9;65,3
"53";"030781116";"03100";63;264;23,9;23,9
"54";"030781116";"03410";21;264;8;31,9
"55";"030781116";"03380";13;264;4,9;36,8
"56";"040000093";"04100";30;152;19,7;19,7
"57";"040000093";"04700";18;152;11,8;31,5
"58";"040000093";"83560";13;152;8,6;40,1
"59";"040000093";"04300";11;152;7,2;47,3
"60";"050000348";"05000";56;238;23,5;23,5
"61";"050000348";"04C08";18;238;7,6;31,1
"62";"050000348";"04200";16;238;6,7;37,8
"63";"050000348";"05400";14;238;5,9;43,7
"64";"050000348";"05300";13;238;5,5;49,2
"65";"050000348";"05230";12;238;5;54,2
"66";"050000348";"04C09";11;238;4,6;58,8
"67";"060000478";"06130";35;140;25;25
"68";"060000478";"06400";22;140;15,7;40,7
"69";"060000510";"06600";85;461;18,4;18,4
"70";"060000510";"06400";49;461;10,6;29
"71";"060000510";"06220";47;461;10,2;39,2
"72";"060000510";"06110";31;461;6,7;45,9
"73";"060000510";"06800";26;461;5,6;51,5
"74";"060000510";"06000";21;461;4,6;56,1
"75";"060000510";"06130";19;461;4,1;60,2
"76";"060000510";"06270";16;461;3,5;63,7
"77";"060000510";"06210";14;461;3;66,7
"78";"060000510";"06560";13;461;2,8;69,5
"79";"060002102";"06500";16;30;53,3;53,3
"80";"060021417";"06400";100;391;25,6;25,6
"81";"060021417";"06110";46;391;11,8;37,4
"82";"060021417";"06600";33;391;8,4;45,8
"83";"060021417";"83440";20;391;5,1;50,9
"84";"060021417";"06210";19;391;4,9;55,8
"85";"060021417";"06130";17;391;4,3;60,1
"86";"060021417";"06220";16;391;4,1;64,2
"87";"060021417";"06250";12;391;3,1;67,3
"88";"060780491";"06000";115;478;24,1;24,1
"89";"060780491";"06700";54;478;11,3;35,4
"90";"060780491";"06800";50;478;10,5;45,9
"91";"060780491";"06510";28;478;5,9;51,8
"92";"060780491";"06600";22;478;4,6;56,4
"93";"060780491";"06140";20;478;4,2;60,6
"94";"060780590";"06130";84;336;25;25
"95";"060780590";"06530";44;336;13,1;38,1
"96";"060780590";"83440";23;336;6,8;44,9
"97";"060780590";"06400";22;336;6,5;51,4
"98";"060780590";"06110";16;336;4,8;56,2
"99";"060780590";"06000";13;336;3,9;60,1
