"";"finessGeoDP";"trimestre";"n";"comp";"taux";"taux_glissant";"moyenne_nationale";"trimestre_date";"se";"ic_low";"ic_high"
"1";"010000024";"2020T1";5;0;0;0,083;0,053;2020-01-01;0,123;0;0,32408
"2";"010000024";"2020T4";1;0;0;0,083;0,045;2020-10-01;0,276;0;0,62396
"3";"010000024";"2021T1";6;0;0;0,083;0,061;2021-01-01;0,113;0;0,30448
"4";"010000024";"2021T2";6;0;0;0;0,055;2021-04-01;0;0;0
"5";"010000024";"2021T3";5;0;0;0;0,052;2021-07-01;0;0;0
"6";"010000024";"2021T4";9;1;0,111;0,028;0,053;2021-10-01;0,055;0;0,1358
"7";"010000024";"2022T1";4;0;0;0,028;0,053;2022-01-01;0,082;0;0,18872
"8";"010000024";"2022T2";6;0;0;0,028;0,042;2022-04-01;0,067;0;0,15932
"9";"010000024";"2022T3";4;0;0;0,028;0,046;2022-07-01;0,082;0;0,18872
"10";"010000024";"2022T4";2;0;0;0;0,056;2022-10-01;0;0;0
"11";"010000024";"2023T1";5;0;0;0;0,061;2023-01-01;0;0;0
"12";"010000024";"2023T2";1;0;0;0;0,048;2023-04-01;0;0;0
"13";"010000032";"2020T1";4;0;0;0;0,053;2020-01-01;0;0;0
"14";"010000032";"2020T3";1;0;0;0;0,059;2020-07-01;0;0;0
"15";"010000032";"2020T4";2;0;0;0;0,045;2020-10-01;0;0;0
"16";"010000032";"2021T2";1;0;0;0;0,055;2021-04-01;0;0;0
"17";"010000032";"2021T4";9;0;0;0;0,053;2021-10-01;0;0;0
"18";"010000032";"2022T1";6;0;0;0;0,053;2022-01-01;0;0;0
"19";"010000032";"2022T2";6;0;0;0;0,042;2022-04-01;0;0;0
"20";"010000032";"2022T3";2;0;0;0;0,046;2022-07-01;0;0;0
"21";"010000032";"2022T4";2;0;0;0;0,056;2022-10-01;0;0;0
"22";"010000032";"2023T1";3;0;0;0;0,061;2023-01-01;0;0;0
"23";"010000032";"2023T2";4;0;0;0;0,048;2023-04-01;0;0;0
"24";"010000032";"2023T3";2;0;0;0;0,052;2023-07-01;0;0;0
"25";"010000032";"2023T4";2;0;0;0;0,054;2023-10-01;0;0;0
"26";"010000032";"2024T2";2;0;0;0;0,053;2024-04-01;0;0;0
"27";"010000032";"2024T3";2;0;0;0;0,046;2024-07-01;0;0;0
"28";"010000032";"2024T4";1;1;1;0,25;0,046;2024-10-01;0,433;0;1
"29";"010780195";"2020T1";14;0;0;0,027;0,053;2020-01-01;0,043;0;0,11128
"30";"010780195";"2020T2";10;0;0;0,018;0,078;2020-04-01;0,042;0;0,10032
"31";"010780195";"2020T3";32;1;0,031;0,016;0,059;2020-07-01;0,022;0;0,05912
"32";"010780195";"2020T4";9;0;0;0,008;0,045;2020-10-01;0,03;0;0,0668
"33";"010780195";"2021T1";25;0;0;0,008;0,061;2021-01-01;0,018;0;0,04328
"34";"010780195";"2021T2";22;0;0;0,008;0,055;2021-04-01;0,019;0;0,04524
"35";"010780195";"2021T3";24;1;0,042;0,011;0,052;2021-07-01;0,021;0;0,05216
"36";"010780195";"2021T4";17;1;0,059;0,025;0,053;2021-10-01;0,038;0;0,09948
"37";"010780195";"2022T1";18;2;0,111;0,053;0,053;2022-01-01;0,053;0;0,15688
"38";"010780195";"2022T2";19;1;0,053;0,066;0,042;2022-04-01;0,057;0;0,17772
"39";"010780195";"2022T3";18;0;0;0,056;0,046;2022-07-01;0,054;0;0,16184
"40";"010780195";"2022T4";20;2;0,1;0,066;0,056;2022-10-01;0,056;0;0,17576
"41";"010780195";"2023T1";25;0;0;0,038;0,061;2023-01-01;0,038;0;0,11248
"42";"010780195";"2023T2";19;0;0;0,025;0,048;2023-04-01;0,036;0;0,09556
"43";"010780195";"2023T3";22;1;0,045;0,036;0,052;2023-07-01;0,04;0;0,1144
"44";"010780195";"2023T4";28;0;0;0,011;0,054;2023-10-01;0,02;0;0,0502
"45";"010780195";"2024T1";34;2;0,059;0,026;0,048;2024-01-01;0,027;0;0,07892
"46";"010780195";"2024T2";21;0;0;0,026;0,053;2024-04-01;0,035;0;0,0946
"47";"010780195";"2024T3";17;0;0;0,015;0,046;2024-07-01;0,029;0;0,07184
"48";"010780195";"2024T4";11;0;0;0,015;0,046;2024-10-01;0,037;0;0,08752
"49";"010780203";"2020T1";27;1;0,037;0,055;0,053;2020-01-01;0,044;0;0,14124
"50";"010780203";"2020T2";6;0;0;0,045;0,078;2020-04-01;0,085;0;0,2116
"51";"010780203";"2020T3";18;0;0;0,027;0,059;2020-07-01;0,038;0;0,10148
"52";"010780203";"2020T4";14;0;0;0,009;0,045;2020-10-01;0,025;0;0,058
"53";"010780203";"2021T1";30;1;0,033;0,008;0,061;2021-01-01;0,016;0;0,03936
"54";"010780203";"2021T2";26;0;0;0,008;0,055;2021-04-01;0,017;0;0,04132
"55";"010780203";"2021T3";20;1;0,05;0,021;0,052;2021-07-01;0,032;0;0,08372
"56";"010780203";"2021T4";29;1;0,034;0,029;0,053;2021-10-01;0,031;0;0,08976
"57";"010780203";"2022T1";37;2;0,054;0,034;0,053;2022-01-01;0,03;0;0,0928
"58";"010780203";"2022T2";14;0;0;0,034;0,042;2022-04-01;0,048;0;0,12808
"59";"010780203";"2022T3";36;1;0,028;0,029;0,046;2022-07-01;0,028;0;0,08388
"60";"010780203";"2022T4";35;0;0;0,02;0,056;2022-10-01;0,024;0;0,06704
"61";"010780203";"2023T1";48;4;0,083;0,028;0,061;2023-01-01;0,024;0;0,07504
"62";"010780203";"2023T2";38;2;0,053;0,041;0,048;2023-04-01;0,032;0;0,10372
"63";"010780203";"2023T3";27;1;0,037;0,043;0,052;2023-07-01;0,039;0;0,11944
"64";"010780203";"2023T4";40;0;0;0,043;0,054;2023-10-01;0,032;0;0,10572
"65";"010780203";"2024T1";29;4;0,138;0,057;0,048;2024-01-01;0,043;0;0,14128
"66";"010780203";"2024T2";26;1;0,038;0,053;0,053;2024-04-01;0,044;0;0,13924
"67";"010780203";"2024T3";35;3;0,086;0,066;0,046;2024-07-01;0,042;0;0,14832
"68";"010780203";"2024T4";23;0;0;0,066;0,046;2024-10-01;0,052;0;0,16792
"69";"020000162";"2020T1";18;0;0;0;0,053;2020-01-01;0;0;0
"70";"020000162";"2020T2";9;0;0;0;0,078;2020-04-01;0;0;0
"71";"020000162";"2020T3";18;0;0;0;0,059;2020-07-01;0;0;0
"72";"020000162";"2020T4";15;0;0;0;0,045;2020-10-01;0;0;0
"73";"020000162";"2021T1";11;0;0;0;0,061;2021-01-01;0;0;0
"74";"020000162";"2021T2";24;0;0;0;0,055;2021-04-01;0;0;0
"75";"020000162";"2021T3";18;0;0;0;0,052;2021-07-01;0;0;0
"76";"020000162";"2021T4";17;3;0,176;0,044;0,053;2021-10-01;0,05;0;0,142
"77";"020000162";"2022T1";24;0;0;0,044;0,053;2022-01-01;0,042;0;0,12632
"78";"020000162";"2022T2";20;1;0,05;0,056;0,042;2022-04-01;0,051;0;0,15596
"79";"020000162";"2022T3";12;2;0,167;0,098;0,046;2022-07-01;0,086;0;0,26656
"80";"020000162";"2022T4";11;1;0,091;0,077;0,056;2022-10-01;0,08;0;0,2338
"81";"020000162";"2023T1";23;1;0,043;0,088;0,061;2023-01-01;0,059;0;0,20364
"82";"020000162";"2023T2";9;1;0,111;0,103;0,048;2023-04-01;0,101;0;0,30096
"83";"020000162";"2023T3";15;0;0;0,061;0,052;2023-07-01;0,062;0;0,18252
"84";"020000162";"2023T4";16;2;0,125;0,07;0,054;2023-10-01;0,064;0;0,19544
"85";"020000162";"2024T1";13;1;0,077;0,078;0,048;2024-01-01;0,074;0;0,22304
"86";"020000162";"2024T2";19;1;0,053;0,064;0,053;2024-04-01;0,056;0;0,17376
"87";"020000162";"2024T3";13;0;0;0,064;0,046;2024-07-01;0,068;0;0,19728
"88";"020000162";"2024T4";15;0;0;0,032;0,046;2024-10-01;0,045;0;0,1202
"89";"020000360";"2021T4";4;0;0;NA;0,053;2021-10-01;NA;NA;NA
"90";"020000360";"2022T1";3;0;0;NA;0,053;2022-01-01;NA;NA;NA
"91";"020000360";"2022T2";5;0;0;NA;0,042;2022-04-01;NA;NA;NA
"92";"020000360";"2022T3";4;0;0;0;0,046;2022-07-01;0;0;0
"93";"020000360";"2022T4";3;1;0,333;0,083;0,056;2022-10-01;0,159;0;0,39464
"94";"020000360";"2023T1";1;0;0;0,083;0,061;2023-01-01;0,276;0;0,62396
"95";"020000360";"2023T2";1;0;0;0,083;0,048;2023-04-01;0,276;0;0,62396
"96";"020000360";"2024T1";1;0;0;0,083;0,048;2024-01-01;0,276;0;0,62396
"97";"020000360";"2024T2";1;0;0;0;0,053;2024-04-01;0;0;0
"98";"020000394";"2020T1";13;0;0;0,038;0,053;2020-01-01;0,053;0;0,14188
"99";"020000394";"2020T2";9;1;0,111;0,044;0,078;2020-04-01;0,068;0;0,17728
"100";"020000394";"2020T3";18;1;0,056;0,042;0,059;2020-07-01;0,047;0;0,13412
"101";"020000394";"2020T4";8;0;0;0,042;0,045;2020-10-01;0,071;0;0,18116
"102";"020000394";"2021T1";26;1;0,038;0,051;0,061;2021-01-01;0,043;0;0,13528
"103";"020000394";"2021T2";16;0;0;0,024;0,055;2021-04-01;0,038;0;0,09848
"104";"020000394";"2021T3";11;0;0;0,01;0,052;2021-07-01;0,03;0;0,0688
"105";"020000394";"2021T4";17;0;0;0,01;0,053;2021-10-01;0,024;0;0,05704
"106";"020000394";"2022T1";18;1;0,056;0,014;0,053;2022-01-01;0,028;0;0,06888
"107";"020000394";"2022T2";13;0;0;0,014;0,042;2022-04-01;0,033;0;0,07868
"108";"020000394";"2022T3";20;2;0,1;0,039;0,046;2022-07-01;0,043;0;0,12328
"109";"020000394";"2022T4";17;0;0;0,039;0,056;2022-10-01;0,047;0;0,13112
"110";"020000394";"2023T1";18;1;0,056;0,039;0,061;2023-01-01;0,046;0;0,12916
"111";"020000394";"2023T2";10;0;0;0,039;0,048;2023-04-01;0,061;0;0,15856
"112";"020000394";"2023T3";12;0;0;0,014;0,052;2023-07-01;0,034;0;0,08064
"113";"020000394";"2023T4";19;1;0,053;0,027;0,054;2023-10-01;0,037;0;0,09952
"114";"020000394";"2024T1";21;0;0;0,013;0,048;2024-01-01;0,025;0;0,062
"115";"020000394";"2024T2";19;0;0;0,013;0,053;2024-04-01;0,026;0;0,06396
"116";"020000394";"2024T3";12;0;0;0,013;0,046;2024-07-01;0,033;0;0,07768
"117";"020000394";"2024T4";14;0;0;0;0,046;2024-10-01;0;0;0
"118";"020000519";"2020T1";6;0;0;0,054;0,053;2020-01-01;0,092;0;0,23432
"119";"020000519";"2020T2";2;0;0;0,031;0,078;2020-04-01;0,123;0;0,27208
"120";"020000519";"2020T3";4;1;0,25;0,094;0,059;2020-07-01;0,146;0;0,38016
"121";"020000519";"2020T4";6;0;0;0,062;0,045;2020-10-01;0,098;0;0,25408
"122";"020000519";"2021T1";3;0;0;0,062;0,061;2021-01-01;0,139;0;0,33444
"123";"020000519";"2021T2";2;0;0;0,062;0,055;2021-04-01;0,171;0;0,39716
