"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"09";"DEP";"_T";"_T";"POP";"D";2020;153954
"25";"DEP";"_T";"_T";"POP";"D";2020;545209
"972";"DEP";"_T";"_T";"POP";"D";2020;361225
"65";"DEP";"_T";"_T";"POP";"D";2020;229788
"15";"DEP";"_T";"_T";"POP";"D";2020;144379
"2A";"DEP";"_T";"_T";"POP";"D";2020;160814
"92";"DEP";"_T";"_T";"POP";"D";2020;1626213
"69";"DEP";"_T";"_T";"POP";"D";2020;1883437
"76";"DEP";"_T";"_T";"POP";"D";2020;1254739
"71";"DEP";"_T";"_T";"POP";"D";2020;551063
"85";"DEP";"_T";"_T";"POP";"D";2020;692705
"89";"DEP";"_T";"_T";"POP";"D";2020;334156
"34";"DEP";"_T";"_T";"POP";"D";2020;1188973
"18";"DEP";"_T";"_T";"POP";"D";2020;300933
"61";"DEP";"_T";"_T";"POP";"D";2020;278475
"11";"DEP";"_T";"_T";"POP";"D";2020;375217
"68";"DEP";"_T";"_T";"POP";"D";2020;767842
"39";"DEP";"_T";"_T";"POP";"D";2020;258798
"95";"DEP";"_T";"_T";"POP";"D";2020;1251804
"38";"DEP";"_T";"_T";"POP";"D";2020;1277513
"72";"DEP";"_T";"_T";"POP";"D";2020;566993
"04";"DEP";"_T";"_T";"POP";"D";2020;165451
"66";"DEP";"_T";"_T";"POP";"D";2020;482765
"73";"DEP";"_T";"_T";"POP";"D";2020;439750
"50";"DEP";"_T";"_T";"POP";"D";2020;495093
"17";"DEP";"_T";"_T";"POP";"D";2020;655709
"19";"DEP";"_T";"_T";"POP";"D";2020;239190
"58";"DEP";"_T";"_T";"POP";"D";2020;202670
"81";"DEP";"_T";"_T";"POP";"D";2020;391066
"49";"DEP";"_T";"_T";"POP";"D";2020;820713
"23";"DEP";"_T";"_T";"POP";"D";2020;115995
"13";"DEP";"_T";"_T";"POP";"D";2020;2048070
"44";"DEP";"_T";"_T";"POP";"D";2020;1445171
"88";"DEP";"_T";"_T";"POP";"D";2020;362397
"37";"DEP";"_T";"_T";"POP";"D";2020;612119
"82";"DEP";"_T";"_T";"POP";"D";2020;262316
"36";"DEP";"_T";"_T";"POP";"D";2020;218707
"67";"DEP";"_T";"_T";"POP";"D";2020;1148073
"91";"DEP";"_T";"_T";"POP";"D";2020;1306118
"971";"DEP";"_T";"_T";"POP";"D";2020;383559
"93";"DEP";"_T";"_T";"POP";"D";2020;1655422
"86";"DEP";"_T";"_T";"POP";"D";2020;439332
"80";"DEP";"_T";"_T";"POP";"D";2020;568748
"05";"DEP";"_T";"_T";"POP";"D";2020;140605
"74";"DEP";"_T";"_T";"POP";"D";2020;835206
"78";"DEP";"_T";"_T";"POP";"D";2020;1449723
"26";"DEP";"_T";"_T";"POP";"D";2020;517709
"47";"DEP";"_T";"_T";"POP";"D";2020;330844
"31";"DEP";"_T";"_T";"POP";"D";2020;1415757
"16";"DEP";"_T";"_T";"POP";"D";2020;351718
"46";"DEP";"_T";"_T";"POP";"D";2020;174670
"43";"DEP";"_T";"_T";"POP";"D";2020;227489
"94";"DEP";"_T";"_T";"POP";"D";2020;1407972
"79";"DEP";"_T";"_T";"POP";"D";2020;374481
"64";"DEP";"_T";"_T";"POP";"D";2020;687240
"45";"DEP";"_T";"_T";"POP";"D";2020;682304
"53";"DEP";"_T";"_T";"POP";"D";2020;306538
"54";"DEP";"_T";"_T";"POP";"D";2020;732590
"51";"DEP";"_T";"_T";"POP";"D";2020;566659
"56";"DEP";"_T";"_T";"POP";"D";2020;764161
"32";"DEP";"_T";"_T";"POP";"D";2020;191819
"01";"DEP";"_T";"_T";"POP";"D";2020;657856
"973";"DEP";"_T";"_T";"POP";"D";2020;285133
"27";"DEP";"_T";"_T";"POP";"D";2020;599668
"976";"DEP";"_T";"_T";"POP";"D";2020;279696
"41";"DEP";"_T";"_T";"POP";"D";2020;329357
"70";"DEP";"_T";"_T";"POP";"D";2020;234601
"59";"DEP";"_T";"_T";"POP";"D";2020;2607746
"2B";"DEP";"_T";"_T";"POP";"D";2020;182887
"21";"DEP";"_T";"_T";"POP";"D";2020;535078
"12";"DEP";"_T";"_T";"POP";"D";2020;279554
"974";"DEP";"_T";"_T";"POP";"D";2020;863083
"84";"DEP";"_T";"_T";"POP";"D";2020;561941
"24";"DEP";"_T";"_T";"POP";"D";2020;412807
"40";"DEP";"_T";"_T";"POP";"D";2020;418122
"42";"DEP";"_T";"_T";"POP";"D";2020;768508
"03";"DEP";"_T";"_T";"POP";"D";2020;335628
"08";"DEP";"_T";"_T";"POP";"D";2020;269701
"33";"DEP";"_T";"_T";"POP";"D";2020;1636391
"55";"DEP";"_T";"_T";"POP";"D";2020;183001
