"finessGeoDP","annee","clav_cat_90","NB","PCT","TOT_y"
"010000024",2019,0,9,90,10
"010000024",2019,3,1,10,10
"010000024",2020,0,6,100,6
"010000024",2021,0,23,95.8,24
"010000024",2021,3,1,4.2,24
"010000024",2022,0,16,100,16
"010000024",2023,0,6,100,6
"010000032",2019,0,12,100,12
"010000032",2020,0,6,100,6
"010000032",2021,0,9,100,9
"010000032",2022,0,14,100,14
"010000032",2023,0,8,100,8
"010000032",2024,0,4,80,5
"010000032",2024,3,1,20,5
"010000032",2025,0,5,100,5
"010780195",2019,0,105,97.2,108
"010780195",2019,3,2,1.9,108
"010780195",2019,4,1,0.9,108
"010780195",2020,0,55,98.2,56
"010780195",2020,4,1,1.8,56
"010780195",2021,0,81,97.6,83
"010780195",2021,3,1,1.2,83
"010780195",2021,4,1,1.2,83
"010780195",2022,0,60,95.2,63
"010780195",2022,3,3,4.8,63
"010780195",2023,0,78,98.7,79
"010780195",2023,3,1,1.3,79
"010780195",2024,0,70,97.2,72
"010780195",2024,4,2,2.8,72
"010780195",2025,0,31,100,31
"010780203",2019,0,103,95.4,108
"010780203",2019,3,5,4.6,108
"010780203",2020,0,43,97.7,44
"010780203",2020,3,1,2.3,44
"010780203",2021,0,82,98.8,83
"010780203",2021,3,1,1.2,83
"010780203",2022,0,98,97,101
"010780203",2022,3,3,3,101
"010780203",2023,0,117,96.7,121
"010780203",2023,3,3,2.5,121
"010780203",2023,4,1,0.8,121
"010780203",2024,0,87,94.6,92
"010780203",2024,3,3,3.3,92
"010780203",2024,4,2,2.2,92
"010780203",2025,0,46,93.9,49
"010780203",2025,3,3,6.1,49
"020000162",2019,0,94,100,94
"020000162",2020,0,59,100,59
"020000162",2021,0,63,98.4,64
"020000162",2021,4,1,1.6,64
"020000162",2022,0,59,95.2,62
"020000162",2022,3,1,1.6,62
"020000162",2022,4,1,1.6,62
"020000162",2022,5,1,1.6,62
"020000162",2023,0,54,94.7,57
"020000162",2023,3,3,5.3,57
"020000162",2024,0,57,98.3,58
"020000162",2024,3,1,1.7,58
"020000162",2025,0,48,98,49
"020000162",2025,3,1,2,49
"020000360",2021,0,3,100,3
"020000360",2022,0,9,100,9
"020000360",2023,0,1,100,1
"020000394",2019,0,45,97.8,46
"020000394",2019,3,1,2.2,46
"020000394",2020,0,25,96.2,26
"020000394",2020,4,1,3.8,26
"020000394",2021,0,43,100,43
"020000394",2022,0,51,96.2,53
"020000394",2022,3,1,1.9,53
"020000394",2022,4,1,1.9,53
"020000394",2023,0,33,94.3,35
"020000394",2023,3,1,2.9,35
"020000394",2023,4,1,2.9,35
"020000394",2024,0,47,100,47
"020000394",2025,0,20,100,20
"020000519",2019,0,35,94.6,37
"020000519",2019,4,2,5.4,37
"020000519",2020,0,15,93.8,16
"020000519",2020,3,1,6.2,16
"020000519",2021,0,19,90.5,21
"020000519",2021,3,1,4.8,21
"020000519",2021,4,1,4.8,21
"020000519",2022,0,52,94.5,55
"020000519",2022,3,1,1.8,55
"020000519",2022,4,2,3.6,55
"020000519",2023,0,52,98.1,53
"020000519",2023,3,1,1.9,53
"020000519",2024,0,64,97,66
"020000519",2024,3,2,3,66
"020000519",2025,0,40,100,40
"020001061",2019,0,1,100,1
"020001061",2020,0,1,100,1
"020010047",2019,0,133,100,133
"020010047",2020,0,67,98.5,68
"020010047",2020,3,1,1.5,68
"020010047",2021,0,81,100,81
"020010047",2022,0,86,100,86
"020010047",2023,0,56,100,56
"020010047",2024,0,66,98.5,67
"020010047",2024,3,1,1.5,67
"020010047",2025,0,41,100,41
"030000061",2019,0,27,90,30
"030000061",2019,3,1,3.3,30
"030000061",2019,4,2,6.7,30
"030000061",2020,0,5,83.3,6
"030000061",2020,3,1,16.7,6
"030000061",2021,0,7,87.5,8
"030000061",2021,4,1,12.5,8
"030000079",2019,0,18,100,18
"030000087",2019,0,17,94.4,18
"030000087",2019,3,1,5.6,18
"030000087",2020,0,8,88.9,9
"030000087",2020,4,1,11.1,9
"030000087",2021,0,7,100,7
"030000087",2022,0,29,96.7,30
"030000087",2022,4,1,3.3,30
"030000087",2023,0,23,92,25
"030000087",2023,4,2,8,25
"030000087",2024,0,13,92.9,14
"030000087",2024,4,1,7.1,14
"030000087",2025,0,9,100,9
"030781116",2019,0,64,100,64
"030781116",2020,0,20,100,20
"030781116",2021,0,61,96.8,63
"030781116",2021,3,2,3.2,63
"030781116",2022,0,43,97.7,44
"030781116",2022,3,1,2.3,44
"030781116",2023,0,57,96.6,59
"030781116",2023,3,2,3.4,59
"030781116",2024,0,58,98.3,59
"030781116",2024,3,1,1.7,59
"030781116",2025,0,30,96.8,31
"030781116",2025,3,1,3.2,31
"040000093",2019,0,40,95.2,42
"040000093",2019,3,2,4.8,42
"040000093",2020,0,17,73.9,23
"040000093",2020,4,6,26.1,23
"040000093",2021,0,14,100,14
"040000093",2022,0,33,97.1,34
"040000093",2022,3,1,2.9,34
"040000093",2023,0,35,94.6,37
"040000093",2023,3,2,5.4,37
"040000093",2024,0,24,96,25
"040000093",2024,3,1,4,25
"040000093",2025,0,14,93.3,15
"040000093",2025,3,1,6.7,15
"050000348",2019,0,85,96.6,88
"050000348",2019,3,3,3.4,88
"050000348",2020,0,44,93.6,47
"050000348",2020,4,3,6.4,47
"050000348",2021,0,48,92.3,52
"050000348",2021,3,2,3.8,52
"050000348",2021,4,2,3.8,52
"050000348",2022,0,47,97.9,48
"050000348",2022,3,1,2.1,48
"050000348",2023,0,29,93.5,31
"050000348",2023,4,1,3.2,31
