"finessGeoDP","semestre","n","comp","taux","taux_glissant","moyenne_nationale","semestre_date","se","ic_low","ic_high"
"130780521","2019S1",57,2,0.035,NA,0.038,2019-01-01,NA,NA,NA
"130780521","2019S2",13,0,0,0.018,0.037,2019-04-01,0.037,0,0.09052
"130780521","2020S1",16,2,0.125,0.062,0.04,2020-01-01,0.06,0,0.1796
"130780521","2020S2",27,4,0.148,0.136,0.037,2020-04-01,0.066,0.00664000000000001,0.26536
"130780521","2021S1",35,2,0.057,0.102,0.042,2021-01-01,0.051,0.00204,0.20196
"130780521","2021S2",38,1,0.026,0.041,0.037,2021-04-01,0.032,0,0.10372
"130780521","2022S1",26,1,0.038,0.032,0.03,2022-01-01,0.035,0,0.1006
"130780521","2022S2",25,1,0.04,0.039,0.036,2022-04-01,0.039,0,0.11544
"130780521","2023S1",34,0,0,0.02,0.036,2023-01-01,0.024,0,0.06704
"130780521","2023S2",36,1,0.028,0.014,0.038,2023-04-01,0.02,0,0.0532
"130780521","2024S1",48,0,0,0.014,0.031,2024-01-01,0.017,0,0.04732
"130780521","2024S2",52,0,0,0,0.025,2024-04-01,0,0,0
"130780521","2025S1",48,3,0.062,0.031,0.043,2025-01-01,0.025,0,0.08
"130780521","2025S2",10,0,0,0.031,0.024,2025-04-01,0.055,0,0.1388
"330783648","2019S1",51,3,0.059,NA,0.038,2019-01-01,NA,NA,NA
"330783648","2019S2",35,3,0.086,0.072,0.037,2019-04-01,0.044,0,0.15824
"330783648","2020S1",26,0,0,0.043,0.04,2020-01-01,0.04,0,0.1214
"330783648","2020S2",35,1,0.029,0.014,0.037,2020-04-01,0.02,0,0.0532
"330783648","2021S1",46,5,0.109,0.069,0.042,2021-01-01,0.037,0,0.14152
"330783648","2021S2",42,7,0.167,0.138,0.037,2021-04-01,0.053,0.03412,0.24188
"330783648","2022S1",52,2,0.038,0.103,0.03,2022-01-01,0.042,0.02068,0.18532
"330783648","2022S2",46,2,0.043,0.04,0.036,2022-04-01,0.029,0,0.09684
"330783648","2023S1",35,1,0.029,0.036,0.036,2023-01-01,0.031,0,0.09676
"330783648","2023S2",34,3,0.088,0.058,0.038,2023-04-01,0.04,0,0.1364
"330783648","2024S1",34,1,0.029,0.058,0.031,2024-01-01,0.04,0,0.1364
"330783648","2024S2",34,2,0.059,0.044,0.025,2024-04-01,0.035,0,0.1126
"330783648","2025S1",38,4,0.105,0.082,0.043,2025-01-01,0.045,0,0.1702
"330783648","2025S2",4,0,0,0.052,0.024,2025-04-01,0.111,0,0.26956
"440000271","2019S1",64,5,0.078,NA,0.038,2019-01-01,NA,NA,NA
"440000271","2019S2",80,4,0.05,0.064,0.037,2019-04-01,0.027,0.01108,0.11692
"440000271","2020S1",54,2,0.037,0.044,0.04,2020-01-01,0.028,0,0.09888
"440000271","2020S2",50,6,0.12,0.078,0.037,2020-04-01,0.038,0.00352000000000001,0.15248
"440000271","2021S1",73,1,0.014,0.067,0.042,2021-01-01,0.029,0.01016,0.12384
"440000271","2021S2",83,4,0.048,0.031,0.037,2021-04-01,0.019,0,0.06824
"440000271","2022S1",94,3,0.032,0.04,0.03,2022-01-01,0.02,0.000800000000000002,0.0792
"440000271","2022S2",83,2,0.024,0.028,0.036,2022-04-01,0.018,0,0.06328
"440000271","2023S1",69,5,0.072,0.048,0.036,2023-01-01,0.026,0,0.09896
"440000271","2023S2",57,4,0.07,0.071,0.038,2023-04-01,0.034,0.00435999999999999,0.13764
"440000271","2024S1",73,0,0,0.035,0.031,2024-01-01,0.022,0,0.07812
"440000271","2024S2",65,0,0,0,0.025,2024-04-01,0,0,0
"440000271","2025S1",56,3,0.054,0.027,0.043,2025-01-01,0.022,0,0.07012
"830100459","2019S1",200,5,0.025,NA,0.038,2019-01-01,NA,NA,NA
"830100459","2019S2",169,6,0.036,0.03,0.037,2019-04-01,0.013,0.00452,0.05548
"830100459","2020S1",135,3,0.022,0.029,0.04,2020-01-01,0.014,0.00156,0.05644
"830100459","2020S2",164,7,0.043,0.032,0.037,2020-04-01,0.014,0.00456,0.05944
"830100459","2021S1",218,7,0.032,0.038,0.042,2021-01-01,0.013,0.01252,0.06348
"830100459","2021S2",176,7,0.04,0.036,0.037,2021-04-01,0.014,0.00856,0.06344
"830100459","2022S1",166,6,0.036,0.038,0.03,2022-01-01,0.015,0.0086,0.0674
"830100459","2022S2",146,3,0.021,0.028,0.036,2022-04-01,0.014,0.000560000000000001,0.05544
"830100459","2023S1",178,4,0.022,0.021,0.036,2023-01-01,0.011,0,0.04256
"830100459","2023S2",127,1,0.008,0.015,0.038,2023-04-01,0.011,0,0.03656
"830100459","2024S1",135,4,0.03,0.019,0.031,2024-01-01,0.012,0,0.04252
"830100459","2024S2",83,1,0.012,0.021,0.025,2024-04-01,0.016,0,0.05236
"830100459","2025S1",123,6,0.049,0.03,0.043,2025-01-01,0.015,6e-04,0.0594
"830100459","2025S2",18,1,0.056,0.052,0.024,2025-04-01,0.052,0,0.15392
"930100037","2018S2",1,1,1,NA,0.34,2018-04-01,NA,NA,NA
"930100037","2019S1",101,10,0.099,0.549,0.038,2019-01-01,0.05,0.451,0.647
"930100037","2019S2",40,1,0.025,0.062,0.037,2019-04-01,0.038,0,0.13648
"930100037","2020S1",20,3,0.15,0.088,0.04,2020-01-01,0.063,0,0.21148
"930100037","2020S2",15,2,0.133,0.142,0.037,2020-04-01,0.09,0,0.3184
"930100037","2021S1",38,1,0.026,0.08,0.042,2021-01-01,0.044,0,0.16624
"930100037","2021S2",39,5,0.128,0.077,0.037,2021-04-01,0.043,0,0.16128
"930100037","2022S1",74,1,0.014,0.071,0.03,2022-01-01,0.03,0.0122,0.1298
"930100037","2022S2",80,3,0.038,0.026,0.036,2022-04-01,0.018,0,0.06128
"930100037","2023S1",66,3,0.045,0.042,0.036,2023-01-01,0.025,0,0.091
"930100037","2023S2",55,2,0.036,0.04,0.038,2023-04-01,0.026,0,0.09096
"930100037","2024S1",71,4,0.056,0.046,0.031,2024-01-01,0.025,0,0.095
