"finessGeoDP","annee","duree_cat","baria_t","VOL","TOT","PCT"
"130780521",2019,"(3,6]","BPG",15,34,44
"130780521",2019,"(3,6]","SLE",27,35,77
"130780521",2019,"(6,225]","BPG",19,34,56
"130780521",2019,"(6,225]","DBP",1,1,100
"130780521",2019,"(6,225]","SLE",8,35,23
"130780521",2020,"(0,3]","BPG",1,24,4
"130780521",2020,"(3,6]","BPG",15,24,62
"130780521",2020,"(3,6]","SLE",14,19,74
"130780521",2020,"(6,225]","BPG",8,24,33
"130780521",2020,"(6,225]","SLE",5,19,26
"130780521",2021,"(3,6]","BPG",18,22,82
"130780521",2021,"(3,6]","SLE",48,51,94
"130780521",2021,"(6,225]","BPG",4,22,18
"130780521",2021,"(6,225]","SLE",3,51,6
"130780521",2022,"(0,3]","BPG",3,22,14
"130780521",2022,"(0,3]","SLE",7,29,24
"130780521",2022,"(3,6]","BPG",12,22,55
"130780521",2022,"(3,6]","SLE",17,29,59
"130780521",2022,"(6,225]","BPG",7,22,32
"130780521",2022,"(6,225]","SLE",5,29,17
"130780521",2023,"(0,3]","BPG",28,34,82
"130780521",2023,"(0,3]","SLE",22,36,61
"130780521",2023,"(3,6]","BPG",4,34,12
"130780521",2023,"(3,6]","SLE",7,36,19
"130780521",2023,"(6,225]","BPG",2,34,6
"130780521",2023,"(6,225]","SLE",7,36,19
"130780521",2024,"(0,3]","BPG",20,34,59
"130780521",2024,"(0,3]","SLE",53,66,80
"130780521",2024,"(3,6]","BPG",9,34,26
"130780521",2024,"(3,6]","SLE",12,66,18
"130780521",2024,"(6,225]","BPG",5,34,15
"130780521",2024,"(6,225]","SLE",1,66,2
"130780521",2025,"(0,3]","BPG",14,18,78
"130780521",2025,"(0,3]","SLE",32,40,80
"130780521",2025,"(3,6]","BPG",2,18,11
"130780521",2025,"(3,6]","SLE",6,40,15
"130780521",2025,"(6,225]","BPG",2,18,11
"130780521",2025,"(6,225]","SLE",2,40,5
"330783648",2019,"(0,3]","ANN",4,7,57
"330783648",2019,"(0,3]","BPG",12,45,27
"330783648",2019,"(0,3]","SLE",12,33,36
"330783648",2019,"(3,6]","ANN",3,7,43
"330783648",2019,"(3,6]","BPG",23,45,51
"330783648",2019,"(3,6]","DBP",1,1,100
"330783648",2019,"(3,6]","SLE",19,33,58
"330783648",2019,"(6,225]","BPG",10,45,22
"330783648",2019,"(6,225]","SLE",2,33,6
"330783648",2020,"(0,3]","BPG",21,48,44
"330783648",2020,"(0,3]","SLE",7,12,58
"330783648",2020,"(3,6]","BPG",22,48,46
"330783648",2020,"(3,6]","DBP",1,1,100
"330783648",2020,"(3,6]","SLE",5,12,42
"330783648",2020,"(6,225]","BPG",5,48,10
"330783648",2021,"(0,3]","ANN",1,3,33
"330783648",2021,"(0,3]","BPG",12,66,18
"330783648",2021,"(0,3]","SLE",7,18,39
"330783648",2021,"(3,6]","ANN",1,3,33
"330783648",2021,"(3,6]","BPG",41,66,62
"330783648",2021,"(3,6]","DBP",1,1,100
"330783648",2021,"(3,6]","SLE",9,18,50
"330783648",2021,"(6,225]","ANN",1,3,33
"330783648",2021,"(6,225]","BPG",13,66,20
"330783648",2021,"(6,225]","SLE",2,18,11
"330783648",2022,"(0,3]","ANN",2,2,100
"330783648",2022,"(0,3]","BPG",17,65,26
"330783648",2022,"(0,3]","SLE",9,31,29
"330783648",2022,"(3,6]","BPG",36,65,55
"330783648",2022,"(3,6]","SLE",20,31,65
"330783648",2022,"(6,225]","BPG",12,65,18
"330783648",2022,"(6,225]","SLE",2,31,6
"330783648",2023,"(0,3]","ANN",1,1,100
"330783648",2023,"(0,3]","BPG",24,54,44
"330783648",2023,"(0,3]","SLE",5,12,42
"330783648",2023,"(3,6]","BPG",24,54,44
"330783648",2023,"(3,6]","SLE",6,12,50
"330783648",2023,"(6,225]","BPG",6,54,11
"330783648",2023,"(6,225]","SLE",1,12,8
"330783648",2024,"(0,3]","ANN",2,2,100
"330783648",2024,"(0,3]","BPG",26,56,46
"330783648",2024,"(0,3]","SLE",6,11,55
"330783648",2024,"(3,6]","BPG",24,56,43
"330783648",2024,"(3,6]","SLE",4,11,36
"330783648",2024,"(6,225]","BPG",6,56,11
"330783648",2024,"(6,225]","DBP",1,1,100
"330783648",2024,"(6,225]","SLE",1,11,9
"330783648",2025,"(0,3]","BPG",23,31,74
"330783648",2025,"(0,3]","SLE",7,11,64
"330783648",2025,"(3,6]","BPG",5,31,16
"330783648",2025,"(3,6]","SLE",3,11,27
"330783648",2025,"(6,225]","BPG",3,31,10
"330783648",2025,"(6,225]","SLE",1,11,9
"440000271",2019,"(0,3]","ANN",1,2,50
