"finessGeoDP","annee","duree_90_cat","VOL","TOT","PCT"
"130780521",2019,"(3,6]",41,70,59
"130780521",2019,"(6,480]",29,70,41
"130780521",2020,"(0,3]",1,43,2
"130780521",2020,"(3,6]",28,43,65
"130780521",2020,"(6,480]",14,43,33
"130780521",2021,"(3,6]",65,73,89
"130780521",2021,"(6,480]",8,73,11
"130780521",2022,"(0,3]",10,51,20
"130780521",2022,"(3,6]",28,51,55
"130780521",2022,"(6,480]",13,51,25
"130780521",2023,"(0,3]",45,70,64
"130780521",2023,"(3,6]",13,70,19
"130780521",2023,"(6,480]",12,70,17
"130780521",2024,"(0,3]",70,100,70
"130780521",2024,"(3,6]",20,100,20
"130780521",2024,"(6,480]",10,100,10
"130780521",2025,"(0,3]",42,58,72
"130780521",2025,"(3,6]",10,58,17
"130780521",2025,"(6,480]",6,58,10
"330783648",2019,"(0,3]",24,86,28
"330783648",2019,"(3,6]",42,86,49
"330783648",2019,"(6,480]",20,86,23
"330783648",2020,"(0,3]",27,61,44
"330783648",2020,"(3,6]",27,61,44
"330783648",2020,"(6,480]",7,61,11
"330783648",2021,"(0,3]",18,88,20
"330783648",2021,"(3,6]",44,88,50
"330783648",2021,"(6,480]",26,88,30
"330783648",2022,"(0,3]",25,98,26
"330783648",2022,"(3,6]",55,98,56
"330783648",2022,"(6,480]",18,98,18
"330783648",2023,"(0,3]",28,67,42
"330783648",2023,"(3,6]",25,67,37
"330783648",2023,"(6,480]",14,67,21
"330783648",2024,"(0,3]",31,70,44
"330783648",2024,"(3,6]",22,70,31
"330783648",2024,"(6,480]",17,70,24
"330783648",2025,"(0,3]",25,42,60
"330783648",2025,"(3,6]",10,42,24
"330783648",2025,"(6,480]",7,42,17
"440000271",2019,"(0,3]",114,143,80
"440000271",2019,"(3,6]",16,143,11
"440000271",2019,"(6,480]",13,143,9
"440000271",2020,"[-1,0]",1,105,1
"440000271",2020,"(0,3]",74,105,70
"440000271",2020,"(3,6]",14,105,13
"440000271",2020,"(6,480]",16,105,15
"440000271",2021,"[-1,0]",9,155,6
"440000271",2021,"(0,3]",133,155,86
"440000271",2021,"(3,6]",6,155,4
"440000271",2021,"(6,480]",7,155,5
"440000271",2022,"[-1,0]",4,178,2
"440000271",2022,"(0,3]",153,178,86
"440000271",2022,"(3,6]",8,178,4
"440000271",2022,"(6,480]",13,178,7
"440000271",2023,"(0,3]",107,126,85
