"finessGeoDP","annee","redo","n","TOT","PCT"
"130780521",2019,0,52,70,74.3
"130780521",2019,1,18,70,25.7
"130780521",2020,0,33,43,76.7
"130780521",2020,1,10,43,23.3
"130780521",2021,0,62,73,84.9
"130780521",2021,1,11,73,15.1
"130780521",2022,0,41,51,80.4
"130780521",2022,1,10,51,19.6
"130780521",2023,0,58,70,82.9
"130780521",2023,1,12,70,17.1
"130780521",2024,0,89,100,89
"130780521",2024,1,11,100,11
"130780521",2025,0,53,58,91.4
"130780521",2025,1,5,58,8.6
"330783648",2019,0,58,86,67.4
"330783648",2019,1,28,86,32.6
"330783648",2020,0,39,61,63.9
"330783648",2020,1,22,61,36.1
"330783648",2021,0,61,88,69.3
"330783648",2021,1,27,88,30.7
"330783648",2022,0,65,98,66.3
"330783648",2022,1,33,98,33.7
"330783648",2023,0,46,69,66.7
"330783648",2023,1,23,69,33.3
"330783648",2024,0,50,68,73.5
"330783648",2024,1,18,68,26.5
"330783648",2025,0,32,42,76.2
"330783648",2025,1,10,42,23.8
"440000271",2019,0,122,144,84.7
"440000271",2019,1,22,144,15.3
"440000271",2020,0,88,104,84.6
"440000271",2020,1,16,104,15.4
"440000271",2021,0,132,156,84.6
"440000271",2021,1,24,156,15.4
"440000271",2022,0,147,177,83.1
"440000271",2022,1,30,177,16.9
"440000271",2023,0,97,126,77
"440000271",2023,1,29,126,23
"440000271",2024,0,106,138,76.8
"440000271",2024,1,32,138,23.2
"440000271",2025,0,49,56,87.5
"440000271",2025,1,7,56,12.5
"830100459",2019,0,312,369,84.6
"830100459",2019,1,57,369,15.4
"830100459",2020,0,251,299,83.9
"830100459",2020,1,48,299,16.1
"830100459",2021,0,344,394,87.3
"830100459",2021,1,50,394,12.7
"830100459",2022,0,275,312,88.1
"830100459",2022,1,37,312,11.9
"830100459",2023,0,262,305,85.9
"830100459",2023,1,43,305,14.1
"830100459",2024,0,182,218,83.5
"830100459",2024,1,36,218,16.5
"830100459",2025,0,122,141,86.5
"830100459",2025,1,19,141,13.5
"930100037",2018,0,1,1,100
"930100037",2019,0,129,141,91.5
"930100037",2019,1,12,141,8.5
"930100037",2020,0,31,35,88.6
"930100037",2020,1,4,35,11.4
"930100037",2021,0,68,77,88.3
"930100037",2021,1,9,77,11.7
"930100037",2022,0,124,154,80.5
"930100037",2022,1,30,154,19.5
"930100037",2023,0,95,121,78.5
"930100037",2023,1,26,121,21.5
"930100037",2024,0,117,140,83.6
"930100037",2024,1,23,140,16.4
"930100037",2025,0,50,62,80.6
"930100037",2025,1,12,62,19.4
"940000573",2019,0,134,160,83.8
"940000573",2019,1,26,160,16.2
"940000573",2020,0,108,136,79.4
"940000573",2020,1,28,136,20.6
"940000573",2021,0,193,223,86.5
"940000573",2021,1,30,223,13.5
"940000573",2022,0,160,186,86
"940000573",2022,1,26,186,14
"940000573",2023,0,129,159,81.1
"940000573",2023,1,30,159,18.9
"940000573",2024,0,144,170,84.7
"940000573",2024,1,26,170,15.3
"940000573",2025,0,97,122,79.5
"940000573",2025,1,25,122,20.5
