"finessGeoDP","annee","vda","VOL","TOT","PCT"
"130780521",2019,"COE",68,70,97.1
"130780521",2019,"LAP",1,70,1.4
"130780521",2019,"ROB",1,70,1.4
"130780521",2020,"COE",41,43,95.3
"130780521",2020,"LAP",1,43,2.3
"130780521",2020,"ROB",1,43,2.3
"130780521",2021,"COE",71,73,97.3
"130780521",2021,"LAP",1,73,1.4
"130780521",2021,"ROB",1,73,1.4
"130780521",2022,"COE",50,51,98
"130780521",2022,"LAP",1,51,2
"130780521",2023,"COE",68,70,97.1
"130780521",2023,"ROB",2,70,2.9
"130780521",2024,"COE",85,100,85
"130780521",2024,"LAP",1,100,1
"130780521",2024,"ROB",14,100,14
"130780521",2025,"COE",44,58,75.9
"130780521",2025,"ROB",14,58,24.1
"330783648",2019,"COE",81,86,94.2
"330783648",2019,"LAP",5,86,5.8
"330783648",2020,"COE",57,61,93.4
"330783648",2020,"LAP",4,61,6.6
"330783648",2021,"COE",82,88,93.2
"330783648",2021,"LAP",6,88,6.8
"330783648",2022,"COE",49,98,50
"330783648",2022,"LAP",8,98,8.2
"330783648",2022,"ROB",41,98,41.8
"330783648",2023,"COE",26,69,37.7
"330783648",2023,"LAP",2,69,2.9
"330783648",2023,"ROB",41,69,59.4
"330783648",2024,"COE",41,68,60.3
"330783648",2024,"LAP",1,68,1.5
"330783648",2024,"ROB",26,68,38.2
"330783648",2025,"COE",14,42,33.3
"330783648",2025,"LAP",1,42,2.4
"330783648",2025,"ROB",27,42,64.3
"440000271",2019,"COE",136,144,94.4
"440000271",2019,"LAP",2,144,1.4
"440000271",2019,"ROB",6,144,4.2
"440000271",2020,"COE",93,104,89.4
"440000271",2020,"LAP",1,104,1
"440000271",2020,"ROB",10,104,9.6
"440000271",2021,"COE",153,156,98.1
"440000271",2021,"LAP",2,156,1.3
"440000271",2021,"ROB",1,156,0.6
"440000271",2022,"COE",176,177,99.4
"440000271",2022,"LAP",1,177,0.6
"440000271",2023,"COE",124,126,98.4
"440000271",2023,"LAP",1,126,0.8
"440000271",2023,"ROB",1,126,0.8
"440000271",2024,"COE",138,138,100
"440000271",2025,"COE",55,56,98.2
"440000271",2025,"LAP",1,56,1.8
"830100459",2019,"COE",369,369,100
"830100459",2020,"COE",299,299,100
"830100459",2021,"COE",394,394,100
"830100459",2022,"COE",312,312,100
"830100459",2023,"COE",305,305,100
"830100459",2024,"COE",218,218,100
"830100459",2025,"COE",141,141,100
"930100037",2018,"COE",1,1,100
"930100037",2019,"COE",138,141,97.9
"930100037",2019,"LAP",3,141,2.1
"930100037",2020,"COE",35,35,100
"930100037",2021,"COE",75,77,97.4
"930100037",2021,"LAP",2,77,2.6
"930100037",2022,"COE",152,154,98.7
"930100037",2022,"LAP",2,154,1.3
"930100037",2023,"COE",118,121,97.5
"930100037",2023,"LAP",3,121,2.5
"930100037",2024,"COE",133,140,95
"930100037",2024,"LAP",3,140,2.1
"930100037",2024,"ROB",4,140,2.9
"930100037",2025,"COE",37,62,59.7
"930100037",2025,"LAP",2,62,3.2
"930100037",2025,"ROB",23,62,37.1
"940000573",2019,"COE",159,160,99.4
"940000573",2019,"LAP",1,160,0.6
"940000573",2020,"COE",136,136,100
"940000573",2021,"COE",223,223,100
"940000573",2022,"COE",167,186,89.8
"940000573",2022,"LAP",1,186,0.5
"940000573",2022,"ROB",18,186,9.7
"940000573",2023,"COE",90,159,56.6
"940000573",2023,"ROB",69,159,43.4
"940000573",2024,"COE",133,170,78.2
"940000573",2024,"LAP",1,170,0.6
"940000573",2024,"ROB",36,170,21.2
"940000573",2025,"COE",69,122,56.6
"940000573",2025,"ROB",53,122,43.4
