"finessGeoDP","annee","mois","baria_t","TOT_month_tcn","TOT_year_tcn","TOT_month","TOT_year"
"130780521",2019,1,"BPG",2,34,9,70
"130780521",2019,1,"SLE",7,35,9,70
"130780521",2019,2,"BPG",5,34,9,70
"130780521",2019,2,"SLE",4,35,9,70
"130780521",2019,3,"BPG",2,34,5,70
"130780521",2019,3,"SLE",3,35,5,70
"130780521",2019,4,"BPG",10,34,19,70
"130780521",2019,4,"SLE",9,35,19,70
"130780521",2019,5,"BPG",2,34,3,70
"130780521",2019,5,"DBP",1,1,3,70
"130780521",2019,6,"BPG",5,34,11,70
"130780521",2019,6,"SLE",6,35,11,70
"130780521",2019,7,"BPG",3,34,4,70
"130780521",2019,7,"SLE",1,35,4,70
"130780521",2019,8,"BPG",2,34,3,70
"130780521",2019,8,"SLE",1,35,3,70
"130780521",2019,9,"SLE",1,35,1,70
"130780521",2019,10,"BPG",1,34,1,70
"130780521",2019,11,"BPG",2,34,3,70
"130780521",2019,11,"SLE",1,35,3,70
"130780521",2019,12,"SLE",2,35,2,70
"130780521",2020,1,"BPG",2,24,6,43
"130780521",2020,1,"SLE",4,19,6,43
"130780521",2020,2,"BPG",4,24,6,43
"130780521",2020,2,"SLE",2,19,6,43
"130780521",2020,3,"BPG",1,24,2,43
"130780521",2020,3,"SLE",1,19,2,43
"130780521",2020,6,"BPG",1,24,2,43
"130780521",2020,6,"SLE",1,19,2,43
"130780521",2020,7,"BPG",1,24,1,43
"130780521",2020,8,"BPG",4,24,8,43
"130780521",2020,8,"SLE",4,19,8,43
"130780521",2020,9,"BPG",4,24,7,43
"130780521",2020,9,"SLE",3,19,7,43
"130780521",2020,10,"BPG",4,24,7,43
"130780521",2020,10,"SLE",3,19,7,43
"130780521",2020,12,"BPG",3,24,4,43
"130780521",2020,12,"SLE",1,19,4,43
"130780521",2021,1,"BPG",4,22,8,73
"130780521",2021,1,"SLE",4,51,8,73
"130780521",2021,2,"SLE",2,51,2,73
"130780521",2021,3,"SLE",6,51,6,73
"130780521",2021,4,"BPG",1,22,5,73
"130780521",2021,4,"SLE",4,51,5,73
"130780521",2021,5,"BPG",1,22,3,73
"130780521",2021,5,"SLE",2,51,3,73
"130780521",2021,6,"BPG",4,22,11,73
"130780521",2021,6,"SLE",7,51,11,73
"130780521",2021,7,"SLE",6,51,6,73
"130780521",2021,8,"BPG",1,22,2,73
