"";"finessGeoDP";"annee";"vda";"n";"TOT";"PCT"
"1";"010780195";2020;"COE";62;65;95,4
"2";"010780195";2020;"LAP";3;65;4,6
"3";"010780195";2021;"COE";88;88;100
"4";"010780195";2022;"COE";65;75;86,7
"5";"010780195";2022;"LAP";10;75;13,3
"6";"010780195";2023;"COE";90;94;95,7
"7";"010780195";2023;"LAP";4;94;4,3
"8";"010780195";2024;"COE";77;83;92,8
"9";"010780195";2024;"LAP";5;83;6
"10";"010780195";2024;"ROB";1;83;1,2
"11";"010780203";2020;"COE";65;65;100
"12";"010780203";2021;"COE";99;104;95,2
"13";"010780203";2021;"LAP";5;104;4,8
"14";"010780203";2022;"COE";114;123;92,7
"15";"010780203";2022;"LAP";9;123;7,3
"16";"010780203";2023;"COE";136;153;88,9
"17";"010780203";2023;"LAP";17;153;11,1
"18";"010780203";2024;"COE";105;113;92,9
"19";"010780203";2024;"LAP";8;113;7,1
"20";"020000162";2020;"COE";60;60;100
"21";"020000162";2021;"COE";68;70;97,1
"22";"020000162";2021;"LAP";2;70;2,9
"23";"020000162";2022;"COE";65;68;95,6
"24";"020000162";2022;"LAP";3;68;4,4
"25";"020000162";2023;"COE";60;63;95,2
"26";"020000162";2023;"LAP";3;63;4,8
"27";"020000162";2024;"COE";45;60;75
"28";"020000162";2024;"ROB";15;60;25
"29";"020000394";2020;"COE";40;48;83,3
"30";"020000394";2020;"LAP";8;48;16,7
"31";"020000394";2021;"COE";61;70;87,1
"32";"020000394";2021;"LAP";9;70;12,9
"33";"020000394";2022;"COE";61;68;89,7
"34";"020000394";2022;"LAP";7;68;10,3
"35";"020000394";2023;"COE";53;59;89,8
"36";"020000394";2023;"LAP";6;59;10,2
"37";"020000394";2024;"COE";57;66;86,4
"38";"020000394";2024;"LAP";9;66;13,6
"39";"020010047";2020;"COE";70;71;98,6
"40";"020010047";2020;"LAP";1;71;1,4
"41";"020010047";2021;"COE";87;87;100
"42";"020010047";2022;"COE";87;88;98,9
"43";"020010047";2022;"LAP";1;88;1,1
"44";"020010047";2023;"COE";60;60;100
"45";"020010047";2024;"COE";70;71;98,6
"46";"020010047";2024;"LAP";1;71;1,4
"47";"030781116";2020;"COE";22;22;100
"48";"030781116";2021;"COE";65;66;98,5
"49";"030781116";2021;"LAP";1;66;1,5
"50";"030781116";2022;"COE";44;44;100
"51";"030781116";2023;"COE";64;65;98,5
"52";"030781116";2023;"LAP";1;65;1,5
"53";"030781116";2024;"COE";67;67;100
"54";"060000510";2020;"COE";59;59;100
"55";"060000510";2021;"COE";119;124;96
"56";"060000510";2021;"LAP";4;124;3,2
"57";"060000510";2021;"ROB";1;124;0,8
"58";"060000510";2022;"COE";108;110;98,2
"59";"060000510";2022;"LAP";2;110;1,8
"60";"060000510";2023;"COE";81;81;100
"61";"060000510";2024;"COE";88;88;100
"62";"060021417";2020;"COE";47;48;97,9
"63";"060021417";2020;"LAP";1;48;2,1
"64";"060021417";2021;"COE";76;80;95
"65";"060021417";2021;"LAP";2;80;2,5
"66";"060021417";2021;"ROB";2;80;2,5
"67";"060021417";2022;"COE";71;80;88,7
"68";"060021417";2022;"LAP";3;80;3,8
"69";"060021417";2022;"ROB";6;80;7,5
"70";"060021417";2023;"COE";94;96;97,9
"71";"060021417";2023;"LAP";1;96;1
"72";"060021417";2023;"ROB";1;96;1
"73";"060021417";2024;"COE";84;87;96,6
"74";"060021417";2024;"LAP";1;87;1,1
"75";"060021417";2024;"ROB";2;87;2,3
"76";"060780491";2020;"COE";83;98;84,7
"77";"060780491";2020;"LAP";4;98;4,1
"78";"060780491";2020;"ROB";11;98;11,2
"79";"060780491";2021;"COE";77;101;76,2
"80";"060780491";2021;"LAP";4;101;4
"81";"060780491";2021;"ROB";20;101;19,8
"82";"060780491";2022;"COE";94;99;94,9
"83";"060780491";2022;"LAP";3;99;3
"84";"060780491";2022;"ROB";2;99;2
"85";"060780491";2023;"COE";61;78;78,2
"86";"060780491";2023;"LAP";11;78;14,1
"87";"060780491";2023;"ROB";6;78;7,7
"88";"060780491";2024;"COE";84;102;82,4
"89";"060780491";2024;"LAP";4;102;3,9
"90";"060780491";2024;"ROB";14;102;13,7
"91";"060780590";2020;"COE";95;95;100
"92";"060780590";2021;"COE";81;84;96,4
"93";"060780590";2021;"ROB";3;84;3,6
"94";"060780590";2022;"COE";61;63;96,8
"95";"060780590";2022;"ROB";2;63;3,2
"96";"060780590";2023;"COE";36;37;97,3
"97";"060780590";2023;"LAP";1;37;2,7
"98";"060780590";2024;"COE";55;57;96,5
"99";"060780590";2024;"ROB";2;57;3,5
"100";"060780715";2020;"COE";59;63;93,7
"101";"060780715";2020;"LAP";4;63;6,3
"102";"060780715";2021;"COE";87;89;97,8
"103";"060780715";2021;"LAP";2;89;2,2
"104";"060780715";2022;"COE";74;75;98,7
"105";"060780715";2022;"LAP";1;75;1,3
"106";"060780715";2023;"COE";21;77;27,3
"107";"060780715";2023;"LAP";2;77;2,6
"108";"060780715";2023;"ROB";54;77;70,1
"109";"060780715";2024;"COE";6;47;12,8
"110";"060780715";2024;"LAP";5;47;10,6
"111";"060780715";2024;"ROB";36;47;76,6
"112";"060789195";2020;"COE";207;213;97,2
"113";"060789195";2020;"LAP";6;213;2,8
"114";"060789195";2021;"COE";204;205;99,5
"115";"060789195";2021;"LAP";1;205;0,5
"116";"060789195";2022;"COE";228;228;100
"117";"060789195";2023;"COE";192;196;98
"118";"060789195";2023;"LAP";3;196;1,5
"119";"060789195";2023;"ROB";1;196;0,5
"120";"060789195";2024;"COE";104;135;77
"121";"060789195";2024;"LAP";13;135;9,6
"122";"060789195";2024;"ROB";18;135;13,3
"123";"070780424";2020;"COE";118;124;95,2
"124";"070780424";2020;"LAP";6;124;4,8
"125";"070780424";2021;"COE";142;147;96,6
"126";"070780424";2021;"LAP";5;147;3,4
"127";"070780424";2022;"COE";135;146;92,5
"128";"070780424";2022;"LAP";11;146;7,5
"129";"070780424";2023;"COE";95;102;93,1
"130";"070780424";2023;"LAP";7;102;6,9
"131";"070780424";2024;"COE";81;93;87,1
"132";"070780424";2024;"LAP";4;93;4,3
"133";"070780424";2024;"ROB";8;93;8,6
"134";"080010473";2020;"COE";89;90;98,9
"135";"080010473";2020;"LAP";1;90;1,1
"136";"080010473";2021;"COE";141;143;98,6
"137";"080010473";2021;"LAP";2;143;1,4
"138";"080010473";2022;"COE";135;135;100
"139";"080010473";2023;"COE";125;125;100
"140";"080010473";2024;"COE";127;127;100
"141";"100000082";2020;"COE";104;106;98,1
"142";"100000082";2020;"LAP";2;106;1,9
"143";"100000082";2021;"COE";111;111;100
"144";"100000082";2022;"COE";50;50;100
"145";"100000124";2020;"COE";101;103;98,1
"146";"100000124";2020;"LAP";2;103;1,9
"147";"100000124";2021;"COE";134;134;100
"148";"100000124";2022;"COE";184;187;98,4
"149";"100000124";2022;"LAP";3;187;1,6
"150";"100000124";2023;"COE";147;149;98,7
"151";"100000124";2023;"LAP";2;149;1,3
"152";"100000124";2024;"COE";97;102;95,1
"153";"100000124";2024;"LAP";5;102;4,9
"154";"100010818";2020;"COE";12;12;100
"155";"100010818";2021;"COE";30;34;88,2
"156";"100010818";2021;"LAP";4;34;11,8
"157";"100010818";2022;"COE";52;52;100
"158";"100010818";2023;"COE";110;110;100
"159";"100010818";2024;"COE";99;99;100
"160";"110000023";2020;"COE";63;63;100
"161";"110000023";2021;"COE";117;118;99,2
"162";"110000023";2021;"LAP";1;118;0,8
"163";"110000023";2022;"COE";114;117;97,4
"164";"110000023";2022;"LAP";3;117;2,6
"165";"110000023";2023;"COE";119;120;99,2
"166";"110000023";2023;"LAP";1;120;0,8
"167";"110000023";2024;"COE";96;100;96
"168";"110000023";2024;"LAP";4;100;4
"169";"130001225";2020;"COE";56;56;100
"170";"130001225";2021;"COE";65;65;100
"171";"130001225";2022;"COE";81;82;98,8
"172";"130001225";2022;"LAP";1;82;1,2
"173";"130001225";2023;"COE";61;61;100
"174";"130001225";2024;"COE";53;53;100
"175";"130043664";2020;"COE";329;352;93,5
"176";"130043664";2020;"LAP";18;352;5,1
"177";"130043664";2020;"ROB";5;352;1,4
"178";"130043664";2021;"COE";326;373;87,4
"179";"130043664";2021;"LAP";42;373;11,3
"180";"130043664";2021;"ROB";5;373;1,3
"181";"130043664";2022;"COE";244;291;83,8
"182";"130043664";2022;"LAP";40;291;13,7
"183";"130043664";2022;"ROB";7;291;2,4
"184";"130043664";2023;"COE";225;297;75,8
"185";"130043664";2023;"LAP";47;297;15,8
"186";"130043664";2023;"ROB";25;297;8,4
"187";"130043664";2024;"COE";242;301;80,4
"188";"130043664";2024;"LAP";32;301;10,6
"189";"130043664";2024;"ROB";27;301;9
"190";"130780521";2020;"COE";43;51;84,3
"191";"130780521";2020;"LAP";7;51;13,7
"192";"130780521";2020;"ROB";1;51;2
"193";"130780521";2021;"COE";75;81;92,6
"194";"130780521";2021;"LAP";5;81;6,2
"195";"130780521";2021;"ROB";1;81;1,2
"196";"130780521";2022;"COE";53;55;96,4
"197";"130780521";2022;"LAP";2;55;3,6
"198";"130780521";2023;"COE";78;89;87,6
"199";"130780521";2023;"LAP";9;89;10,1
"200";"130780521";2023;"ROB";2;89;2,2
"201";"130780521";2024;"COE";97;115;84,3
"202";"130780521";2024;"LAP";4;115;3,5
"203";"130780521";2024;"ROB";14;115;12,2
"204";"130781479";2020;"COE";96;111;86,5
"205";"130781479";2020;"LAP";8;111;7,2
"206";"130781479";2020;"ROB";7;111;6,3
"207";"130781479";2021;"COE";139;164;84,8
"208";"130781479";2021;"LAP";9;164;5,5
"209";"130781479";2021;"ROB";16;164;9,8
"210";"130781479";2022;"COE";132;170;77,6
"211";"130781479";2022;"LAP";13;170;7,6
"212";"130781479";2022;"ROB";25;170;14,7
"213";"130781479";2023;"COE";127;166;76,5
"214";"130781479";2023;"LAP";7;166;4,2
"215";"130781479";2023;"ROB";32;166;19,3
"216";"130781479";2024;"COE";135;169;79,9
"217";"130781479";2024;"LAP";12;169;7,1
"218";"130781479";2024;"ROB";22;169;13
"219";"130782162";2020;"COE";49;49;100
"220";"130782162";2021;"COE";131;131;100
"221";"130782162";2022;"COE";127;130;97,7
"222";"130782162";2022;"ROB";3;130;2,3
"223";"130782162";2023;"COE";99;105;94,3
"224";"130782162";2023;"ROB";6;105;5,7
"225";"130782162";2024;"COE";96;97;99
"226";"130782162";2024;"ROB";1;97;1
"227";"130783236";2020;"COE";78;125;62,4
"228";"130783236";2020;"LAP";13;125;10,4
"229";"130783236";2020;"ROB";34;125;27,2
"230";"130783236";2021;"COE";18;150;12
"231";"130783236";2021;"LAP";17;150;11,3
"232";"130783236";2021;"ROB";115;150;76,7
"233";"130783236";2022;"COE";23;157;14,6
"234";"130783236";2022;"LAP";19;157;12,1
"235";"130783236";2022;"ROB";115;157;73,2
"236";"130783236";2023;"COE";6;128;4,7
"237";"130783236";2023;"LAP";6;128;4,7
"238";"130783236";2023;"ROB";116;128;90,6
"239";"130783236";2024;"COE";13;58;22,4
"240";"130783236";2024;"LAP";6;58;10,3
"241";"130783236";2024;"ROB";39;58;67,2
"242";"130783327";2020;"COE";43;43;100
"243";"130783327";2021;"COE";172;182;94,5
"244";"130783327";2021;"LAP";10;182;5,5
"245";"130783327";2022;"COE";243;252;96,4
"246";"130783327";2022;"LAP";9;252;3,6
"247";"130783327";2023;"COE";230;243;94,7
"248";"130783327";2023;"LAP";13;243;5,3
"249";"130783327";2024;"COE";261;283;92,2
"250";"130783327";2024;"LAP";22;283;7,8
"251";"130785652";2020;"COE";65;70;92,9
"252";"130785652";2020;"LAP";2;70;2,9
"253";"130785652";2020;"ROB";3;70;4,3
"254";"130785652";2021;"COE";102;105;97,1
"255";"130785652";2021;"LAP";2;105;1,9
"256";"130785652";2021;"ROB";1;105;1
"257";"130785652";2022;"COE";105;107;98,1
"258";"130785652";2022;"LAP";2;107;1,9
"259";"130785652";2023;"COE";110;115;95,7
"260";"130785652";2023;"LAP";4;115;3,5
"261";"130785652";2023;"ROB";1;115;0,9
"262";"130785652";2024;"COE";113;128;88,3
"263";"130785652";2024;"LAP";9;128;7
"264";"130785652";2024;"ROB";6;128;4,7
"265";"130786361";2020;"COE";214;243;88,1
"266";"130786361";2020;"LAP";16;243;6,6
"267";"130786361";2020;"ROB";13;243;5,3
"268";"130786361";2021;"COE";241;291;82,8
"269";"130786361";2021;"LAP";6;291;2,1
"270";"130786361";2021;"ROB";44;291;15,1
"271";"130786361";2022;"COE";272;294;92,5
"272";"130786361";2022;"LAP";11;294;3,7
"273";"130786361";2022;"ROB";11;294;3,7
"274";"130786361";2023;"COE";281;303;92,7
"275";"130786361";2023;"LAP";10;303;3,3
"276";"130786361";2023;"ROB";12;303;4
"277";"130786361";2024;"COE";281;304;92,4
"278";"130786361";2024;"LAP";14;304;4,6
"279";"130786361";2024;"ROB";9;304;3
"280";"130810740";2020;"COE";110;116;94,8
"281";"130810740";2020;"LAP";4;116;3,4
"282";"130810740";2020;"ROB";2;116;1,7
"283";"130810740";2021;"COE";154;166;92,8
"284";"130810740";2021;"LAP";4;166;2,4
"285";"130810740";2021;"ROB";8;166;4,8
"286";"130810740";2022;"COE";153;155;98,7
"287";"130810740";2022;"LAP";2;155;1,3
"288";"130810740";2023;"COE";153;154;99,4
"289";"130810740";2023;"LAP";1;154;0,6
"290";"130810740";2024;"COE";128;128;100
"291";"140000209";2020;"COE";153;168;91,1
"292";"140000209";2020;"LAP";8;168;4,8
"293";"140000209";2020;"ROB";7;168;4,2
