"finessGeo","code_geo","annee","rs","statut","adresse","code_postal","ville","longitude","latitude","code_dep","lib_dep","code_reg","lib_reg","cso","LAB_SOFFCO"
"010000024","01440",2025,"CH DE FLEYRIAT","public","900 ROUTE DE PARIS",1440,"VIRIAT","5.2085868733","46.222740467","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000032","01300",2025,"CH BUGEY SUD","public","700 AVENUE DE NARVIK",1300,"BELLEY","5.6805310519","45.75149467","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000065","01600",2025,"CH DE TREVOUX - MONTPENSIER","public","14 RUE DE L'HOPITAL",1606,"TREVOUX","4.7719530075","45.941070481","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000081","01170",2025,"CH DU PAYS DE GEX","public","160 RUE MARC PANISSOD",1174,"GEX","6.0577195468","46.322334377","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000099","01800",2025,"CH DE MEXIMIEUX","public","13 AVENUE DU DOCTEUR BOYER",1800,"MEXIMIEUX","5.1945715111","45.906187269","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000107","01190",2025,"CH DE PONT DE VAUX","public","CHEMIN DES NIVRES",1190,"PONT DE VAUX","4.9468283136","46.432666644","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000115","01290",2025,"CHIC AIN VAL DE SAONE - PONT VEYLE","public","RUE PIERRE GOUJON",1290,"PONT DE VEYLE","4.8895782487","46.263462983","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000131","01140",2025,"CHIC AIN VAL DE SAONE - THOISSEY","public","11 RUE DE L HOPITAL",1140,"THOISSEY","4.8041851112","46.172263771","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000180","01110",2025,"CH HAUTEVILLE - UNITE ESPERANCE","public","AVENUE FELIX MANGINI",1110,"PLATEAU D HAUTEVILLE","5.6146294583","45.974134923","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010000214","01110",2025,"CH HAUTEVILLE - UNITE ALBARINE","public","AVENUE FELIX MANGINI",1110,"PLATEAU D HAUTEVILLE","5.6146294583","45.974134923","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010005239","01100",2025,"CH DU HAUT BUGEY - GEOVREISSET","public","1 ROUTE DE VEYZIAT",1108,"OYONNAX","5.6273411574","46.275058165","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010006526","01100",2025,"AURAL UNITE D'AUTODIALYSE OYONNAX","private for profit","2 ROUTE DE VEYZIAT",1100,"OYONNAX","5.6273411574","46.275058165","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010007300","01280",2025,"CLINIQUE AMBULATOIRE CENDANEG","private for profit","180 ROUTE DU NANT",1280,"PREVESSIN MOENS","6.0863001071","46.248434115","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010011385","01500",2025,"UNITÉ DE DIALYSE AMBERIEU EN BUGEY","private for profit","",1500,"AMBERIEU EN BUGEY","5.3595460686","45.958423261","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010780195","01000",2025,"CLINIQUE CONVERT BOURG-EN-B.","private for profit","62 AVENUE DE JASSERON",1000,"BOURG EN BRESSE","5.2536031671","46.211524646","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010780203","01500",2025,"HÔPITAL PRIVÉ D'AMBERIEU","private for profit","ENCEINTE PRAGNAT NORD",1506,"AMBERIEU EN BUGEY","5.3595460686","45.958423261","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010780294","01300",2025,"NEPHROCARE CH BELLEY","private for profit","700 AVENUE DE NARVIK",1300,"BELLEY","5.6805310519","45.75149467","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"010789006","01440",2025,"UNITÉ DE DIALYSE BOURG EN BRESSE","private for profit","6 RUE GAY LUSSAC",1440,"VIRIAT","5.2096398587","46.219242793","01","AIN","84","AUVERGNE-RHÔNE-ALPES",0,0
"020000089","02120",2025,"CH GUISE","public","858 RUE DES DOCTEURS DEVILLERS",2120,"GUISE","3.6400379651","49.902839377","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000097","02800",2025,"CH LA FÈRE","public","2 AVENUE DUPUIS",2800,"LA FERE","3.3603686517","49.663233464","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000105","02170",2025,"CH LE NOUVION-EN-THIÉRACHE","public","40 RUE ANDRÉ RIDDERS",2170,"LE NOUVION EN THIERACHE","3.7789901052","50.012290199","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000162","02100",2025,"CH SAINT-QUENTIN","public","1 RUE MICHEL DE L'HOSPITAL",2321,"SAINT QUENTIN","3.2691457249","49.861843628","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000246","02140",2025,"CH VERVINS","public","20 PLACE DE LA LIBERTÉ",2140,"VERVINS","3.9030879167","49.832369532","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000303","02310",2014,"LA RENAISSANCE SANITAIRE","private not-for-profit","1 RUE VICTOR ET LOUISE MONTFORT",2310,"VILLIERS SAINT DENIS","3.2674960345","48.995028686","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000311","02400",2014,"CLINIQUE COURLANCY CHÂTEAU-THIERRY","private for profit",NA,NA,NA,NA,NA,"02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000360","02200",2025,"CLINIQUE SAINT CHRISTOPHE","private for profit","30 RUE DE LA VICTOIRE",2200,"SOISSONS","3.3122656253","49.377328814","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000394","02000",2025,"CH LAON","public","33 RUE MARCELIN BERTHELOT",2001,"LAON","3.6109682573","49.563713589","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000519","02200",2025,"CH SOISSONS","public","46 AVENUE DU GÉNÉRAL DE GAULLE",2209,"SOISSONS","3.3358197468","49.370910678","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020000535","02300",2025,"CH CHAUNY","public","94 SQUARE DES ANCIENS COMBATTANTS",2303,"CHAUNY","3.2064613436","49.619282064","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020001061","02400",2025,"CH CHÂTEAU-THIERRY","public","ROUTE DE VERDILLY",2400,"CHATEAU THIERRY","3.4086439767","49.050524962","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020001087","02500",2025,"CH HIRSON","public","40 RUE AUX LOUPS",2500,"HIRSON","4.0736138504","49.924694781","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020001772","02300",2025,"CENTRE D'AUTODIALYSE CHAUNY","private for profit","45 RUE PASTEUR",2300,"CHAUNY","3.2217269398","49.618284659","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020001913","02000",2025,"UNITÉ D'AUTODIALYSE LAON","private for profit","46 RUE DU 13 OCTOBRE 1918",2000,"LAON","3.6111083196","49.565033978","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020004362","02000",2014,"MATERNITÉ CH LAON","public",NA,NA,NA,NA,NA,"02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020006441","02200",2025,"CENTRE D'AUTODIALYSE SOISSONS","private for profit","58 PLACE ST GEORGES",2200,"COURMELLES","3.312757484","49.34494079","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020010047","02100",2025,"HÔPITAL PRIVÉ SAINT CLAUDE","private for profit","1 BOULEVARD DU DOCTEUR SCHWEITZER",2315,"SAINT QUENTIN","3.3088368918","49.859674488","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020012613","02400",2018,"UNITÉ D'AUTODIALYSE BRASLES","private for profit","5 RUE DES GARATS",2400,"BRASLES","3.4104187528","49.046607512","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020012860","02100",2025,"UNITÉ D'AUTODIALYSE ST QUENTIN","private for profit","263 RUE DE FAYET",2100,"SAINT QUENTIN","3.2657956568","49.859012119","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020016242","02120",2025,"UDM SANTÉLYS GUISE","private for profit","934 RUE DES DOCTEURS DEVILLERS",2120,"GUISE","3.641209271","49.903075793","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020016366","02120",2025,"SMUR CH SAINT-QUENTIN GUISE","public","858 RUE DES DOCTEURS DEVILLERS",2120,"GUISE","3.6400379651","49.902839377","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020017075","02400",2025,"UNITÉ DE DIALYSE DE CHATEAU-THIERRY","private for profit","ROUTE DE VERDILLY",2400,"CHATEAU THIERRY","3.4086439767","49.050524962","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020017448","02100",2025,"SANTÉLYS DIALYSE À DOM CH ST QUENTIN","private for profit","RUE FAYET",2100,"SAINT QUENTIN","3.2661081054","49.857636931","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020017455","02000",2025,"SANTÉLYS DIALYSE À DOMICILE CH LAON","private for profit","46 RUE DU 13 OCTOBRE 1918",2000,"LAON","3.6111083196","49.565033978","02","AISNE","32","HAUTS-DE-FRANCE",0,0
