"finessGeoDP","annee","vda","n","pct"
"010780195",2021,"COE",83,100
"010780195",2022,"COE",63,100
"010780195",2023,"COE",79,100
"010780195",2024,"COE",70,97.2
"010780195",2024,"LAP",1,1.4
"010780195",2024,"ROB",1,1.4
"010780195",2025,"COE",31,100
"010780203",2021,"COE",81,97.6
"010780203",2021,"LAP",2,2.4
"010780203",2022,"COE",98,97
"010780203",2022,"LAP",3,3
"010780203",2023,"COE",111,91.7
"010780203",2023,"LAP",10,8.3
"010780203",2024,"COE",90,97.8
"010780203",2024,"LAP",2,2.2
"010780203",2025,"COE",48,100
"020000162",2021,"COE",63,98.4
"020000162",2021,"LAP",1,1.6
"020000162",2022,"COE",60,96.8
"020000162",2022,"LAP",2,3.2
"020000162",2023,"COE",57,100
"020000162",2024,"COE",43,74.1
"020000162",2024,"ROB",15,25.9
"020000162",2025,"COE",18,36.7
"020000162",2025,"ROB",31,63.3
"020000394",2021,"COE",40,93
"020000394",2021,"LAP",3,7
"020000394",2022,"COE",50,94.3
"020000394",2022,"LAP",3,5.7
"020000394",2023,"COE",34,97.1
"020000394",2023,"LAP",1,2.9
"020000394",2024,"COE",42,89.4
"020000394",2024,"LAP",5,10.6
"020000394",2025,"COE",20,100
"020000519",2021,"COE",21,100
"020000519",2022,"COE",55,100
"020000519",2023,"COE",53,100
"020000519",2024,"COE",66,100
"020000519",2025,"COE",35,100
"020010047",2021,"COE",81,100
"020010047",2022,"COE",85,98.8
"020010047",2022,"LAP",1,1.2
"020010047",2023,"COE",56,100
"020010047",2024,"COE",67,100
"020010047",2025,"COE",40,100
"030781116",2021,"COE",62,98.4
"030781116",2021,"LAP",1,1.6
"030781116",2022,"COE",44,100
"030781116",2023,"COE",59,100
"030781116",2024,"COE",59,100
"030781116",2025,"COE",28,100
"040000093",2021,"COE",14,100
"040000093",2022,"COE",34,100
"040000093",2023,"COE",37,100
"040000093",2024,"COE",25,100
"040000093",2025,"COE",15,100
"050000348",2021,"COE",46,88.5
"050000348",2021,"ROB",6,11.5
"050000348",2022,"COE",43,89.6
"050000348",2022,"ROB",5,10.4
"050000348",2023,"COE",25,80.6
"050000348",2023,"ROB",6,19.4
"050000348",2024,"COE",26,51
"050000348",2024,"ROB",25,49
"050000348",2025,"COE",5,26.3
"050000348",2025,"ROB",14,73.7
"060000478",2021,"COE",37,100
