"lib_reg","TOT","TOT_rev","PCT_rev"
"AUVERGNE-RHÃ”NE-ALPES",20186,3632,18
"BOURGOGNE-FRANCHE-COMTÃ‰",6177,937,15.2
"BRETAGNE",5222,486,9.3
"CENTRE-VAL DE LOIRE",3238,335,10.3
"CORSE",462,65,14.1
"GRAND EST",13747,1459,10.6
"GUADELOUPE",929,42,4.5
"HAUTS-DE-FRANCE",17221,2459,14.3
"ILE-DE-FRANCE",29204,3720,12.7
"LA RÃ‰UNION",1925,201,10.4
"MARTINIQUE",376,70,18.6
"NORMANDIE",7707,853,11.1
"NOUVELLE-AQUITAINE",11646,1370,11.8
"OCCITANIE",15097,2060,13.6
"PAYS DE LA LOIRE",6325,536,8.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",14403,1803,12.5
