"finessGeoDP","annee","mois","baria_t","n"
"010780195",2021,1,"BPG",2
"010780195",2021,2,"BPG",7
"010780195",2021,2,"SLE",2
"010780195",2021,3,"BPG",9
"010780195",2021,3,"SLE",3
"010780195",2021,4,"BPG",3
"010780195",2021,5,"BPG",4
"010780195",2021,5,"SLE",3
"010780195",2021,6,"BPG",6
"010780195",2021,6,"SLE",4
"010780195",2021,7,"BPG",4
"010780195",2021,7,"SLE",2
"010780195",2021,8,"BPG",7
"010780195",2021,9,"BPG",9
"010780195",2021,9,"SLE",1
"010780195",2021,10,"BPG",6
"010780195",2021,10,"SLE",1
"010780195",2021,11,"BPG",4
"010780195",2021,11,"SLE",1
"010780195",2021,12,"BPG",4
"010780195",2021,12,"SLE",1
"010780195",2022,1,"BPG",1
"010780195",2022,2,"BPG",3
"010780195",2022,2,"SLE",4
"010780195",2022,3,"BPG",2
"010780195",2022,3,"SLE",3
"010780195",2022,4,"BPG",8
"010780195",2022,5,"BPG",4
"010780195",2022,6,"BPG",2
"010780195",2022,6,"SLE",3
"010780195",2022,7,"BPG",6
"010780195",2022,8,"BPG",4
"010780195",2022,9,"BPG",4
"010780195",2022,10,"BPG",5
"010780195",2022,10,"SLE",1
"010780195",2022,11,"BPG",7
"010780195",2022,11,"SLE",1
"010780195",2022,12,"BPG",4
"010780195",2023,1,"BPG",4
"010780195",2023,1,"SLE",2
"010780195",2023,2,"BPG",8
"010780195",2023,3,"BPG",7
"010780195",2023,3,"SLE",2
"010780195",2023,4,"BPG",4
"010780195",2023,4,"SLE",1
"010780195",2023,5,"BPG",3
"010780195",2023,5,"SLE",1
"010780195",2023,6,"BPG",6
"010780195",2023,6,"SLE",1
"010780195",2023,7,"BPG",6
"010780195",2023,7,"SLE",1
"010780195",2023,8,"BPG",3
"010780195",2023,9,"BPG",5
"010780195",2023,9,"SLE",3
"010780195",2023,10,"BPG",6
"010780195",2023,10,"SLE",3
"010780195",2023,11,"BPG",8
"010780195",2023,12,"BPG",4
"010780195",2023,12,"SLE",1
"010780195",2024,1,"BPG",6
"010780195",2024,1,"SLE",2
"010780195",2024,2,"BPG",9
"010780195",2024,2,"SLE",1
"010780195",2024,3,"BPG",7
"010780195",2024,3,"SLE",3
"010780195",2024,4,"BPG",3
"010780195",2024,4,"SLE",2
"010780195",2024,5,"BPG",5
"010780195",2024,5,"SLE",2
"010780195",2024,6,"BPG",8
"010780195",2024,6,"SLE",1
"010780195",2024,7,"BPG",9
"010780195",2024,9,"BPG",3
"010780195",2024,9,"SLE",1
"010780195",2024,10,"BPG",2
"010780195",2024,10,"SLE",3
"010780195",2024,11,"BPG",4
"010780195",2024,12,"BPG",1
"010780195",2025,1,"BPG",3
"010780195",2025,1,"SLE",5
"010780195",2025,2,"BPG",3
"010780195",2025,2,"SLE",2
"010780195",2025,3,"BPG",6
"010780195",2025,3,"SLE",5
"010780195",2025,4,"BPG",4
"010780195",2025,4,"SLE",3
"010780203",2021,1,"BPG",2
"010780203",2021,1,"SLE",6
"010780203",2021,2,"BPG",1
"010780203",2021,2,"SLE",9
"010780203",2021,3,"SLE",1
"010780203",2021,4,"BPG",3
"010780203",2021,4,"SLE",1
"010780203",2021,5,"BPG",5
"010780203",2021,5,"SLE",5
"010780203",2021,6,"BPG",4
"010780203",2021,6,"SLE",4
"010780203",2021,7,"SLE",9
"010780203",2021,8,"BPG",3
"010780203",2021,8,"SLE",2
"010780203",2021,9,"BPG",3
"010780203",2021,9,"SLE",1
"010780203",2021,10,"BPG",5
"010780203",2021,10,"SLE",5
"010780203",2021,11,"BPG",4
"010780203",2021,11,"SLE",3
"010780203",2021,12,"BPG",3
"010780203",2022,1,"BPG",1
"010780203",2022,1,"SLE",1
"010780203",2022,2,"BPG",13
"010780203",2022,2,"SLE",4
"010780203",2022,3,"BPG",4
"010780203",2022,3,"SLE",3
"010780203",2022,4,"BPG",3
"010780203",2022,4,"SLE",1
"010780203",2022,5,"BPG",3
"010780203",2022,6,"BPG",1
"010780203",2022,6,"SLE",2
"010780203",2022,7,"BPG",3
"010780203",2022,7,"SLE",8
"010780203",2022,8,"BPG",4
"010780203",2022,8,"SLE",2
"010780203",2022,9,"BPG",9
"010780203",2022,9,"SLE",7
"010780203",2022,10,"BPG",5
"010780203",2022,10,"SLE",6
"010780203",2022,11,"BPG",8
"010780203",2022,11,"SLE",3
"010780203",2022,12,"BPG",3
"010780203",2022,12,"SLE",5
"010780203",2023,1,"BPG",9
"010780203",2023,1,"SLE",8
"010780203",2023,2,"BPG",12
"010780203",2023,2,"SLE",2
"010780203",2023,3,"BPG",7
"010780203",2023,3,"SLE",4
"010780203",2023,4,"BPG",7
"010780203",2023,4,"SLE",3
"010780203",2023,5,"BPG",7
"010780203",2023,5,"SLE",4
"010780203",2023,6,"BPG",3
"010780203",2023,6,"SLE",4
"010780203",2023,7,"BPG",2
"010780203",2023,8,"BPG",4
"010780203",2023,8,"SLE",2
"010780203",2023,9,"BPG",8
