"finessGeoDP","annee","baria_t","n","pct"
"010780195",2021,"BPG",65,78.3
"010780195",2021,"SLE",18,21.7
"010780195",2022,"ANN",1,1.6
"010780195",2022,"BPG",50,79.4
"010780195",2022,"SLE",12,19
"010780195",2023,"BPG",64,81
"010780195",2023,"SLE",15,19
"010780195",2024,"BPG",57,79.2
"010780195",2024,"SLE",15,20.8
"010780195",2025,"BPG",16,51.6
"010780195",2025,"SLE",15,48.4
"010780203",2021,"ANN",4,4.8
"010780203",2021,"BPG",33,39.8
"010780203",2021,"SLE",46,55.4
"010780203",2022,"ANN",2,2
"010780203",2022,"BPG",57,56.4
"010780203",2022,"SLE",42,41.6
"010780203",2023,"BPG",80,66.1
"010780203",2023,"SLE",41,33.9
"010780203",2024,"ANN",1,1.1
"010780203",2024,"BPG",55,59.8
"010780203",2024,"SLE",36,39.1
"010780203",2025,"BPG",34,70.8
"010780203",2025,"SLE",14,29.2
"020000162",2021,"BPG",10,15.6
"020000162",2021,"DBP",1,1.6
"020000162",2021,"SLE",53,82.8
"020000162",2022,"BPG",10,16.1
"020000162",2022,"SLE",52,83.9
"020000162",2023,"BPG",4,7
"020000162",2023,"SLE",53,93
"020000162",2024,"BPG",8,13.8
"020000162",2024,"SLE",50,86.2
"020000162",2025,"BPG",10,20.4
"020000162",2025,"SLE",39,79.6
"020000394",2021,"BPG",5,11.6
"020000394",2021,"SLE",38,88.4
"020000394",2022,"BPG",3,5.7
"020000394",2022,"SLE",50,94.3
"020000394",2023,"BPG",1,2.9
"020000394",2023,"SLE",34,97.1
"020000394",2024,"BPG",5,10.6
"020000394",2024,"SLE",42,89.4
"020000394",2025,"SLE",20,100
"020000519",2021,"BPG",2,9.5
"020000519",2021,"SLE",19,90.5
"020000519",2022,"BPG",7,12.7
"020000519",2022,"SLE",48,87.3
"020000519",2023,"BPG",5,9.4
"020000519",2023,"SLE",48,90.6
"020000519",2024,"BPG",6,9.1
"020000519",2024,"SLE",60,90.9
"020000519",2025,"BPG",6,17.1
"020000519",2025,"SLE",29,82.9
"020010047",2021,"ANN",3,3.7
"020010047",2021,"BPG",22,27.2
"020010047",2021,"SLE",56,69.1
"020010047",2022,"ANN",1,1.2
"020010047",2022,"BPG",15,17.4
"020010047",2022,"SLE",70,81.4
"020010047",2023,"BPG",9,16.1
"020010047",2023,"SLE",47,83.9
"020010047",2024,"ANN",1,1.5
"020010047",2024,"BPG",15,22.4
"020010047",2024,"SLE",51,76.1
"020010047",2025,"ANN",1,2.5
"020010047",2025,"BPG",10,25
"020010047",2025,"SLE",29,72.5
"030781116",2021,"BPG",5,7.9
"030781116",2021,"SLE",58,92.1
"030781116",2022,"BPG",4,9.1
"030781116",2022,"SLE",40,90.9
"030781116",2023,"BPG",7,11.9
"030781116",2023,"SLE",52,88.1
"030781116",2024,"BPG",5,8.5
"030781116",2024,"SLE",54,91.5
"030781116",2025,"BPG",4,14.3
"030781116",2025,"SLE",24,85.7
"040000093",2021,"BPG",8,57.1
"040000093",2021,"SLE",6,42.9
"040000093",2022,"BPG",17,50
"040000093",2022,"SLE",17,50
"040000093",2023,"BPG",18,48.6
"040000093",2023,"SLE",19,51.4
"040000093",2024,"BPG",10,40
"040000093",2024,"DBP",1,4
"040000093",2024,"SLE",14,56
"040000093",2025,"BPG",6,40
"040000093",2025,"SLE",9,60
"050000348",2021,"BPG",8,15.4
"050000348",2021,"SLE",44,84.6
"050000348",2022,"ANN",1,2.1
"050000348",2022,"BPG",8,16.7
"050000348",2022,"SLE",39,81.2
"050000348",2023,"BPG",5,16.1
