"lib_reg","VOL_2024","VOL_2025","diff_pct"
"AUVERGNE-RHÃ”NE-ALPES",2208,2044,-7.4
"BOURGOGNE-FRANCHE-COMTÃ‰",681,719,5.6
"BRETAGNE",577,526,-8.8
"CENTRE-VAL DE LOIRE",377,372,-1.3
"CORSE",59,55,-6.8
"GRAND EST",1567,1484,-5.3
"GUADELOUPE",100,72,-28
"HAUTS-DE-FRANCE",1989,1873,-5.8
"ILE-DE-FRANCE",3181,2891,-9.1
"LA RÃ‰UNION",212,166,-21.7
"MARTINIQUE",46,36,-21.7
"NORMANDIE",879,824,-6.3
"NOUVELLE-AQUITAINE",1439,1216,-15.5
"OCCITANIE",1634,1421,-13
"PAYS DE LA LOIRE",736,636,-13.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",1575,1592,1.1
