"statut","annee","n"
"private for profit",2021,24601
"private for profit",2022,22857
"private for profit",2023,21519
"private for profit",2024,19430
"private for profit",2025,10074
"private not-for-profit",2021,2813
"private not-for-profit",2022,2596
"private not-for-profit",2023,2570
"private not-for-profit",2024,2435
"private not-for-profit",2025,1210
"public",2021,5399
"public",2022,5180
"public",2023,5064
"public",2024,5112
"public",2025,2592
"public academic",2021,4761
"public academic",2022,4949
"public academic",2023,4660
"public academic",2024,3992
"public academic",2025,2051
