"lib_reg","annee","clav_cat_90","TOT","COMPL_nb","COMPL_pct"
"AUVERGNE-RHÃ”NE-ALPES",2021,3,5228,108,2.07
"AUVERGNE-RHÃ”NE-ALPES",2021,4,5228,14,0.27
"AUVERGNE-RHÃ”NE-ALPES",2022,3,4534,91,2.01
"AUVERGNE-RHÃ”NE-ALPES",2022,4,4534,11,0.24
"AUVERGNE-RHÃ”NE-ALPES",2022,5,4534,2,0.04
"AUVERGNE-RHÃ”NE-ALPES",2023,3,4312,79,1.83
"AUVERGNE-RHÃ”NE-ALPES",2023,4,4312,16,0.37
"AUVERGNE-RHÃ”NE-ALPES",2023,5,4312,1,0.02
"AUVERGNE-RHÃ”NE-ALPES",2024,3,4068,65,1.6
"AUVERGNE-RHÃ”NE-ALPES",2024,4,4068,22,0.54
"AUVERGNE-RHÃ”NE-ALPES",2024,5,4068,4,0.1
"AUVERGNE-RHÃ”NE-ALPES",2025,3,2044,65,3.18
"AUVERGNE-RHÃ”NE-ALPES",2025,4,2044,7,0.34
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,3,1567,36,2.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,4,1567,5,0.32
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,5,1567,1,0.06
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,3,1352,26,1.92
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,4,1352,3,0.22
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,3,1289,26,2.02
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,4,1289,6,0.47
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,5,1289,1,0.08
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,3,1250,20,1.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,4,1250,6,0.48
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,5,1250,1,0.08
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,3,719,23,3.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,4,719,4,0.56
"BRETAGNE",2021,3,1253,32,2.55
"BRETAGNE",2021,4,1253,9,0.72
"BRETAGNE",2021,5,1253,2,0.16
"BRETAGNE",2022,3,1189,37,3.11
"BRETAGNE",2022,4,1189,3,0.25
"BRETAGNE",2023,3,1196,26,2.17
"BRETAGNE",2023,4,1196,4,0.33
"BRETAGNE",2024,3,1058,29,2.74
"BRETAGNE",2024,4,1058,6,0.57
"BRETAGNE",2024,5,1058,1,0.09
"BRETAGNE",2025,3,526,14,2.66
"BRETAGNE",2025,4,526,2,0.38
"CENTRE-VAL DE LOIRE",2021,3,697,18,2.58
"CENTRE-VAL DE LOIRE",2021,4,697,5,0.72
"CENTRE-VAL DE LOIRE",2022,3,728,20,2.75
"CENTRE-VAL DE LOIRE",2022,4,728,4,0.55
"CENTRE-VAL DE LOIRE",2022,5,728,1,0.14
"CENTRE-VAL DE LOIRE",2023,3,756,27,3.57
"CENTRE-VAL DE LOIRE",2023,4,756,5,0.66
"CENTRE-VAL DE LOIRE",2023,5,756,1,0.13
"CENTRE-VAL DE LOIRE",2024,3,685,11,1.61
"CENTRE-VAL DE LOIRE",2024,4,685,9,1.31
"CENTRE-VAL DE LOIRE",2024,5,685,1,0.15
"CENTRE-VAL DE LOIRE",2025,3,372,10,2.69
"CENTRE-VAL DE LOIRE",2025,4,372,3,0.81
"CORSE",2021,3,128,4,3.12
"CORSE",2021,4,128,1,0.78
"CORSE",2021,5,128,1,0.78
"CORSE",2022,3,103,5,4.85
"CORSE",2022,4,103,2,1.94
"CORSE",2023,3,92,5,5.43
"CORSE",2024,3,84,6,7.14
"CORSE",2025,3,55,2,3.64
"GRAND EST",2021,3,3142,50,1.59
"GRAND EST",2021,4,3142,12,0.38
"GRAND EST",2021,5,3142,1,0.03
"GRAND EST",2022,3,3118,47,1.51
"GRAND EST",2022,4,3118,10,0.32
"GRAND EST",2022,5,3118,2,0.06
"GRAND EST",2023,3,3179,60,1.89
"GRAND EST",2023,4,3179,20,0.63
"GRAND EST",2024,3,2824,25,0.89
"GRAND EST",2024,4,2824,10,0.35
"GRAND EST",2024,5,2824,1,0.04
"GRAND EST",2025,3,1484,27,1.82
"GRAND EST",2025,4,1484,4,0.27
"GRAND EST",2025,5,1484,1,0.07
"GUADELOUPE",2021,3,197,5,2.54
"GUADELOUPE",2021,4,197,1,0.51
"GUADELOUPE",2022,3,240,6,2.5
"GUADELOUPE",2022,4,240,1,0.42
"GUADELOUPE",2023,3,239,3,1.26
"GUADELOUPE",2024,3,181,5,2.76
"GUADELOUPE",2025,3,72,5,6.94
"HAUTS-DE-FRANCE",2021,3,3975,75,1.89
"HAUTS-DE-FRANCE",2021,4,3975,39,0.98
"HAUTS-DE-FRANCE",2021,5,3975,1,0.03
"HAUTS-DE-FRANCE",2022,3,3959,79,2
"HAUTS-DE-FRANCE",2022,4,3959,25,0.63
"HAUTS-DE-FRANCE",2022,5,3959,2,0.05
"HAUTS-DE-FRANCE",2023,3,3859,64,1.66
"HAUTS-DE-FRANCE",2023,4,3859,25,0.65
"HAUTS-DE-FRANCE",2024,3,3555,49,1.38
"HAUTS-DE-FRANCE",2024,4,3555,16,0.45
"HAUTS-DE-FRANCE",2025,3,1873,61,3.26
"HAUTS-DE-FRANCE",2025,4,1873,5,0.27
"ILE-DE-FRANCE",2021,3,7506,169,2.25
"ILE-DE-FRANCE",2021,4,7506,63,0.84
"ILE-DE-FRANCE",2022,3,6957,158,2.27
"ILE-DE-FRANCE",2022,4,6957,65,0.93
"ILE-DE-FRANCE",2022,5,6957,5,0.07
"ILE-DE-FRANCE",2023,3,6320,136,2.15
"ILE-DE-FRANCE",2023,4,6320,62,0.98
"ILE-DE-FRANCE",2024,3,5530,100,1.81
"ILE-DE-FRANCE",2024,4,5530,64,1.16
"ILE-DE-FRANCE",2024,5,5530,1,0.02
"ILE-DE-FRANCE",2025,3,2891,88,3.04
"ILE-DE-FRANCE",2025,4,2891,27,0.93
"LA RÃ‰UNION",2021,3,407,12,2.95
"LA RÃ‰UNION",2021,4,407,4,0.98
"LA RÃ‰UNION",2022,3,480,11,2.29
"LA RÃ‰UNION",2023,3,474,14,2.95
"LA RÃ‰UNION",2023,4,474,3,0.63
"LA RÃ‰UNION",2024,3,398,3,0.75
"LA RÃ‰UNION",2024,4,398,2,0.5
"LA RÃ‰UNION",2025,3,166,8,4.82
"LA RÃ‰UNION",2025,4,166,1,0.6
"LA RÃ‰UNION",2025,5,166,1,0.6
"MARTINIQUE",2021,3,88,1,1.14
"MARTINIQUE",2022,5,80,1,1.25
"MARTINIQUE",2023,3,91,1,1.1
"MARTINIQUE",2024,3,81,1,1.23
"NORMANDIE",2021,3,1850,45,2.43
"NORMANDIE",2021,4,1850,9,0.49
"NORMANDIE",2021,5,1850,1,0.05
"NORMANDIE",2022,3,1815,53,2.92
"NORMANDIE",2022,4,1815,13,0.72
"NORMANDIE",2023,3,1666,35,2.1
"NORMANDIE",2023,4,1666,10,0.6
"NORMANDIE",2023,5,1666,1,0.06
"NORMANDIE",2024,3,1552,37,2.38
"NORMANDIE",2024,4,1552,5,0.32
"NORMANDIE",2024,5,1552,2,0.13
"NORMANDIE",2025,3,824,27,3.28
"NORMANDIE",2025,4,824,6,0.73
"NOUVELLE-AQUITAINE",2021,3,2690,87,3.23
"NOUVELLE-AQUITAINE",2021,4,2690,23,0.86
"NOUVELLE-AQUITAINE",2021,5,2690,2,0.07
"NOUVELLE-AQUITAINE",2022,3,2566,58,2.26
"NOUVELLE-AQUITAINE",2022,4,2566,19,0.74
"NOUVELLE-AQUITAINE",2022,5,2566,1,0.04
"NOUVELLE-AQUITAINE",2023,3,2573,57,2.22
"NOUVELLE-AQUITAINE",2023,4,2573,22,0.86
"NOUVELLE-AQUITAINE",2023,5,2573,2,0.08
"NOUVELLE-AQUITAINE",2024,3,2601,48,1.85
"NOUVELLE-AQUITAINE",2024,4,2601,22,0.85
"NOUVELLE-AQUITAINE",2024,5,2601,2,0.08
"NOUVELLE-AQUITAINE",2025,3,1216,55,4.52
"NOUVELLE-AQUITAINE",2025,4,1216,13,1.07
"NOUVELLE-AQUITAINE",2025,5,1216,1,0.08
"OCCITANIE",2021,3,3766,101,2.68
"OCCITANIE",2021,4,3766,31,0.82
"OCCITANIE",2022,3,3655,79,2.16
"OCCITANIE",2022,4,3655,33,0.9
"OCCITANIE",2022,5,3655,1,0.03
"OCCITANIE",2023,3,3264,76,2.33
"OCCITANIE",2023,4,3264,38,1.16
"OCCITANIE",2024,3,2991,49,1.64
"OCCITANIE",2024,4,2991,41,1.37
"OCCITANIE",2024,5,2991,2,0.07
"OCCITANIE",2025,3,1421,42,2.96
"OCCITANIE",2025,4,1421,17,1.2
"PAYS DE LA LOIRE",2021,3,1491,37,2.48
"PAYS DE LA LOIRE",2021,4,1491,10,0.67
"PAYS DE LA LOIRE",2022,3,1520,41,2.7
"PAYS DE LA LOIRE",2022,4,1520,6,0.39
"PAYS DE LA LOIRE",2022,5,1520,1,0.07
