"statut","annee","clav_cat_90","TOT","COMPL_nb","COMPL_pct"
"private for profit",2021,3,24601,560,2.28
"private for profit",2021,4,24601,128,0.52
"private for profit",2021,5,24601,5,0.02
"private for profit",2022,3,22857,506,2.21
"private for profit",2022,4,22857,111,0.49
"private for profit",2022,5,22857,8,0.04
"private for profit",2023,3,21519,445,2.07
"private for profit",2023,4,21519,113,0.53
"private for profit",2023,5,21519,3,0.01
"private for profit",2024,3,19430,358,1.84
"private for profit",2024,4,19430,102,0.52
"private for profit",2024,5,19430,11,0.06
"private for profit",2025,3,10074,297,2.95
"private for profit",2025,4,10074,42,0.42
"private for profit",2025,5,10074,1,0.01
"private not-for-profit",2021,3,2813,85,3.02
"private not-for-profit",2021,4,2813,15,0.53
"private not-for-profit",2022,3,2596,50,1.93
"private not-for-profit",2022,4,2596,8,0.31
"private not-for-profit",2022,5,2596,2,0.08
"private not-for-profit",2023,3,2570,53,2.06
"private not-for-profit",2023,4,2570,17,0.66
"private not-for-profit",2024,3,2435,32,1.31
"private not-for-profit",2024,4,2435,19,0.78
"private not-for-profit",2025,3,1210,40,3.31
"private not-for-profit",2025,4,1210,12,0.99
"private not-for-profit",2025,5,1210,1,0.08
"public",2021,3,5399,114,2.11
"public",2021,4,5399,48,0.89
"public",2021,5,5399,4,0.07
"public",2022,3,5180,111,2.14
"public",2022,4,5180,49,0.95
"public",2022,5,5180,5,0.1
"public",2023,3,5064,88,1.74
"public",2023,4,5064,42,0.83
"public",2023,5,5064,1,0.02
"public",2024,3,5112,75,1.47
"public",2024,4,5112,48,0.94
"public",2024,5,5112,5,0.1
"public",2025,3,2592,86,3.32
"public",2025,4,2592,16,0.62
"public academic",2021,3,4761,106,2.23
"public academic",2021,4,4761,62,1.3
"public academic",2021,5,4761,1,0.02
"public academic",2022,3,4949,103,2.08
"public academic",2022,4,4949,48,0.97
"public academic",2022,5,4949,2,0.04
"public academic",2023,3,4660,119,2.55
"public academic",2023,4,4660,63,1.35
"public academic",2023,5,4660,9,0.19
"public academic",2024,3,3992,55,1.38
"public academic",2024,4,3992,55,1.38
"public academic",2024,5,3992,2,0.05
"public academic",2025,3,2051,68,3.32
"public academic",2025,4,2051,35,1.71
"public academic",2025,5,2051,1,0.05
