"finessGeoDP","TOT","LOS_7_nb","LOS_7_pct"
"010780195",328,6,1.8
"010780203",445,4,0.9
"020000162",290,2,0.7
"020000394",198,3,1.5
"020000519",230,4,1.7
"020010047",330,0,0
"030781116",253,9,3.6
"040000093",125,17,13.6
"050000348",201,8,4
"060000478",133,10,7.5
"060000510",428,5,1.2
"060021417",366,11,3
"060780491",406,13,3.2
"060780590",236,2,0.8
"060780715",326,3,0.9
"060789195",755,32,4.2
"060800166",114,2,1.8
"070780424",466,5,1.1
"080010473",538,8,1.5
"100000082",153,0,0
"100000124",528,11,2.1
"100010818",263,2,0.8
"110000023",480,12,2.5
"110000056",190,23,12.1
"130000409",198,3,1.5
"130001225",265,14,5.3
"130043664",1055,17,1.6
"130780521",342,38,11.1
"130781479",649,9,1.4
"130782162",486,13,2.7
"130783236",434,33,7.6
"130783327",1014,8,0.8
"130784051",192,5,2.6
"130785652",447,12,2.7
"130786361",1218,4,0.3
"130786742",186,17,9.1
"130810740",637,15,2.4
"140000209",710,39,5.5
"140000290",101,3,3
"140016759",539,39,7.2
"140017237",241,4,1.7
"140018730",119,1,0.8
"160000253",196,2,1
"160013207",397,2,0.5
"170000095",211,0,0
"170000152",540,36,6.7
"170780563",259,13,5
"170780662",187,1,0.5
"180004145",291,9,3.1
"190013482",170,15,8.8
"210012670",1038,9,0.9
"210780789",586,9,1.5
"210987558",157,10,6.4
"220000012",141,4,2.8
"220005599",152,2,1.3
"220022800",395,6,1.5
"250011848",902,11,1.2
"260000260",429,10,2.3
"260003017",275,0,0
"280000084",138,7,5.1
"280504267",236,13,5.5
"280505777",170,0,0
"290000025",144,10,6.9
"290000215",86,2,2.3
"290004324",344,25,7.3
"290019777",350,5,1.4
"290036540",134,4,3
"2A0000139",111,3,2.7
"2B0000145",351,16,4.6
"300000023",157,4,2.5
"300780137",265,8,3
"300782117",973,28,2.9
"300788502",818,24,2.9
"310026927",258,10,3.9
"310780283",497,9,1.8
"310780382",263,6,2.3
"310781000",2565,41,1.6
"310781505",700,28,4
"310783055",536,17,3.2
"330000340",334,23,6.9
"330780115",239,1,0.4
"330780263",430,13,3
"330780479",303,4,1.3
"330780511",156,1,0.6
"330780529",1026,28,2.7
"330781402",974,12,1.2
"330782582",258,8,3.1
"330783648",361,49,13.6
"340000033",308,9,2.9
"340009885",196,16,8.2
"340015502",1129,45,4
"340015965",702,20,2.8
"340024314",208,16,7.7
"340780667",326,6,1.8
"340780675",493,10,2
"340780741",239,4,1.7
"340782036",1128,81,7.2
"350000121",1507,25,1.7
"350000139",194,7,3.6
"350000147",212,2,0.9
"350000741",150,7,4.7
"360000129",207,2,1
"370000093",661,15,2.3
"370004467",221,29,13.1
"370007569",221,6,2.7
"380000067",483,18,3.7
"380000174",196,5,2.6
"380012658",299,5,1.7
"380780197",355,1,0.3
"380785956",1145,13,1.1
"400000105",442,12,2.7
"410000020",231,9,3.9
"420010050",1135,18,1.6
"420011413",851,12,1.4
"420785354",301,9,3
"430000117",170,4,2.4
"440000271",653,10,1.5
"440000412",830,10,1.2
"440029338",641,4,0.6
"440033819",651,4,0.6
"440050433",507,6,1.2
"450002613",703,35,5
"450010079",159,5,3.1
"460000045",162,10,6.2
"470000027",279,2,0.7
"470000423",155,5,3.2
"470016049",435,8,1.8
"490000049",154,8,5.2
"490014909",1904,36,1.9
"500000146",122,1,0.8
"500000187",183,0,0
"500000203",161,2,1.2
"500000450",276,4,1.4
"500002357",224,12,5.4
"510002447",353,20,5.7
"510024979",991,5,0.5
"540000478",299,3,1
"540000486",352,3,0.9
"540001096",274,0,0
"540002698",1009,39,3.9
"540026895",447,1,0.2
"550000178",119,0,0
"560000127",186,7,3.8
"560000135",224,14,6.2
"560000143",195,12,6.2
"560008799",659,7,1.1
"560029068",149,0,0
"570000059",427,12,2.8
"570000083",545,3,0.6
"570000349",187,7,3.7
"570000356",69,1,1.4
"570000646",321,2,0.6
"570026252",290,26,9
"570026682",228,14,6.1
"590000337",170,5,2.9
"590000428",221,5,2.3
"590000592",369,6,1.6
"590000618",492,8,1.6
"590006896",192,0,0
"590008041",1679,51,3
"590052056",549,28,5.1
"590780268",385,9,2.3
"590780284",611,13,2.1
"590780383",1566,21,1.3
"590801106",168,14,8.3
"590811279",1109,141,12.7
"590813507",237,1,0.4
"590815056",818,7,0.9
"590816310",336,6,1.8
"590817458",233,0,0
"600000467",254,7,2.8
"600010862",122,1,0.8
"600100754",1024,12,1.2
"600110175",478,14,2.9
"600113476",471,7,1.5
"610000069",266,4,1.5
"610000119",179,17,9.5
"620000224",173,2,1.2
