"lib_reg","TOT","LOS_7_nb","LOS_7_pct"
"AUVERGNE-RHÃ”NE-ALPES",20186,324,1.6
"BOURGOGNE-FRANCHE-COMTÃ‰",6177,184,3
"BRETAGNE",5222,139,2.7
"CENTRE-VAL DE LOIRE",3238,130,4
"CORSE",462,19,4.1
"GRAND EST",13747,242,1.8
"GUADELOUPE",929,46,5
"HAUTS-DE-FRANCE",17221,439,2.5
"ILE-DE-FRANCE",29204,1163,4
"LA RÃ‰UNION",1925,109,5.7
"MARTINIQUE",376,18,4.8
"NORMANDIE",7707,225,2.9
"NOUVELLE-AQUITAINE",11646,406,3.5
"OCCITANIE",15097,490,3.2
"PAYS DE LA LOIRE",6325,102,1.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",14403,381,2.6
