"finessGeoDP","annee","duree_cat","LOS_nb","LOS_pct"
"010780195",2021,"(0,3]",80,96.4
"010780195",2021,"(3,6]",3,3.6
"010780195",2022,"(0,3]",52,82.5
"010780195",2022,"(3,6]",10,15.9
"010780195",2022,"(6,225]",1,1.6
"010780195",2023,"(0,3]",73,92.4
"010780195",2023,"(3,6]",4,5.1
"010780195",2023,"(6,225]",2,2.5
"010780195",2024,"(0,3]",64,88.9
"010780195",2024,"(3,6]",5,6.9
"010780195",2024,"(6,225]",3,4.2
"010780195",2025,"(0,3]",29,93.5
"010780195",2025,"(3,6]",2,6.5
"010780203",2021,"[-1,0]",4,4.8
"010780203",2021,"(0,3]",67,80.7
"010780203",2021,"(3,6]",11,13.3
"010780203",2021,"(6,225]",1,1.2
"010780203",2022,"[-1,0]",2,2
"010780203",2022,"(0,3]",84,83.2
"010780203",2022,"(3,6]",14,13.9
"010780203",2022,"(6,225]",1,1
"010780203",2023,"(0,3]",113,93.4
"010780203",2023,"(3,6]",8,6.6
"010780203",2024,"[-1,0]",1,1.1
"010780203",2024,"(0,3]",88,95.7
"010780203",2024,"(3,6]",2,2.2
"010780203",2024,"(6,225]",1,1.1
"010780203",2025,"(0,3]",47,97.9
"010780203",2025,"(6,225]",1,2.1
"020000162",2021,"(0,3]",50,78.1
"020000162",2021,"(3,6]",14,21.9
"020000162",2022,"(0,3]",56,90.3
"020000162",2022,"(3,6]",5,8.1
"020000162",2022,"(6,225]",1,1.6
"020000162",2023,"(0,3]",49,86
"020000162",2023,"(3,6]",8,14
"020000162",2024,"(0,3]",51,87.9
"020000162",2024,"(3,6]",6,10.3
"020000162",2024,"(6,225]",1,1.7
"020000162",2025,"(0,3]",44,89.8
"020000162",2025,"(3,6]",5,10.2
"020000394",2021,"(0,3]",36,83.7
"020000394",2021,"(3,6]",7,16.3
"020000394",2022,"(0,3]",48,90.6
"020000394",2022,"(3,6]",4,7.5
"020000394",2022,"(6,225]",1,1.9
"020000394",2023,"(0,3]",30,85.7
"020000394",2023,"(3,6]",4,11.4
"020000394",2023,"(6,225]",1,2.9
"020000394",2024,"(0,3]",40,85.1
"020000394",2024,"(3,6]",6,12.8
"020000394",2024,"(6,225]",1,2.1
"020000394",2025,"(0,3]",20,100
"020000519",2021,"(0,3]",2,9.5
"020000519",2021,"(3,6]",16,76.2
"020000519",2021,"(6,225]",3,14.3
"020000519",2022,"(0,3]",11,20
"020000519",2022,"(3,6]",43,78.2
"020000519",2022,"(6,225]",1,1.8
"020000519",2023,"(0,3]",39,73.6
"020000519",2023,"(3,6]",14,26.4
"020000519",2024,"(0,3]",54,81.8
"020000519",2024,"(3,6]",12,18.2
"020000519",2025,"(0,3]",29,82.9
"020000519",2025,"(3,6]",6,17.1
"020010047",2021,"[-1,0]",2,2.5
"020010047",2021,"(0,3]",79,97.5
"020010047",2022,"[-1,0]",1,1.2
"020010047",2022,"(0,3]",83,96.5
"020010047",2022,"(3,6]",2,2.3
