"lib_reg","annee","duree_cat","LOS_nb","LOS_pct"
"AUVERGNE-RHÃ”NE-ALPES",2021,"[-1,0]",928,17.8
"AUVERGNE-RHÃ”NE-ALPES",2021,"(0,3]",3570,68.3
"AUVERGNE-RHÃ”NE-ALPES",2021,"(3,6]",624,11.9
"AUVERGNE-RHÃ”NE-ALPES",2021,"(6,225]",106,2
"AUVERGNE-RHÃ”NE-ALPES",2022,"[-1,0]",810,17.9
"AUVERGNE-RHÃ”NE-ALPES",2022,"(0,3]",3310,73
"AUVERGNE-RHÃ”NE-ALPES",2022,"(3,6]",349,7.7
"AUVERGNE-RHÃ”NE-ALPES",2022,"(6,225]",65,1.4
"AUVERGNE-RHÃ”NE-ALPES",2023,"[-1,0]",806,18.7
"AUVERGNE-RHÃ”NE-ALPES",2023,"(0,3]",3190,74
"AUVERGNE-RHÃ”NE-ALPES",2023,"(3,6]",256,5.9
"AUVERGNE-RHÃ”NE-ALPES",2023,"(6,225]",60,1.4
"AUVERGNE-RHÃ”NE-ALPES",2024,"[-1,0]",654,16.1
"AUVERGNE-RHÃ”NE-ALPES",2024,"(0,3]",3123,76.8
"AUVERGNE-RHÃ”NE-ALPES",2024,"(3,6]",229,5.6
"AUVERGNE-RHÃ”NE-ALPES",2024,"(6,225]",62,1.5
"AUVERGNE-RHÃ”NE-ALPES",2025,"[-1,0]",354,17.3
"AUVERGNE-RHÃ”NE-ALPES",2025,"(0,3]",1553,76
"AUVERGNE-RHÃ”NE-ALPES",2025,"(3,6]",106,5.2
"AUVERGNE-RHÃ”NE-ALPES",2025,"(6,225]",31,1.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"[-1,0]",62,4
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"(0,3]",1086,69.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"(3,6]",363,23.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"(6,225]",56,3.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"[-1,0]",75,5.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"(0,3]",1002,74.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"(3,6]",241,17.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"(6,225]",34,2.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"[-1,0]",42,3.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"(0,3]",995,77.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"(3,6]",214,16.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"(6,225]",38,2.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"[-1,0]",73,5.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"(0,3]",946,75.7
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"(3,6]",199,15.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"(6,225]",32,2.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"[-1,0]",43,6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"(0,3]",597,83
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"(3,6]",55,7.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"(6,225]",24,3.3
"BRETAGNE",2021,"[-1,0]",38,3
"BRETAGNE",2021,"(0,3]",1004,80.1
"BRETAGNE",2021,"(3,6]",174,13.9
"BRETAGNE",2021,"(6,225]",37,3
"BRETAGNE",2022,"[-1,0]",27,2.3
"BRETAGNE",2022,"(0,3]",979,82.3
"BRETAGNE",2022,"(3,6]",151,12.7
"BRETAGNE",2022,"(6,225]",32,2.7
