"lib_reg","annee","vda","n","pct"
"AUVERGNE-RHÃ”NE-ALPES",2021,"COE",5104,97.6
"AUVERGNE-RHÃ”NE-ALPES",2021,"LAP",44,0.8
"AUVERGNE-RHÃ”NE-ALPES",2021,"ROB",80,1.5
"AUVERGNE-RHÃ”NE-ALPES",2022,"COE",4368,96.3
"AUVERGNE-RHÃ”NE-ALPES",2022,"LAP",23,0.5
"AUVERGNE-RHÃ”NE-ALPES",2022,"ROB",143,3.2
"AUVERGNE-RHÃ”NE-ALPES",2023,"COE",4098,95
"AUVERGNE-RHÃ”NE-ALPES",2023,"LAP",23,0.5
"AUVERGNE-RHÃ”NE-ALPES",2023,"ROB",191,4.4
"AUVERGNE-RHÃ”NE-ALPES",2024,"COE",3898,95.8
"AUVERGNE-RHÃ”NE-ALPES",2024,"LAP",24,0.6
"AUVERGNE-RHÃ”NE-ALPES",2024,"ROB",146,3.6
"AUVERGNE-RHÃ”NE-ALPES",2025,"COE",1874,91.7
"AUVERGNE-RHÃ”NE-ALPES",2025,"LAP",9,0.4
"AUVERGNE-RHÃ”NE-ALPES",2025,"ROB",161,7.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"COE",1410,90
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"LAP",24,1.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"ROB",133,8.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"COE",1212,89.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"LAP",15,1.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"ROB",125,9.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"COE",1084,84.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"LAP",18,1.4
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"ROB",187,14.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"COE",1050,84
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"LAP",25,2
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"ROB",175,14
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"COE",587,81.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"LAP",4,0.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"ROB",128,17.8
"BRETAGNE",2021,"COE",1183,94.4
"BRETAGNE",2021,"LAP",42,3.4
"BRETAGNE",2021,"ROB",28,2.2
"BRETAGNE",2022,"COE",1125,94.6
"BRETAGNE",2022,"LAP",19,1.6
"BRETAGNE",2022,"ROB",45,3.8
"BRETAGNE",2023,"COE",1118,93.5
"BRETAGNE",2023,"LAP",26,2.2
"BRETAGNE",2023,"ROB",52,4.3
"BRETAGNE",2024,"COE",973,92
"BRETAGNE",2024,"LAP",42,4
"BRETAGNE",2024,"ROB",43,4.1
"BRETAGNE",2025,"COE",492,93.5
"BRETAGNE",2025,"LAP",14,2.7
"BRETAGNE",2025,"ROB",20,3.8
"CENTRE-VAL DE LOIRE",2021,"COE",603,86.5
"CENTRE-VAL DE LOIRE",2021,"LAP",4,0.6
"CENTRE-VAL DE LOIRE",2021,"ROB",90,12.9
"CENTRE-VAL DE LOIRE",2022,"COE",608,83.5
"CENTRE-VAL DE LOIRE",2022,"LAP",3,0.4
"CENTRE-VAL DE LOIRE",2022,"ROB",117,16.1
"CENTRE-VAL DE LOIRE",2023,"COE",601,79.5
"CENTRE-VAL DE LOIRE",2023,"LAP",2,0.3
"CENTRE-VAL DE LOIRE",2023,"ROB",153,20.2
"CENTRE-VAL DE LOIRE",2024,"COE",590,86.1
"CENTRE-VAL DE LOIRE",2024,"LAP",4,0.6
"CENTRE-VAL DE LOIRE",2024,"ROB",91,13.3
"CENTRE-VAL DE LOIRE",2025,"COE",299,80.4
"CENTRE-VAL DE LOIRE",2025,"LAP",1,0.3
"CENTRE-VAL DE LOIRE",2025,"ROB",72,19.4
"CORSE",2021,"COE",128,100
"CORSE",2022,"COE",101,98.1
"CORSE",2022,"LAP",1,1
"CORSE",2022,"ROB",1,1
"CORSE",2023,"COE",83,90.2
"CORSE",2023,"ROB",9,9.8
"CORSE",2024,"COE",39,46.4
"CORSE",2024,"ROB",45,53.6
"CORSE",2025,"COE",50,90.9
"CORSE",2025,"ROB",5,9.1
"GRAND EST",2021,"COE",3046,96.9
"GRAND EST",2021,"LAP",12,0.4
"GRAND EST",2021,"ROB",84,2.7
"GRAND EST",2022,"COE",2986,95.8
"GRAND EST",2022,"LAP",17,0.5
"GRAND EST",2022,"ROB",115,3.7
"GRAND EST",2023,"COE",3004,94.5
"GRAND EST",2023,"LAP",14,0.4
"GRAND EST",2023,"ROB",161,5.1
"GRAND EST",2024,"COE",2668,94.5
"GRAND EST",2024,"LAP",8,0.3
"GRAND EST",2024,"ROB",148,5.2
"GRAND EST",2025,"COE",1352,91.1
"GRAND EST",2025,"LAP",6,0.4
"GRAND EST",2025,"ROB",126,8.5
"GUADELOUPE",2021,"COE",196,99.5
"GUADELOUPE",2021,"ROB",1,0.5
"GUADELOUPE",2022,"COE",228,95
"GUADELOUPE",2022,"LAP",1,0.4
"GUADELOUPE",2022,"ROB",11,4.6
"GUADELOUPE",2023,"COE",237,99.2
"GUADELOUPE",2023,"ROB",2,0.8
"GUADELOUPE",2024,"COE",173,95.6
"GUADELOUPE",2024,"LAP",1,0.6
"GUADELOUPE",2024,"ROB",7,3.9
"GUADELOUPE",2025,"COE",69,95.8
"GUADELOUPE",2025,"ROB",3,4.2
"HAUTS-DE-FRANCE",2021,"COE",3817,96
"HAUTS-DE-FRANCE",2021,"LAP",21,0.5
"HAUTS-DE-FRANCE",2021,"ROB",137,3.4
"HAUTS-DE-FRANCE",2022,"COE",3798,95.9
