"finessGeoDP","rs","lib_reg","statut","TOT","TOT_rev","PCT_rev"
"010780195","CLINIQUE CONVERT BOURG-EN-B.","AUVERGNE-RHÃ”NE-ALPES","private for profit",54,10,18.5
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","AUVERGNE-RHÃ”NE-ALPES","private for profit",93,20,21.5
"020000162","CH SAINT-QUENTIN","HAUTS-DE-FRANCE","public",77,7,9.1
"020000394","CH LAON","HAUTS-DE-FRANCE","public",40,12,30
"020000519","CH SOISSONS","HAUTS-DE-FRANCE","public",67,14,20.9
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","HAUTS-DE-FRANCE","private for profit",74,7,9.5
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE","AUVERGNE-RHÃ”NE-ALPES","private for profit",54,4,7.4
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI","PROVENCE-ALPES-CÃ”TE D'AZUR","public",27,7,25.9
"050000348","CHIC DES ALPES DU SUD SITE DE GAP","PROVENCE-ALPES-CÃ”TE D'AZUR","public",49,2,4.1
"060000478","CH DE GRASSE","PROVENCE-ALPES-CÃ”TE D'AZUR","public",23,3,13
"060000510","CH D'ANTIBES JUAN LES PINS","PROVENCE-ALPES-CÃ”TE D'AZUR","public",73,5,6.8
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",80,5,6.2
"060780491","INSTITUT ARNAULT TZANCK","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",128,11,8.6
"060780590","CLINIQUE DU PALAIS","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",24,1,4.2
"060780715","CLINIQUE SAINT GEORGE","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",68,5,7.4
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","PROVENCE-ALPES-CÃ”TE D'AZUR","public academic",88,6,6.8
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",12,1,8.3
"070780424","CLINIQUE PASTEUR","AUVERGNE-RHÃ”NE-ALPES","private for profit",92,15,16.3
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","GRAND EST","private not-for-profit",110,15,13.6
