"finessGeoDP","baria_t","n","pct"
"010780195","ANN",1,0.3
"010780195","BPG",252,76.8
"010780195","SLE",75,22.9
"010780203","ANN",7,1.6
"010780203","BPG",259,58.2
"010780203","SLE",179,40.2
"020000162","BPG",42,14.5
"020000162","DBP",1,0.3
"020000162","SLE",247,85.2
"020000394","BPG",14,7.1
"020000394","SLE",184,92.9
"020000519","BPG",26,11.3
"020000519","SLE",204,88.7
"020010047","ANN",6,1.8
"020010047","BPG",71,21.5
"020010047","SLE",253,76.7
"030781116","BPG",25,9.9
"030781116","SLE",228,90.1
"040000093","BPG",59,47.2
"040000093","DBP",1,0.8
"040000093","SLE",65,52
"050000348","ANN",1,0.5
"050000348","BPG",41,20.4
"050000348","SLE",159,79.1
"060000478","BPG",37,27.8
"060000478","SLE",96,72.2
"060000510","BPG",337,78.7
"060000510","SLE",91,21.3
"060021417","ANN",3,0.8
"060021417","BPG",186,50.8
"060021417","SLE",177,48.4
"060780491","ANN",1,0.2
"060780491","BPG",197,48.5
"060780491","DBP",3,0.7
"060780491","SLE",205,50.5
"060780590","ANN",1,0.4
"060780590","BPG",130,55.1
"060780590","SLE",105,44.5
"060780715","BPG",37,11.3
"060780715","DBP",2,0.6
"060780715","SLE",287,88
"060789195","BPG",294,38.9
"060789195","SLE",461,61.1
"060800166","BPG",49,43
"060800166","SLE",65,57
"070780424","ANN",62,13.3
"070780424","BPG",138,29.6
"070780424","DBP",1,0.2
"070780424","SLE",265,56.9
"080010473","BPG",35,6.5
"080010473","SLE",503,93.5
"100000082","BPG",5,3.3
"100000082","SLE",148,96.7
"100000124","ANN",61,11.6
"100000124","BPG",225,42.6
"100000124","SLE",242,45.8
"100010818","ANN",1,0.4
"100010818","BPG",3,1.1
"100010818","SLE",259,98.5
"110000023","ANN",21,4.4
"110000023","BPG",81,16.9
"110000023","SLE",378,78.7
"110000056","BPG",20,10.5
"110000056","DBP",1,0.5
"110000056","SLE",169,88.9
"130000409","ANN",2,1
"130000409","BPG",62,31.3
"130000409","SLE",134,67.7
"130001225","BPG",100,37.7
"130001225","DBP",1,0.4
"130001225","SLE",164,61.9
"130043664","ANN",205,19.4
"130043664","BPG",493,46.7
"130043664","SLE",357,33.8
"130780521","BPG",129,37.7
"130780521","SLE",213,62.3
"130781479","ANN",1,0.2
"130781479","BPG",135,20.8
"130781479","DBP",15,2.3
"130781479","SLE",498,76.7
"130782162","BPG",223,45.9
"130782162","SLE",263,54.1
"130783236","BPG",115,26.5
"130783236","SLE",319,73.5
"130783327","ANN",1,0.1
"130783327","BPG",124,12.2
"130783327","SLE",889,87.7
"130784051","ANN",10,5.2
"130784051","BPG",126,65.6
"130784051","SLE",56,29.2
"130785652","ANN",1,0.2
"130785652","BPG",357,79.9
"130785652","SLE",89,19.9
"130786361","ANN",40,3.3
"130786361","BPG",428,35.1
"130786361","SLE",750,61.6
"130786742","BPG",74,39.8
"130786742","DBP",1,0.5
"130786742","SLE",111,59.7
"130810740","BPG",194,30.5
"130810740","DBP",1,0.2
"130810740","SLE",442,69.4
"140000209","BPG",403,56.8
"140000209","DBP",9,1.3
"140000209","SLE",298,42
"140000290","ANN",2,2
"140000290","BPG",11,10.9
"140000290","SLE",88,87.1
"140016759","BPG",317,58.8
"140016759","SLE",222,41.2
"140017237","BPG",161,66.8
"140017237","SLE",80,33.2
"140018730","BPG",34,28.6
"140018730","SLE",85,71.4
"160000253","BPG",73,37.2
"160000253","SLE",123,62.8
"160013207","BPG",24,6
"160013207","SLE",373,94
"170000095","ANN",1,0.5
"170000095","BPG",62,29.4
"170000095","DBP",10,4.7
"170000095","SLE",138,65.4
"170000152","BPG",143,26.5
"170000152","SLE",397,73.5
"170780563","BPG",131,50.6
"170780563","SLE",128,49.4
"170780662","BPG",75,40.1
"170780662","SLE",112,59.9
"180004145","BPG",78,26.8
"180004145","SLE",213,73.2
"190013482","ANN",1,0.6
"190013482","BPG",25,14.7
"190013482","SLE",144,84.7
"210012670","ANN",13,1.3
"210012670","BPG",637,61.4
"210012670","DBP",7,0.7
"210012670","SLE",381,36.7
"210780789","ANN",3,0.5
"210780789","BPG",381,65
"210780789","SLE",202,34.5
"210987558","BPG",86,54.8
"210987558","SLE",71,45.2
"220000012","BPG",38,27
"220000012","SLE",103,73
"220005599","BPG",59,38.8
"220005599","SLE",93,61.2
"220022800","ANN",6,1.5
"220022800","BPG",167,42.3
"220022800","DBP",1,0.3
"220022800","SLE",221,55.9
"250011848","ANN",8,0.9
"250011848","BPG",399,44.2
"250011848","SLE",495,54.9
"260000260","ANN",122,28.4
"260000260","BPG",51,11.9
"260000260","DBP",1,0.2
"260000260","SLE",255,59.4
"260003017","ANN",14,5.1
"260003017","BPG",32,11.6
"260003017","SLE",229,83.3
"280000084","BPG",20,14.5
"280000084","SLE",118,85.5
"280504267","BPG",45,19.1
"280504267","SLE",191,80.9
"280505777","SLE",170,100
"290000025","BPG",124,86.1
"290000025","DBP",1,0.7
"290000025","SLE",19,13.2
"290000215","BPG",83,96.5
"290000215","SLE",3,3.5
"290004324","BPG",264,76.7
"290004324","DBP",2,0.6
"290004324","SLE",78,22.7
"290019777","ANN",3,0.9
"290019777","BPG",323,92.3
"290019777","SLE",24,6.9
"290036540","BPG",130,97
"290036540","SLE",4,3
"2A0000139","SLE",111,100
"2B0000145","ANN",7,2
"2B0000145","BPG",141,40.2
"2B0000145","SLE",203,57.8
"300000023","ANN",1,0.6
"300000023","BPG",53,33.8
"300000023","SLE",103,65.6
"300780137","BPG",222,83.8
"300780137","DBP",6,2.3
"300780137","SLE",37,14
"300782117","BPG",46,4.7
"300782117","SLE",927,95.3
"300788502","ANN",15,1.8
"300788502","BPG",231,28.2
