"finessGeoDP","baria_t","n","pct"
"010780195","BPG",35,64.8
"010780195","SLE",19,35.2
"010780203","ANN",1,1.1
"010780203","BPG",60,64.5
"010780203","SLE",32,34.4
"020000162","BPG",15,19.5
"020000162","SLE",62,80.5
"020000394","BPG",2,5
"020000394","SLE",38,95
"020000519","BPG",10,14.9
"020000519","SLE",57,85.1
"020010047","ANN",1,1.4
"020010047","BPG",19,25.7
"020010047","SLE",54,73
"030781116","BPG",5,9.3
"030781116","SLE",49,90.7
"040000093","BPG",11,40.7
"040000093","SLE",16,59.3
"050000348","BPG",12,24.5
"050000348","SLE",37,75.5
"060000478","BPG",6,26.1
"060000478","SLE",17,73.9
"060000510","BPG",56,76.7
"060000510","SLE",17,23.3
"060021417","ANN",1,1.3
"060021417","BPG",47,58.8
"060021417","SLE",32,40
"060780491","ANN",1,0.8
"060780491","BPG",68,53.1
"060780491","DBP",1,0.8
"060780491","SLE",58,45.3
"060780590","BPG",22,91.7
"060780590","SLE",2,8.3
"060780715","BPG",12,17.6
"060780715","SLE",56,82.4
"060789195","BPG",23,26.1
"060789195","SLE",65,73.9
"060800166","BPG",8,66.7
"060800166","SLE",4,33.3
"070780424","ANN",10,10.9
"070780424","BPG",30,32.6
"070780424","SLE",52,56.5
"080010473","BPG",3,2.7
"080010473","SLE",107,97.3
"100000124","ANN",8,10
"100000124","BPG",41,51.2
"100000124","SLE",31,38.8
"100010818","SLE",38,100
"110000023","ANN",4,3.2
"110000023","BPG",28,22.2
"110000023","SLE",94,74.6
"110000056","BPG",7,20.6
"110000056","SLE",27,79.4
"130000409","BPG",11,27.5
"130000409","SLE",29,72.5
"130001225","BPG",16,32.7
"130001225","SLE",33,67.3
"130043664","ANN",54,22.3
"130043664","BPG",115,47.5
"130043664","SLE",73,30.2
"130780521","BPG",34,34
"130780521","SLE",66,66
"130781479","BPG",39,26.9
"130781479","DBP",3,2.1
"130781479","SLE",103,71
"130782162","BPG",55,52.4
"130782162","SLE",50,47.6
"130783236","BPG",5,17.2
"130783236","SLE",24,82.8
"130783327","BPG",49,18.1
"130783327","SLE",221,81.9
"130785652","ANN",1,1
"130785652","BPG",77,77.8
"130785652","SLE",21,21.2
"130786361","ANN",4,1.5
"130786361","BPG",98,36.2
"130786361","SLE",169,62.4
"130786742","BPG",21,50
"130786742","SLE",21,50
"130810740","BPG",40,33.1
"130810740","DBP",1,0.8
"130810740","SLE",80,66.1
"140000209","BPG",39,42.9
"140000209","DBP",1,1.1
"140000209","SLE",51,56
"140016759","BPG",61,64.9
"140016759","SLE",33,35.1
"140017237","BPG",37,57.8
"140017237","SLE",27,42.2
"140018730","BPG",14,29.8
"140018730","SLE",33,70.2
"160000253","BPG",17,38.6
"160000253","SLE",27,61.4
"160013207","BPG",9,10.3
"160013207","SLE",78,89.7
"170000095","BPG",6,26.1
"170000095","SLE",17,73.9
"170000152","BPG",27,28.7
"170000152","SLE",67,71.3
"170780563","BPG",33,55.9
"170780563","SLE",26,44.1
"170780662","BPG",13,34.2
"170780662","SLE",25,65.8
"180004145","BPG",14,36.8
"180004145","SLE",24,63.2
"190013482","BPG",5,20
"190013482","SLE",20,80
"210012670","ANN",3,1.5
"210012670","BPG",125,61.3
"210012670","SLE",76,37.3
"210780789","BPG",72,70.6
"210780789","SLE",30,29.4
"210987558","BPG",23,59
"210987558","SLE",16,41
"220000012","BPG",6,20.7
"220000012","SLE",23,79.3
"220005599","BPG",7,23.3
"220005599","SLE",23,76.7
"220022800","ANN",3,3.6
"220022800","BPG",42,50.6
"220022800","SLE",38,45.8
"250011848","ANN",2,1
"250011848","BPG",86,42.6
"250011848","SLE",114,56.4
"260000260","ANN",31,36.9
"260000260","BPG",6,7.1
"260000260","SLE",47,56
"260003017","ANN",13,16.7
"260003017","BPG",13,16.7
"260003017","SLE",52,66.7
"280000084","BPG",3,10
"280000084","SLE",27,90
"280504267","BPG",7,15.2
"280504267","SLE",39,84.8
"280505777","SLE",71,100
"290000025","BPG",29,100
"290004324","BPG",48,73.8
"290004324","SLE",17,26.2
"290019777","BPG",73,97.3
"290019777","SLE",2,2.7
"290036540","BPG",37,94.9
"290036540","SLE",2,5.1
"2A0000139","SLE",10,100
"2B0000145","BPG",27,38.6
"2B0000145","SLE",43,61.4
"300000023","BPG",13,31.7
"300000023","SLE",28,68.3
"300780137","BPG",23,59
"300780137","SLE",16,41
"300782117","BPG",6,3.4
"300782117","SLE",169,96.6
"300788502","ANN",6,5
"300788502","BPG",34,28.6
"300788502","SLE",79,66.4
"310026927","BPG",14,21.9
"310026927","SLE",50,78.1
"310780283","BPG",34,39.1
"310780283","DBP",1,1.1
"310780283","SLE",52,59.8
"310780382","BPG",33,71.7
"310780382","SLE",13,28.3
"310781000","BPG",388,98.2
"310781000","DBP",1,0.3
"310781000","SLE",6,1.5
"310781505","BPG",45,27.6
"310781505","SLE",118,72.4
"310783055","BPG",41,36.9
"310783055","DBP",4,3.6
"310783055","SLE",66,59.5
"330000340","BPG",18,29.5
"330000340","SLE",43,70.5
"330780115","BPG",6,14.6
"330780115","SLE",35,85.4
"330780263","BPG",12,16.4
"330780263","SLE",61,83.6
"330780479","BPG",29,36.7
"330780479","SLE",50,63.3
"330780511","SLE",32,100
"330780529","BPG",57,23.8
"330780529","SLE",183,76.2
"330781402","BPG",105,44.1
"330781402","SLE",133,55.9
"330782582","BPG",10,22.2
"330782582","SLE",35,77.8
"330783648","ANN",2,2.7
"330783648","BPG",53,72.6
"330783648","SLE",18,24.7
"340000033","BPG",8,9.5
"340000033","SLE",76,90.5
"340009885","BPG",12,23.1
"340009885","SLE",40,76.9
"340015502","ANN",1,0.6
"340015502","BPG",120,66.7
"340015502","SLE",59,32.8
"340015965","ANN",4,3.1
"340015965","BPG",6,4.7
"340015965","SLE",118,92.2
"340024314","ANN",1,3.6
"340024314","BPG",5,17.9
"340024314","SLE",22,78.6
"340780667","BPG",8,12.1
"340780667","SLE",58,87.9
"340780675","BPG",13,15.7
"340780675","DBP",1,1.2
"340780675","SLE",69,83.1
"340780741","BPG",28,35.4
"340780741","SLE",51,64.6
"340782036","ANN",3,1.2
"340782036","BPG",49,20.3
"340782036","DBP",1,0.4
"340782036","SLE",188,78
"350000121","ANN",1,0.3
"350000121","BPG",152,53
"350000121","DBP",3,1
"350000121","SLE",131,45.6
"350000139","BPG",58,76.3
"350000139","SLE",18,23.7
"350000147","BPG",6,13.3
"350000147","SLE",39,86.7
"350000741","BPG",9,69.2
"350000741","SLE",4,30.8
"360000129","SLE",81,100
"370000093","BPG",57,44.5
"370000093","SLE",71,55.5
"370004467","BPG",19,45.2
"370004467","SLE",23,54.8
"370007569","BPG",11,50
"370007569","SLE",11,50
"380000067","BPG",39,36.4
"380000067","SLE",68,63.6
"380000174","ANN",4,6.2
"380000174","BPG",7,10.8
"380000174","SLE",54,83.1
"380012658","BPG",8,20
"380012658","SLE",32,80
"380780197","BPG",12,13.6
"380780197","SLE",76,86.4
"380785956","ANN",1,0.5
"380785956","BPG",37,18.8
"380785956","SLE",159,80.7
"400000105","BPG",91,87.5
"400000105","SLE",13,12.5
"410000020","BPG",20,44.4
"410000020","SLE",25,55.6
"420010050","ANN",2,0.8
"420010050","BPG",95,39.9
"420010050","SLE",141,59.2
"420011413","ANN",3,1.7
"420011413","BPG",71,39.7
"420011413","SLE",105,58.7
"420785354","BPG",18,24
"420785354","SLE",57,76
"430000117","ANN",1,2.9
"430000117","BPG",3,8.6
"430000117","SLE",31,88.6
"440000271","BPG",68,56.2
"440000271","SLE",53,43.8
"440000412","BPG",11,7.1
"440000412","SLE",143,92.9
"440029338","ANN",3,2.5
"440029338","BPG",34,28.3
"440029338","DBP",1,0.8
"440029338","SLE",82,68.3
"440033819","BPG",41,31.1
"440033819","DBP",4,3
"440033819","SLE",87,65.9
"440050433","BPG",21,24.1
"440050433","SLE",66,75.9
"450002613","BPG",96,64.4
"450002613","SLE",53,35.6
"450010079","BPG",1,3.6
"450010079","SLE",27,96.4
"460000045","BPG",20,54.1
"460000045","SLE",17,45.9
"470000027","BPG",26,33.3
"470000027","SLE",52,66.7
"470000423","DBP",1,3.6
"470000423","SLE",27,96.4
"470016049","ANN",3,3.8
"470016049","BPG",10,12.7
"470016049","SLE",66,83.5
"490000049","ANN",2,4.8
"490000049","BPG",22,52.4
"490000049","SLE",18,42.9
"490014909","ANN",1,0.3
"490014909","BPG",207,62.5
"490014909","DBP",11,3.3
"490014909","SLE",112,33.8
"500000146","BPG",31,44.3
"500000146","SLE",39,55.7
"500000187","BPG",7,21.2
"500000187","SLE",26,78.8
"500000450","BPG",27,49.1
"500000450","SLE",28,50.9
"500002357","BPG",1,1.7
"500002357","SLE",57,98.3
"510002447","BPG",51,58
"510002447","SLE",37,42
"510024979","ANN",1,0.5
"510024979","BPG",102,52.3
"510024979","SLE",92,47.2
"540000478","BPG",58,69
"540000478","SLE",26,31
"540001096","BPG",33,44.6
"540001096","SLE",41,55.4
"540002698","BPG",178,73.9
"540002698","SLE",63,26.1
"540026895","BPG",94,79
"540026895","DBP",1,0.8
"540026895","SLE",24,20.2
"550000178","SLE",10,100
"560000127","BPG",36,85.7
"560000127","SLE",6,14.3
"560000135","BPG",25,62.5
"560000135","SLE",15,37.5
"560000143","BPG",26,56.5
"560000143","SLE",20,43.5
"560008799","BPG",55,64
"560008799","SLE",31,36
"560029068","BPG",18,81.8
"560029068","SLE",4,18.2
"570000059","BPG",9,15.3
"570000059","SLE",50,84.7
"570000083","BPG",2,2.1
"570000083","SLE",93,97.9
"570000349","BPG",31,88.6
"570000349","SLE",4,11.4
"570000356","BPG",24,80
"570000356","SLE",6,20
"570000646","BPG",42,59.2
"570000646","SLE",29,40.8
"570026252","BPG",49,79
"570026252","SLE",13,21
"570026682","BPG",32,86.5
"570026682","DBP",1,2.7
"570026682","SLE",4,10.8
"590000337","BPG",28,49.1
"590000337","SLE",29,50.9
"590000428","BPG",38,60.3
