"lib_reg","baria_t","n","pct"
"AUVERGNE-RHÃ”NE-ALPES","ANN",306,7.8
"AUVERGNE-RHÃ”NE-ALPES","BPG",1049,26.9
"AUVERGNE-RHÃ”NE-ALPES","DBP",11,0.3
"AUVERGNE-RHÃ”NE-ALPES","SLE",2538,65
"BOURGOGNE-FRANCHE-COMTÃ‰","ANN",30,2.3
"BOURGOGNE-FRANCHE-COMTÃ‰","BPG",514,39.9
"BOURGOGNE-FRANCHE-COMTÃ‰","SLE",744,57.8
"BRETAGNE","ANN",4,0.4
"BRETAGNE","BPG",627,62.3
"BRETAGNE","DBP",3,0.3
"BRETAGNE","SLE",373,37
"CENTRE-VAL DE LOIRE","BPG",228,33.5
"CENTRE-VAL DE LOIRE","SLE",452,66.5
"CORSE","BPG",27,33.8
"CORSE","SLE",53,66.2
"GRAND EST","ANN",10,0.4
"GRAND EST","BPG",1266,46.2
"GRAND EST","DBP",4,0.1
"GRAND EST","SLE",1462,53.3
"GUADELOUPE","BPG",8,5.2
"GUADELOUPE","SLE",145,94.8
"HAUTS-DE-FRANCE","ANN",65,1.9
"HAUTS-DE-FRANCE","BPG",1085,31.5
"HAUTS-DE-FRANCE","SLE",2289,66.6
"ILE-DE-FRANCE","ANN",53,1
"ILE-DE-FRANCE","BPG",1330,25.4
"ILE-DE-FRANCE","DBP",13,0.2
"ILE-DE-FRANCE","SLE",3844,73.4
"LA RÃ‰UNION","BPG",65,18.5
"LA RÃ‰UNION","SLE",287,81.5
"MARTINIQUE","ANN",2,2.8
"MARTINIQUE","BPG",7,9.9
"MARTINIQUE","SLE",62,87.3
"NORMANDIE","ANN",5,0.3
"NORMANDIE","BPG",489,32.7
"NORMANDIE","DBP",1,0.1
"NORMANDIE","SLE",1002,66.9
"NOUVELLE-AQUITAINE","ANN",6,0.3
"NOUVELLE-AQUITAINE","BPG",973,40.9
"NOUVELLE-AQUITAINE","DBP",2,0.1
"NOUVELLE-AQUITAINE","SLE",1397,58.7
"OCCITANIE","ANN",20,0.7
"OCCITANIE","BPG",1015,36.5
"OCCITANIE","DBP",9,0.3
"OCCITANIE","SLE",1734,62.4
"PAYS DE LA LOIRE","ANN",7,0.6
"PAYS DE LA LOIRE","BPG",510,42.5
"PAYS DE LA LOIRE","DBP",16,1.3
"PAYS DE LA LOIRE","SLE",668,55.6
"PROVENCE-ALPES-CÃ”TE D'AZUR","ANN",69,2.4
"PROVENCE-ALPES-CÃ”TE D'AZUR","BPG",952,33.7
"PROVENCE-ALPES-CÃ”TE D'AZUR","DBP",7,0.2
"PROVENCE-ALPES-CÃ”TE D'AZUR","SLE",1800,63.6
