"lib_reg","annee","baria_t","n","pct"
"AUVERGNE-RHÃ”NE-ALPES",2021,"ANN",470,9
"AUVERGNE-RHÃ”NE-ALPES",2021,"BPG",1265,24.2
"AUVERGNE-RHÃ”NE-ALPES",2021,"DBP",19,0.4
"AUVERGNE-RHÃ”NE-ALPES",2021,"SLE",3474,66.4
"AUVERGNE-RHÃ”NE-ALPES",2022,"ANN",385,8.5
"AUVERGNE-RHÃ”NE-ALPES",2022,"BPG",1132,25
"AUVERGNE-RHÃ”NE-ALPES",2022,"DBP",14,0.3
"AUVERGNE-RHÃ”NE-ALPES",2022,"SLE",3003,66.2
"AUVERGNE-RHÃ”NE-ALPES",2023,"ANN",376,8.7
"AUVERGNE-RHÃ”NE-ALPES",2023,"BPG",1180,27.4
"AUVERGNE-RHÃ”NE-ALPES",2023,"DBP",21,0.5
"AUVERGNE-RHÃ”NE-ALPES",2023,"SLE",2735,63.4
"AUVERGNE-RHÃ”NE-ALPES",2024,"ANN",335,8.2
"AUVERGNE-RHÃ”NE-ALPES",2024,"BPG",1103,27.1
"AUVERGNE-RHÃ”NE-ALPES",2024,"DBP",7,0.2
"AUVERGNE-RHÃ”NE-ALPES",2024,"SLE",2623,64.5
"AUVERGNE-RHÃ”NE-ALPES",2025,"ANN",165,8.1
"AUVERGNE-RHÃ”NE-ALPES",2025,"BPG",568,27.8
"AUVERGNE-RHÃ”NE-ALPES",2025,"DBP",6,0.3
"AUVERGNE-RHÃ”NE-ALPES",2025,"SLE",1305,63.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"ANN",53,3.4
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"BPG",550,35.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"DBP",3,0.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"SLE",961,61.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"ANN",34,2.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"BPG",516,38.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"DBP",5,0.4
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"SLE",797,58.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"ANN",34,2.6
