"statut","baria_t","n","pct"
"private for profit","ANN",2997,3
"private for profit","BPG",29386,29.8
"private for profit","DBP",236,0.2
"private for profit","SLE",65862,66.9
"private not-for-profit","ANN",255,2.2
"private not-for-profit","BPG",4035,34.7
"private not-for-profit","DBP",30,0.3
"private not-for-profit","SLE",7304,62.8
"public","ANN",117,0.5
"public","BPG",7624,32.7
"public","DBP",135,0.6
"public","SLE",15471,66.3
"public academic","ANN",85,0.4
"public academic","BPG",8958,43.9
"public academic","DBP",136,0.7
"public academic","SLE",11234,55
