"finessGeoDP","annee","mois","n"
"010780195",2021,1,2
"010780195",2021,2,9
"010780195",2021,3,12
"010780195",2021,4,3
"010780195",2021,5,7
"010780195",2021,6,10
"010780195",2021,7,6
"010780195",2021,8,7
"010780195",2021,9,10
"010780195",2021,10,7
"010780195",2021,11,5
"010780195",2021,12,5
"010780195",2022,1,1
"010780195",2022,2,7
"010780195",2022,3,5
"010780195",2022,4,8
"010780195",2022,5,4
"010780195",2022,6,5
"010780195",2022,7,6
"010780195",2022,8,4
"010780195",2022,9,4
"010780195",2022,10,6
"010780195",2022,11,9
"010780195",2022,12,4
"010780195",2023,1,6
"010780195",2023,2,8
"010780195",2023,3,9
"010780195",2023,4,5
"010780195",2023,5,4
"010780195",2023,6,7
"010780195",2023,7,7
"010780195",2023,8,3
"010780195",2023,9,8
"010780195",2023,10,9
"010780195",2023,11,8
"010780195",2023,12,5
"010780195",2024,1,8
"010780195",2024,2,10
"010780195",2024,3,10
"010780195",2024,4,5
"010780195",2024,5,7
"010780195",2024,6,9
"010780195",2024,7,9
"010780195",2024,9,4
"010780195",2024,10,5
"010780195",2024,11,4
"010780195",2024,12,1
"010780195",2025,1,8
"010780195",2025,2,5
"010780195",2025,3,11
"010780195",2025,4,7
"010780203",2021,1,10
"010780203",2021,2,10
"010780203",2021,3,2
"010780203",2021,4,4
"010780203",2021,5,10
"010780203",2021,6,8
"010780203",2021,7,9
"010780203",2021,8,5
"010780203",2021,9,4
"010780203",2021,10,10
"010780203",2021,11,7
"010780203",2021,12,4
"010780203",2022,1,2
"010780203",2022,2,18
"010780203",2022,3,7
"010780203",2022,4,4
"010780203",2022,5,3
"010780203",2022,6,3
"010780203",2022,7,11
"010780203",2022,8,6
"010780203",2022,9,16
"010780203",2022,10,11
"010780203",2022,11,11
"010780203",2022,12,9
"010780203",2023,1,17
"010780203",2023,2,14
"010780203",2023,3,11
"010780203",2023,4,10
"010780203",2023,5,11
"010780203",2023,6,7
"010780203",2023,7,2
"010780203",2023,8,6
"010780203",2023,9,11
"010780203",2023,10,14
"010780203",2023,11,10
"010780203",2023,12,8
"010780203",2024,1,10
"010780203",2024,2,9
"010780203",2024,3,8
"010780203",2024,4,4
"010780203",2024,5,7
"010780203",2024,6,9
"010780203",2024,7,12
"010780203",2024,8,5
"010780203",2024,9,11
"010780203",2024,10,4
"010780203",2024,11,9
"010780203",2024,12,4
"010780203",2025,1,7
"010780203",2025,2,6
"010780203",2025,3,6
"010780203",2025,4,7
"010780203",2025,5,14
"010780203",2025,6,8
"020000162",2021,1,3
"020000162",2021,2,4
"020000162",2021,3,2
"020000162",2021,4,7
"020000162",2021,5,6
"020000162",2021,6,11
"020000162",2021,7,4
"020000162",2021,8,6
"020000162",2021,9,7
"020000162",2021,10,5
"020000162",2021,11,1
"020000162",2021,12,8
"020000162",2022,1,8
"020000162",2022,2,6
"020000162",2022,3,8
"020000162",2022,4,4
"020000162",2022,5,7
"020000162",2022,6,9
"020000162",2022,7,2
"020000162",2022,8,2
"020000162",2022,9,5
"020000162",2022,10,4
"020000162",2022,11,5
"020000162",2022,12,2
"020000162",2023,1,6
"020000162",2023,2,4
"020000162",2023,3,11
"020000162",2023,4,2
"020000162",2023,5,5
"020000162",2023,6,1
"020000162",2023,7,4
"020000162",2023,8,2
"020000162",2023,9,8
"020000162",2023,10,2
"020000162",2023,11,4
"020000162",2023,12,8
"020000162",2024,1,4
"020000162",2024,2,3
"020000162",2024,3,5
"020000162",2024,4,7
"020000162",2024,5,3
"020000162",2024,6,8
"020000162",2024,7,4
"020000162",2024,8,2
"020000162",2024,9,7
"020000162",2024,10,4
"020000162",2024,11,6
"020000162",2024,12,5
"020000162",2025,1,12
"020000162",2025,2,7
"020000162",2025,3,6
"020000162",2025,4,9
"020000162",2025,5,9
"020000162",2025,6,6
"020000394",2021,1,7
"020000394",2021,2,4
"020000394",2021,3,7
"020000394",2021,4,7
"020000394",2021,5,1
"020000394",2021,6,4
"020000394",2021,7,3
"020000394",2021,9,4
"020000394",2021,10,3
"020000394",2021,11,3
"020000394",2022,1,3
"020000394",2022,2,5
"020000394",2022,3,8
"020000394",2022,5,2
"020000394",2022,6,9
"020000394",2022,7,4
"020000394",2022,8,5
"020000394",2022,9,5
"020000394",2022,10,6
"020000394",2022,11,3
"020000394",2022,12,3
"020000394",2023,1,4
"020000394",2023,2,2
"020000394",2023,3,6
"020000394",2023,4,1
"020000394",2023,5,1
"020000394",2023,6,3
"020000394",2023,7,3
"020000394",2023,8,3
"020000394",2023,9,1
"020000394",2023,11,6
"020000394",2023,12,5
"020000394",2024,1,4
"020000394",2024,2,6
"020000394",2024,3,5
"020000394",2024,4,3
"020000394",2024,5,7
"020000394",2024,6,2
"020000394",2024,7,4
"020000394",2024,8,2
"020000394",2024,9,2
"020000394",2024,10,4
"020000394",2024,11,6
"020000394",2024,12,2
"020000394",2025,1,5
"020000394",2025,2,5
"020000394",2025,3,2
"020000394",2025,4,8
"020000519",2021,1,1
"020000519",2021,3,1
"020000519",2021,4,2
"020000519",2021,7,2
"020000519",2021,8,4
"020000519",2021,9,1
"020000519",2021,10,3
"020000519",2021,11,4
"020000519",2021,12,3
"020000519",2022,1,3
"020000519",2022,2,1
"020000519",2022,3,5
"020000519",2022,4,4
"020000519",2022,5,7
"020000519",2022,6,5
"020000519",2022,7,4
"020000519",2022,10,5
"020000519",2022,11,14
"020000519",2022,12,7
"020000519",2023,1,11
"020000519",2023,2,3
"020000519",2023,3,4
"020000519",2023,4,2
"020000519",2023,5,7
"020000519",2023,6,5
"020000519",2023,7,3
"020000519",2023,8,4
"020000519",2023,9,3
"020000519",2023,10,5
"020000519",2023,11,3
"020000519",2023,12,3
"020000519",2024,1,6
"020000519",2024,2,4
"020000519",2024,3,5
"020000519",2024,4,6
"020000519",2024,5,3
"020000519",2024,6,10
"020000519",2024,7,2
"020000519",2024,8,2
"020000519",2024,9,8
"020000519",2024,10,6
"020000519",2024,11,9
"020000519",2024,12,5
"020000519",2025,1,5
"020000519",2025,2,7
"020000519",2025,3,7
"020000519",2025,4,6
"020000519",2025,5,3
"020000519",2025,6,7
"020010047",2021,1,12
"020010047",2021,2,4
"020010047",2021,3,9
"020010047",2021,4,1
"020010047",2021,5,7
"020010047",2021,6,6
"020010047",2021,7,2
"020010047",2021,8,6
"020010047",2021,9,10
"020010047",2021,10,10
"020010047",2021,11,7
"020010047",2021,12,7
"020010047",2022,1,11
"020010047",2022,2,7
"020010047",2022,3,18
"020010047",2022,4,10
"020010047",2022,5,12
"020010047",2022,6,4
"020010047",2022,7,4
"020010047",2022,8,4
"020010047",2022,9,3
"020010047",2022,10,3
"020010047",2022,11,4
"020010047",2022,12,6
"020010047",2023,1,4
"020010047",2023,2,5
"020010047",2023,3,8
"020010047",2023,4,1
"020010047",2023,5,5
"020010047",2023,6,5
"020010047",2023,7,2
"020010047",2023,8,9
"020010047",2023,9,6
"020010047",2023,10,5
"020010047",2023,11,3
"020010047",2023,12,3
"020010047",2024,1,7
"020010047",2024,3,7
"020010047",2024,4,6
"020010047",2024,5,5
"020010047",2024,6,8
"020010047",2024,7,2
"020010047",2024,8,3
"020010047",2024,9,13
"020010047",2024,10,5
"020010047",2024,11,8
"020010047",2024,12,3
"020010047",2025,1,9
"020010047",2025,2,8
"020010047",2025,3,4
"020010047",2025,4,6
"020010047",2025,5,6
"020010047",2025,6,7
"030781116",2021,1,6
"030781116",2021,2,5
"030781116",2021,3,13
"030781116",2021,4,1
"030781116",2021,5,5
"030781116",2021,6,6
"030781116",2021,7,1
"030781116",2021,8,7
"030781116",2021,9,5
"030781116",2021,10,7
"030781116",2021,11,5
"030781116",2021,12,2
"030781116",2022,1,3
"030781116",2022,2,1
"030781116",2022,3,4
"030781116",2022,4,3
"030781116",2022,5,2
"030781116",2022,6,3
"030781116",2022,7,4
"030781116",2022,8,2
"030781116",2022,9,5
"030781116",2022,10,8
"030781116",2022,11,6
"030781116",2022,12,3
"030781116",2023,1,9
"030781116",2023,2,3
"030781116",2023,3,4
"030781116",2023,4,5
"030781116",2023,5,7
"030781116",2023,6,6
"030781116",2023,7,2
"030781116",2023,8,1
"030781116",2023,9,3
"030781116",2023,10,7
"030781116",2023,11,11
"030781116",2023,12,1
"030781116",2024,1,2
"030781116",2024,2,2
"030781116",2024,3,7
"030781116",2024,4,7
"030781116",2024,5,9
"030781116",2024,6,6
"030781116",2024,7,4
"030781116",2024,8,5
"030781116",2024,9,4
"030781116",2024,10,5
"030781116",2024,11,7
"030781116",2024,12,1
"030781116",2025,1,3
"030781116",2025,2,8
"030781116",2025,3,2
"030781116",2025,4,5
