"lib_reg","annee","n"
"AUVERGNE-RHÃ”NE-ALPES",2021,5228
"AUVERGNE-RHÃ”NE-ALPES",2022,4534
"AUVERGNE-RHÃ”NE-ALPES",2023,4312
"AUVERGNE-RHÃ”NE-ALPES",2024,4068
"AUVERGNE-RHÃ”NE-ALPES",2025,2044
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,1567
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,1352
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,1289
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,1250
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,719
"BRETAGNE",2021,1253
"BRETAGNE",2022,1189
"BRETAGNE",2023,1196
"BRETAGNE",2024,1058
"BRETAGNE",2025,526
"CENTRE-VAL DE LOIRE",2021,697
"CENTRE-VAL DE LOIRE",2022,728
"CENTRE-VAL DE LOIRE",2023,756
"CENTRE-VAL DE LOIRE",2024,685
"CENTRE-VAL DE LOIRE",2025,372
"CORSE",2021,128
"CORSE",2022,103
"CORSE",2023,92
"CORSE",2024,84
"CORSE",2025,55
"GRAND EST",2021,3142
"GRAND EST",2022,3118
"GRAND EST",2023,3179
"GRAND EST",2024,2824
"GRAND EST",2025,1484
"GUADELOUPE",2021,197
"GUADELOUPE",2022,240
"GUADELOUPE",2023,239
"GUADELOUPE",2024,181
"GUADELOUPE",2025,72
"HAUTS-DE-FRANCE",2021,3975
"HAUTS-DE-FRANCE",2022,3959
"HAUTS-DE-FRANCE",2023,3859
"HAUTS-DE-FRANCE",2024,3555
"HAUTS-DE-FRANCE",2025,1873
"ILE-DE-FRANCE",2021,7506
"ILE-DE-FRANCE",2022,6957
"ILE-DE-FRANCE",2023,6320
"ILE-DE-FRANCE",2024,5530
"ILE-DE-FRANCE",2025,2891
"LA RÃ‰UNION",2021,407
"LA RÃ‰UNION",2022,480
"LA RÃ‰UNION",2023,474
"LA RÃ‰UNION",2024,398
"LA RÃ‰UNION",2025,166
"MARTINIQUE",2021,88
"MARTINIQUE",2022,80
"MARTINIQUE",2023,91
"MARTINIQUE",2024,81
"MARTINIQUE",2025,36
"NORMANDIE",2021,1850
"NORMANDIE",2022,1815
"NORMANDIE",2023,1666
"NORMANDIE",2024,1552
"NORMANDIE",2025,824
"NOUVELLE-AQUITAINE",2021,2690
"NOUVELLE-AQUITAINE",2022,2566
"NOUVELLE-AQUITAINE",2023,2573
"NOUVELLE-AQUITAINE",2024,2601
"NOUVELLE-AQUITAINE",2025,1216
"OCCITANIE",2021,3766
"OCCITANIE",2022,3655
"OCCITANIE",2023,3264
"OCCITANIE",2024,2991
"OCCITANIE",2025,1421
"PAYS DE LA LOIRE",2021,1491
"PAYS DE LA LOIRE",2022,1520
"PAYS DE LA LOIRE",2023,1377
"PAYS DE LA LOIRE",2024,1301
"PAYS DE LA LOIRE",2025,636
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,3589
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,3286
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,3126
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,2810
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,1592
