"finessGeoDP","annee","clav_cat_90","TOT","COMPL_nb","COMPL_pct"
"010780195",2021,3,83,1,1.2
"010780195",2021,4,83,1,1.2
"010780195",2022,3,63,3,4.76
"010780195",2023,3,79,1,1.27
"010780195",2024,4,72,2,2.78
"010780203",2021,3,83,1,1.2
"010780203",2022,3,101,3,2.97
"010780203",2023,3,121,3,2.48
"010780203",2023,4,121,1,0.83
"010780203",2024,3,92,3,3.26
"010780203",2024,4,92,2,2.17
"010780203",2025,3,48,3,6.25
"020000162",2021,4,64,1,1.56
"020000162",2022,3,62,1,1.61
"020000162",2022,4,62,1,1.61
"020000162",2022,5,62,1,1.61
"020000162",2023,3,57,3,5.26
"020000162",2024,3,58,1,1.72
"020000162",2025,3,49,1,2.04
"020000394",2022,3,53,1,1.89
"020000394",2022,4,53,1,1.89
"020000394",2023,3,35,1,2.86
"020000394",2023,4,35,1,2.86
"020000519",2021,3,21,1,4.76
"020000519",2021,4,21,1,4.76
"020000519",2022,3,55,1,1.82
"020000519",2022,4,55,2,3.64
"020000519",2023,3,53,1,1.89
"020000519",2024,3,66,2,3.03
"020010047",2024,3,67,1,1.49
"030781116",2021,3,63,2,3.17
"030781116",2022,3,44,1,2.27
"030781116",2023,3,59,2,3.39
"030781116",2024,3,59,1,1.69
"030781116",2025,3,28,1,3.57
"040000093",2022,3,34,1,2.94
"040000093",2023,3,37,2,5.41
"040000093",2024,3,25,1,4
"040000093",2025,3,15,1,6.67
"050000348",2021,3,52,2,3.85
"050000348",2021,4,52,2,3.85
"050000348",2022,3,48,1,2.08
"050000348",2023,4,31,1,3.23
"050000348",2023,5,31,1,3.23
"050000348",2024,4,51,1,1.96
"050000348",2025,3,19,1,5.26
"060000478",2021,3,37,1,2.7
"060000478",2021,4,37,2,5.41
"060000478",2022,3,28,3,10.71
"060000478",2023,4,34,1,2.94
"060000510",2021,3,119,2,1.68
"060000510",2024,4,88,3,3.41
"060021417",2021,3,77,2,2.6
"060021417",2021,4,77,1,1.3
"060021417",2023,3,92,1,1.09
"060021417",2023,4,92,1,1.09
"060021417",2024,3,83,4,4.82
"060021417",2025,3,40,2,5
"060780491",2021,4,92,1,1.09
"060780491",2022,3,88,2,2.27
"060780491",2022,4,88,2,2.27
"060780491",2023,3,62,1,1.61
"060780491",2023,4,62,2,3.23
"060780491",2024,3,96,3,3.12
"060780491",2025,3,68,3,4.41
"060780491",2025,4,68,4,5.88
"060780590",2021,3,79,1,1.27
"060780590",2022,3,60,2,3.33
"060780590",2023,3,33,1,3.03
"060780590",2024,3,51,2,3.92
"060780590",2025,3,13,1,7.69
"060780590",2025,4,13,1,7.69
"060780715",2021,3,84,3,3.57
"060780715",2022,3,69,1,1.45
"060780715",2024,3,42,1,2.38
"060780715",2024,5,42,1,2.38
"060789195",2021,3,195,3,1.54
"060789195",2021,4,195,1,0.51
"060789195",2022,3,221,2,0.9
"060789195",2023,3,188,2,1.06
"060789195",2023,4,188,1,0.53
"060789195",2023,5,188,1,0.53
