"finessGeoDP","date","annee","mois","TOT","COMPL_nb","COMPL_pct","COMPL_pct_roll12"
"010780195",2021-01-01,2021,1,2,0,0,NA
"010780195",2021-02-01,2021,2,9,0,0,NA
"010780195",2021-03-01,2021,3,12,0,0,NA
"010780195",2021-04-01,2021,4,3,0,0,NA
"010780195",2021-05-01,2021,5,7,0,0,NA
"010780195",2021-06-01,2021,6,10,0,0,NA
"010780195",2021-07-01,2021,7,6,0,0,NA
"010780195",2021-08-01,2021,8,7,1,14.2857142857143,NA
"010780195",2021-09-01,2021,9,10,0,0,NA
"010780195",2021-10-01,2021,10,7,0,0,NA
"010780195",2021-11-01,2021,11,5,1,20,NA
"010780195",2021-12-01,2021,12,5,0,0,2.41
"010780195",2022-01-01,2022,1,1,0,0,2.44
"010780195",2022-02-01,2022,2,7,1,14.2857142857143,3.75
"010780195",2022-03-01,2022,3,5,0,0,4.11
"010780195",2022-04-01,2022,4,8,1,12.5,5.13
"010780195",2022-05-01,2022,5,4,0,0,5.33
"010780195",2022-06-01,2022,6,5,0,0,5.71
"010780195",2022-07-01,2022,7,6,0,0,5.71
"010780195",2022-08-01,2022,8,4,0,0,4.48
"010780195",2022-09-01,2022,9,4,0,0,4.92
"010780195",2022-10-01,2022,10,6,0,0,5
"010780195",2022-11-01,2022,11,9,1,11.1111111111111,4.69
"010780195",2022-12-01,2022,12,4,0,0,4.76
"010780195",2023-01-01,2023,1,6,0,0,4.41
"010780195",2023-02-01,2023,2,8,0,0,2.9
"010780195",2023-03-01,2023,3,9,0,0,2.74
"010780195",2023-04-01,2023,4,5,0,0,1.43
"010780195",2023-05-01,2023,5,4,0,0,1.43
"010780195",2023-06-01,2023,6,7,0,0,1.39
"010780195",2023-07-01,2023,7,7,1,14.2857142857143,2.74
"010780195",2023-08-01,2023,8,3,0,0,2.78
"010780195",2023-09-01,2023,9,8,0,0,2.63
"010780195",2023-10-01,2023,10,9,0,0,2.53
"010780195",2023-11-01,2023,11,8,0,0,1.28
"010780195",2023-12-01,2023,12,5,0,0,1.27
"010780195",2024-01-01,2024,1,8,1,12.5,2.47
"010780195",2024-02-01,2024,2,10,0,0,2.41
"010780195",2024-03-01,2024,3,10,1,10,3.57
"010780195",2024-04-01,2024,4,5,0,0,3.57
"010780195",2024-05-01,2024,5,7,0,0,3.45
"010780195",2024-06-01,2024,6,9,0,0,3.37
"010780195",2024-07-01,2024,7,9,0,0,2.2
"010780195",2024-08-01,2024,8,0,0,NA,2.27
"010780195",2024-09-01,2024,9,4,0,0,2.38
"010780195",2024-10-01,2024,10,5,0,0,2.5
"010780195",2024-11-01,2024,11,4,0,0,2.63
"010780195",2024-12-01,2024,12,1,0,0,2.78
"010780195",2025-01-01,2025,1,8,0,0,1.39
"010780195",2025-02-01,2025,2,5,0,0,1.49
"010780195",2025-03-01,2025,3,11,0,0,0
"010780195",2025-04-01,2025,4,7,0,0,0
"010780203",2021-01-01,2021,1,10,0,0,NA
"010780203",2021-02-01,2021,2,10,0,0,NA
"010780203",2021-03-01,2021,3,2,0,0,NA
"010780203",2021-04-01,2021,4,4,0,0,NA
"010780203",2021-05-01,2021,5,10,0,0,NA
"010780203",2021-06-01,2021,6,8,0,0,NA
"010780203",2021-07-01,2021,7,9,0,0,NA
"010780203",2021-08-01,2021,8,5,0,0,NA
"010780203",2021-09-01,2021,9,4,0,0,NA
"010780203",2021-10-01,2021,10,10,0,0,NA
"010780203",2021-11-01,2021,11,7,0,0,NA
"010780203",2021-12-01,2021,12,4,1,25,1.2
"010780203",2022-01-01,2022,1,2,0,0,1.33
"010780203",2022-02-01,2022,2,18,2,11.1111111111111,3.61
"010780203",2022-03-01,2022,3,7,0,0,3.41
"010780203",2022-04-01,2022,4,4,0,0,3.41
"010780203",2022-05-01,2022,5,3,0,0,3.7
"010780203",2022-06-01,2022,6,3,0,0,3.95
"010780203",2022-07-01,2022,7,11,0,0,3.85
"010780203",2022-08-01,2022,8,6,0,0,3.8
"010780203",2022-09-01,2022,9,16,1,6.25,4.4
"010780203",2022-10-01,2022,10,11,0,0,4.35
"010780203",2022-11-01,2022,11,11,0,0,4.17
"010780203",2022-12-01,2022,12,9,0,0,2.97
"010780203",2023-01-01,2023,1,17,0,0,2.59
"010780203",2023-02-01,2023,2,14,2,14.2857142857143,2.68
"010780203",2023-03-01,2023,3,11,1,9.09090909090909,3.45
"010780203",2023-04-01,2023,4,10,0,0,3.28
"010780203",2023-05-01,2023,5,11,1,9.09090909090909,3.85
"010780203",2023-06-01,2023,6,7,0,0,3.73
"010780203",2023-07-01,2023,7,2,0,0,4
"010780203",2023-08-01,2023,8,6,0,0,4
"010780203",2023-09-01,2023,9,11,0,0,3.33
"010780203",2023-10-01,2023,10,14,0,0,3.25
"010780203",2023-11-01,2023,11,10,0,0,3.28
"010780203",2023-12-01,2023,12,8,0,0,3.31
"010780203",2024-01-01,2024,1,10,1,10,4.39
"010780203",2024-02-01,2024,2,9,2,22.2222222222222,4.59
"010780203",2024-03-01,2024,3,8,0,0,3.77
"010780203",2024-04-01,2024,4,4,0,0,4
"010780203",2024-05-01,2024,5,7,0,0,3.12
"010780203",2024-06-01,2024,6,9,0,0,3.06
"010780203",2024-07-01,2024,7,12,0,0,2.78
"010780203",2024-08-01,2024,8,5,1,20,3.74
"010780203",2024-09-01,2024,9,11,1,9.09090909090909,4.67
"010780203",2024-10-01,2024,10,4,0,0,5.15
"010780203",2024-11-01,2024,11,9,0,0,5.21
"010780203",2024-12-01,2024,12,4,0,0,5.43
"010780203",2025-01-01,2025,1,7,0,0,4.49
"010780203",2025-02-01,2025,2,6,1,16.6666666666667,3.49
"010780203",2025-03-01,2025,3,6,1,16.6666666666667,4.76
"010780203",2025-04-01,2025,4,7,1,14.2857142857143,5.75
"010780203",2025-05-01,2025,5,14,0,0,5.32
"010780203",2025-06-01,2025,6,8,0,0,5.38
"020000162",2021-01-01,2021,1,3,0,0,NA
"020000162",2021-02-01,2021,2,4,0,0,NA
"020000162",2021-03-01,2021,3,2,0,0,NA
"020000162",2021-04-01,2021,4,7,0,0,NA
