"finessGeoDP","annee","TOT","COMPL_nb","COMPL_pct"
"010780195",2021,83,2,2.4
"010780195",2022,63,3,4.8
"010780195",2023,79,1,1.3
"010780195",2024,72,2,2.8
"010780195",2025,31,0,0
"010780203",2021,83,1,1.2
"010780203",2022,101,3,3
"010780203",2023,121,4,3.3
"010780203",2024,92,5,5.4
"010780203",2025,48,3,6.2
"020000162",2021,64,1,1.6
"020000162",2022,62,3,4.8
"020000162",2023,57,3,5.3
"020000162",2024,58,1,1.7
"020000162",2025,49,1,2
"020000394",2021,43,0,0
"020000394",2022,53,2,3.8
"020000394",2023,35,2,5.7
"020000394",2024,47,0,0
"020000394",2025,20,0,0
"020000519",2021,21,2,9.5
"020000519",2022,55,3,5.5
"020000519",2023,53,1,1.9
"020000519",2024,66,2,3
"020000519",2025,35,0,0
"020010047",2021,81,0,0
"020010047",2022,86,0,0
"020010047",2023,56,0,0
"020010047",2024,67,1,1.5
"020010047",2025,40,0,0
"030781116",2021,63,2,3.2
"030781116",2022,44,1,2.3
"030781116",2023,59,2,3.4
"030781116",2024,59,1,1.7
"030781116",2025,28,1,3.6
"040000093",2021,14,0,0
"040000093",2022,34,1,2.9
"040000093",2023,37,2,5.4
"040000093",2024,25,1,4
"040000093",2025,15,1,6.7
"050000348",2021,52,4,7.7
"050000348",2022,48,1,2.1
"050000348",2023,31,2,6.5
"050000348",2024,51,1,2
"050000348",2025,19,1,5.3
"060000478",2021,37,3,8.1
"060000478",2022,28,3,10.7
"060000478",2023,34,1,2.9
"060000478",2024,25,0,0
"060000478",2025,9,0,0
"060000510",2021,119,2,1.7
"060000510",2022,107,0,0
"060000510",2023,78,0,0
"060000510",2024,88,3,3.4
"060000510",2025,36,0,0
"060021417",2021,77,3,3.9
"060021417",2022,74,0,0
"060021417",2023,92,2,2.2
"060021417",2024,83,4,4.8
"060021417",2025,40,2,5
"060780491",2021,92,1,1.1
"060780491",2022,88,4,4.5
"060780491",2023,62,3,4.8
"060780491",2024,96,3,3.1
"060780491",2025,68,7,10.3
"060780590",2021,79,1,1.3
"060780590",2022,60,2,3.3
"060780590",2023,33,1,3
"060780590",2024,51,2,3.9
"060780590",2025,13,2,15.4
"060780715",2021,84,3,3.6
"060780715",2022,69,1,1.4
"060780715",2023,71,0,0
"060780715",2024,42,2,4.8
"060780715",2025,60,0,0
"060789195",2021,195,4,2.1
"060789195",2022,221,2,0.9
"060789195",2023,188,4,2.1
"060789195",2024,110,4,3.6
"060789195",2025,41,0,0
"060800166",2021,34,2,5.9
"060800166",2022,33,1,3
"060800166",2023,32,0,0
"060800166",2024,10,1,10
"060800166",2025,5,0,0
"070780424",2021,114,4,3.5
"070780424",2022,119,0,0
"070780424",2023,91,3,3.3
"070780424",2024,85,0,0
"070780424",2025,57,4,7
"080010473",2021,135,4,3
"080010473",2022,121,2,1.7
"080010473",2023,119,6,5
"080010473",2024,111,1,0.9
"080010473",2025,52,0,0
"100000082",2021,107,2,1.9
"100000082",2022,46,0,0
"100000124",2021,103,2,1.9
"100000124",2022,161,3,1.9
"100000124",2023,127,3,2.4
"100000124",2024,76,3,3.9
"100000124",2025,61,0,0
"100010818",2021,24,1,4.2
"100010818",2022,48,1,2.1
"100010818",2023,100,1,1
"100010818",2024,91,0,0
"110000023",2021,103,1,1
"110000023",2022,103,2,1.9
"110000023",2023,106,0,0
"110000023",2024,89,0,0
"110000023",2025,79,2,2.5
"110000056",2021,45,4,8.9
"110000056",2022,51,0,0
"110000056",2023,35,2,5.7
"110000056",2024,41,3,7.3
"110000056",2025,18,0,0
"130000409",2021,36,1,2.8
"130000409",2022,56,4,7.1
"130000409",2023,49,0,0
"130000409",2024,32,1,3.1
"130000409",2025,25,2,8
"130001225",2021,57,1,1.8
"130001225",2022,74,3,4.1
"130001225",2023,58,2,3.4
"130001225",2024,48,1,2.1
"130001225",2025,28,2,7.1
"130043664",2021,281,8,2.8
"130043664",2022,209,4,1.9
"130043664",2023,204,5,2.5
"130043664",2024,222,3,1.4
"130043664",2025,139,6,4.3
"130780521",2021,73,3,4.1
"130780521",2022,51,2,3.9
"130780521",2023,70,1,1.4
"130780521",2024,100,0,0
"130780521",2025,48,3,6.2
"130781479",2021,136,2,1.5
"130781479",2022,148,0,0
"130781479",2023,144,5,3.5
"130781479",2024,142,1,0.7
"130781479",2025,79,3,3.8
"130782162",2021,121,5,4.1
"130782162",2022,117,3,2.6
"130782162",2023,98,1,1
"130782162",2024,86,1,1.2
"130782162",2025,64,0,0
"130783236",2021,125,4,3.2
"130783236",2022,128,0,0
"130783236",2023,115,5,4.3
"130783236",2024,48,0,0
"130783236",2025,18,0,0
"130783327",2021,164,3,1.8
"130783327",2022,230,4,1.7
"130783327",2023,224,4,1.8
"130783327",2024,248,4,1.6
"130783327",2025,148,1,0.7
"130784051",2021,75,2,2.7
"130784051",2022,48,3,6.2
"130784051",2023,53,2,3.8
"130784051",2024,16,3,18.8
"130785652",2021,100,5,5
"130785652",2022,95,1,1.1
"130785652",2023,99,10,10.1
"130785652",2024,103,3,2.9
"130785652",2025,50,3,6
"130786361",2021,262,2,0.8
"130786361",2022,263,1,0.4
"130786361",2023,274,1,0.4
"130786361",2024,270,5,1.9
"130786361",2025,149,1,0.7
"130786742",2021,41,2,4.9
"130786742",2022,34,3,8.8
"130786742",2023,46,1,2.2
"130786742",2024,41,0,0
"130786742",2025,24,3,12.5
"130810740",2021,158,10,6.3
"130810740",2022,145,8,5.5
"130810740",2023,141,7,5
"130810740",2024,120,2,1.7
"130810740",2025,73,4,5.5
"140000209",2021,177,7,4
"140000209",2022,201,12,6
"140000209",2023,189,11,5.8
"140000209",2024,95,9,9.5
"140000209",2025,48,3,6.2
"140000290",2021,52,0,0
"140000290",2022,49,3,6.1
"140016759",2021,153,9,5.9
"140016759",2022,140,6,4.3
"140016759",2023,101,6,5.9
"140016759",2024,88,3,3.4
"140016759",2025,57,3,5.3
"140017237",2021,49,2,4.1
"140017237",2022,51,2,3.9
"140017237",2023,44,4,9.1
"140017237",2024,61,1,1.6
"140017237",2025,36,3,8.3
"140018730",2022,1,0,0
"140018730",2023,39,0,0
"140018730",2024,59,0,0
"140018730",2025,20,1,5
"160000253",2021,49,1,2
"160000253",2022,33,0,0
"160000253",2023,51,0,0
"160000253",2024,43,0,0
"160000253",2025,20,1,5
"160013207",2021,83,3,3.6
"160013207",2022,78,0,0
"160013207",2023,94,3,3.2
"160013207",2024,89,0,0
"160013207",2025,53,0,0
"170000095",2021,60,0,0
"170000095",2022,58,1,1.7
"170000095",2023,50,1,2
"170000095",2024,43,1,2.3
"170000152",2021,155,10,6.5
