"annee","mois","TOT","COMPL_nb","COMPL_pct","COMPL_pct_roll12"
2021,1,3858,130,3.4,NA
2021,2,3160,114,3.6,NA
2021,3,3811,105,2.8,NA
2021,4,1980,49,2.5,NA
2021,5,2859,84,2.9,NA
2021,6,4505,128,2.8,NA
2021,7,3003,86,2.9,NA
2021,8,1997,66,3.3,NA
2021,9,3569,94,2.6,NA
2021,10,3374,110,3.3,NA
2021,11,3322,96,2.9,NA
2021,12,2136,66,3.1,3.01
2022,1,2774,75,2.7,2.94
2022,2,2974,83,2.8,2.87
2022,3,4012,108,2.7,2.86
2022,4,2871,78,2.7,2.87
2022,5,3490,88,2.5,2.83
2022,6,3505,107,3.1,2.86
2022,7,2355,69,2.9,2.86
2022,8,1952,72,3.7,2.88
2022,9,3286,107,3.3,2.95
2022,10,2979,70,2.3,2.86
2022,11,3177,79,2.5,2.82
2022,12,2207,67,3,2.82
2023,1,3600,107,3,2.85
2023,2,2800,75,2.7,2.84
2023,3,3459,109,3.2,2.89
2023,4,2590,90,3.5,2.95
2023,5,2915,74,2.5,2.96
2023,6,3256,67,2.1,2.86
2023,7,2419,60,2.5,2.83
2023,8,1644,47,2.9,2.79
2023,9,2951,92,3.1,2.76
2023,10,3062,97,3.2,2.84
2023,11,3050,75,2.5,2.85
2023,12,2067,60,2.9,2.84
2024,1,3302,88,2.7,2.81
2024,2,2739,72,2.6,2.8
2024,3,2951,83,2.8,2.76
2024,4,2909,83,2.9,2.71
2024,5,2592,76,2.9,2.75
2024,6,2767,65,2.3,2.77
2024,7,2501,49,2,2.73
2024,8,1313,36,2.7,2.72
2024,9,2564,53,2.1,2.64
2024,10,2707,73,2.7,2.59
2024,11,2683,53,2,2.55
2024,12,1941,31,1.6,2.46
2025,1,2983,125,4.2,2.61
2025,2,2544,102,4,2.73
2025,3,2838,113,4,2.84
2025,4,2744,117,4.3,2.96
2025,5,2339,81,3.5,3.01
2025,6,2479,61,2.5,3.04
