"statut","annee","mois","TOT","COMPL_nb","COMPL_pct","COMPL_pct_roll12"
"private for profit",2021,1,2582,83,3.2,NA
"private for profit",2021,2,2111,77,3.6,NA
"private for profit",2021,3,2493,65,2.6,NA
"private for profit",2021,4,1356,30,2.2,NA
"private for profit",2021,5,2075,58,2.8,NA
"private for profit",2021,6,2859,78,2.7,NA
"private for profit",2021,7,1899,51,2.7,NA
"private for profit",2021,8,1225,43,3.5,NA
"private for profit",2021,9,2254,59,2.6,NA
"private for profit",2021,10,2196,60,2.7,NA
"private for profit",2021,11,2177,48,2.2,NA
"private for profit",2021,12,1374,41,3,2.8
"private for profit",2022,1,1824,50,2.7,2.75
"private for profit",2022,2,1962,57,2.9,2.69
"private for profit",2022,3,2528,61,2.4,2.67
"private for profit",2022,4,1857,47,2.5,2.68
"private for profit",2022,5,2237,61,2.7,2.67
"private for profit",2022,6,2211,75,3.4,2.74
"private for profit",2022,7,1528,41,2.7,2.74
"private for profit",2022,8,1228,46,3.7,2.75
"private for profit",2022,9,2119,63,3,2.79
"private for profit",2022,10,1956,42,2.1,2.74
"private for profit",2022,11,2016,47,2.3,2.75
"private for profit",2022,12,1391,35,2.5,2.72
"private for profit",2023,1,2390,62,2.6,2.71
"private for profit",2023,2,1842,46,2.5,2.67
"private for profit",2023,3,2211,64,2.9,2.73
"private for profit",2023,4,1694,55,3.2,2.78
"private for profit",2023,5,1859,40,2.2,2.74
"private for profit",2023,6,2042,40,2,2.61
"private for profit",2023,7,1554,45,2.9,2.62
"private for profit",2023,8,1001,24,2.4,2.55
"private for profit",2023,9,1855,58,3.1,2.55
"private for profit",2023,10,1959,52,2.7,2.61
"private for profit",2023,11,1896,39,2.1,2.59
"private for profit",2023,12,1216,36,3,2.62
"private for profit",2024,1,2170,56,2.6,2.62
"private for profit",2024,2,1733,47,2.7,2.64
"private for profit",2024,3,1936,60,3.1,2.65
"private for profit",2024,4,1848,48,2.6,2.6
"private for profit",2024,5,1679,47,2.8,2.66
"private for profit",2024,6,1740,44,2.5,2.71
"private for profit",2024,7,1563,31,2,2.64
"private for profit",2024,8,774,20,2.6,2.65
"private for profit",2024,9,1588,35,2.2,2.57
"private for profit",2024,10,1633,38,2.3,2.54
"private for profit",2024,11,1640,29,1.8,2.52
"private for profit",2024,12,1126,16,1.4,2.42
"private for profit",2025,1,1918,76,4,2.56
"private for profit",2025,2,1616,61,3.8,2.65
"private for profit",2025,3,1780,60,3.4,2.68
"private for profit",2025,4,1787,65,3.6,2.77
"private for profit",2025,5,1463,51,3.5,2.83
"private for profit",2025,6,1510,27,1.8,2.77
"private not-for-profit",2021,1,295,15,5.1,2.89
"private not-for-profit",2021,2,245,7,2.9,2.9
"private not-for-profit",2021,3,325,13,4,2.99
"private not-for-profit",2021,4,74,1,1.4,3.07
"private not-for-profit",2021,5,184,9,4.9,3.26
"private not-for-profit",2021,6,386,14,3.6,3.46
"private not-for-profit",2021,7,243,6,2.5,3.33
"private not-for-profit",2021,8,144,3,2.1,3.22
"private not-for-profit",2021,9,281,4,1.4,3.1
"private not-for-profit",2021,10,244,12,4.9,3.01
"private not-for-profit",2021,11,251,11,4.4,2.92
"private not-for-profit",2021,12,141,5,3.5,3.56
"private not-for-profit",2022,1,192,3,1.6,3.25
"private not-for-profit",2022,2,204,4,2,3.19
"private not-for-profit",2022,3,292,5,1.7,2.92
"private not-for-profit",2022,4,200,7,3.5,3
"private not-for-profit",2022,5,255,4,1.6,2.76
"private not-for-profit",2022,6,315,8,2.5,2.61
"private not-for-profit",2022,7,159,6,3.8,2.69
