"finessGeoDP","TOT","NEVER_nb","NEVER_pct"
"010780195",328,0,0
"010780203",445,0,0
"020000162",290,1,0.345
"020000394",198,0,0
"020000519",230,0,0
"020010047",330,0,0
"030781116",253,0,0
"040000093",125,0,0
"050000348",201,1,0.498
"060000478",133,0,0
"060000510",428,0,0
"060021417",366,0,0
"060780491",406,0,0
"060780590",236,0,0
"060780715",326,1,0.307
"060789195",755,1,0.132
"060800166",114,0,0
"070780424",466,0,0
"080010473",538,0,0
"100000082",153,1,0.654
"100000124",528,0,0
"100010818",263,1,0.38
"110000023",480,0,0
"110000056",190,0,0
"130000409",198,0,0
"130001225",265,0,0
"130043664",1055,0,0
"130780521",342,0,0
"130781479",649,0,0
"130782162",486,0,0
"130783236",434,1,0.23
"130783327",1014,0,0
"130784051",192,0,0
"130785652",447,0,0
"130786361",1218,0,0
"130786742",186,0,0
"130810740",637,0,0
"140000209",710,1,0.141
"140000290",101,0,0
"140016759",539,2,0.371
"140017237",241,0,0
"140018730",119,0,0
"160000253",196,0,0
"160013207",397,0,0
"170000095",211,0,0
"170000152",540,0,0
"170780563",259,0,0
"170780662",187,0,0
"180004145",291,0,0
"190013482",170,1,0.588
"210012670",1038,0,0
"210780789",586,1,0.171
"210987558",157,1,0.637
"220000012",141,0,0
"220005599",152,0,0
"220022800",395,0,0
"250011848",902,1,0.111
"260000260",429,0,0
"260003017",275,0,0
"280000084",138,0,0
"280504267",236,0,0
"280505777",170,0,0
"290000025",144,1,0.694
"290000215",86,0,0
"290004324",344,0,0
"290019777",350,0,0
"290036540",134,0,0
"2A0000139",111,0,0
"2B0000145",351,1,0.285
"300000023",157,0,0
"300780137",265,0,0
"300782117",973,0,0
"300788502",818,0,0
"310026927",258,0,0
"310780283",497,0,0
"310780382",263,0,0
"310781000",2565,1,0.039
"310781505",700,0,0
"310783055",536,0,0
"330000340",334,0,0
"330780115",239,0,0
"330780263",430,0,0
"330780479",303,1,0.33
"330780511",156,0,0
"330780529",1026,0,0
"330781402",974,0,0
"330782582",258,0,0
"330783648",361,1,0.277
"340000033",308,0,0
"340009885",196,0,0
"340015502",1129,1,0.089
"340015965",702,0,0
"340024314",208,0,0
"340780667",326,0,0
"340780675",493,0,0
"340780741",239,0,0
"340782036",1128,1,0.089
"350000121",1507,0,0
"350000139",194,0,0
"350000147",212,0,0
"350000741",150,0,0
"360000129",207,0,0
"370000093",661,1,0.151
"370004467",221,1,0.452
"370007569",221,0,0
"380000067",483,1,0.207
"380000174",196,0,0
"380012658",299,0,0
"380780197",355,0,0
"380785956",1145,0,0
"400000105",442,0,0
"410000020",231,0,0
"420010050",1135,1,0.088
"420011413",851,2,0.235
"420785354",301,0,0
"430000117",170,0,0
"440000271",653,2,0.306
"440000412",830,0,0
"440029338",641,0,0
"440033819",651,0,0
"440050433",507,0,0
"450002613",703,1,0.142
"450010079",159,0,0
"460000045",162,0,0
"470000027",279,0,0
"470000423",155,0,0
"470016049",435,0,0
"490000049",154,0,0
"490014909",1904,2,0.105
"500000146",122,0,0
"500000187",183,0,0
"500000203",161,0,0
"500000450",276,0,0
"500002357",224,1,0.446
"510002447",353,0,0
"510024979",991,0,0
"540000478",299,0,0
"540000486",352,0,0
