"finessGeo_index","Hospital_index","TOT_etb","TOT_compet","finessGeo_competitor","Hospital_competitor"
"010780195","CLINIQUE CONVERT BOURG-EN-B.",155,157,"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU"
"010780195","CLINIQUE CONVERT BOURG-EN-B.",144,34,"690780648","CLINIQUE DE LA SAUVEGARDE"
"010780195","CLINIQUE CONVERT BOURG-EN-B.",144,21,"690023239","CLINIQUE DU PARC"
"010780195","CLINIQUE CONVERT BOURG-EN-B.",110,19,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
"010780195","CLINIQUE CONVERT BOURG-EN-B.",111,18,"690780390","POLYCLINIQUE DE RILLIEUX"
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU",244,104,"010780195","CLINIQUE CONVERT BOURG-EN-B."
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU",300,71,"690780648","CLINIQUE DE LA SAUVEGARDE"
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU",279,44,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU",279,44,"690780390","POLYCLINIQUE DE RILLIEUX"
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU",273,42,"690023239","CLINIQUE DU PARC"
"020000162","CH SAINT-QUENTIN",173,155,"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE"
"020000162","CH SAINT-QUENTIN",141,24,"020000394","CH LAON"
"020000162","CH SAINT-QUENTIN",173,24,"590811279","HÃ”PITAL CLAUDE HURIEZ CHU LILLE"
"020000162","CH SAINT-QUENTIN",156,21,"590008041","POLYCLINIQUE VAUBAN"
"020000162","CH SAINT-QUENTIN",141,18,"600100754","POLYCLINIQUE SAINT-COME SA"
"020000394","CH LAON",81,21,"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE"
"020000394","CH LAON",66,8,"510024979","POLYCLINIQUE DE BEZANNES"
"020000394","CH LAON",66,6,"020000519","CH SOISSONS"
"020000394","CH LAON",66,6,"590008041","POLYCLINIQUE VAUBAN"
"020000394","CH LAON",81,5,"020000162","CH SAINT-QUENTIN"
"020000519","CH SOISSONS",153,79,"600100754","POLYCLINIQUE SAINT-COME SA"
