"finessGeoDP","rs","codeGeo","lib_com","NB_pts","PCT_pts","PCT_CUM_pts"
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01000","BOURG-EN-BRESSE",41,12.5,12.5
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01340","ATTIGNAT",22,6.7,19.2
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01250","CEYZÉRIAT",21,6.4,32
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01100","OYONNAX",21,6.4,25.6
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01240","SAINT-PAUL-DE-VARAX",14,4.3,36.3
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01500","AMBÉRIEU-EN-BUGEY",13,4,40.3
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01960","PÉRONNAS",12,3.7,44
"010780195","CLINIQUE CONVERT BOURG-EN-B.","01370","VAL-REVERMONT",11,3.4,47.4
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01500","AMBÉRIEU-EN-BUGEY",71,16,16
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01100","OYONNAX",45,10.1,26.1
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01150","LAGNIEU",41,9.2,35.3
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01800","MEXIMIEUX",34,7.6,42.9
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01C02","MONTRÉAL-LA-CLUSE",21,4.7,47.6
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01000","BOURG-EN-BRESSE",18,4,51.6
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01640","JUJURIEUX",16,3.6,55.2
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","38390","MONTALIEU-VERCIEU",15,3.4,58.6
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01160","PONT-D'AIN",14,3.1,61.7
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01230","ST RAMBERT EN BUGEY",13,2.9,64.6
