"codeGeo","lib_com","NB_pts","PCT_pts","PCT_CUM_pts","finessGeoDP","rs"
"01000","BOURG-EN-BRESSE",41,38,38,"010780195","CLINIQUE CONVERT BOURG-EN-B."
"01000","BOURG-EN-BRESSE",18,16.7,54.7,"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU"
"01000","BOURG-EN-BRESSE",11,10.2,64.9,"690780648","CLINIQUE DE LA SAUVEGARDE"
"01000","BOURG-EN-BRESSE",7,6.5,71.4,"380785956","CLINIQUE DES CEDRES"
"01000","BOURG-EN-BRESSE",6,5.6,77,"690023239","CLINIQUE DU PARC"
"01000","BOURG-EN-BRESSE",5,4.6,81.6,"690780390","POLYCLINIQUE DE RILLIEUX"
"01000","BOURG-EN-BRESSE",4,3.7,85.3,"710006859","POLYCLINIQUE DU VAL DE SAONE"
"01000","BOURG-EN-BRESSE",3,2.8,88.1,"710978289","CH LES CHANAUX MACON"
"01000","BOURG-EN-BRESSE",2,1.9,90,"690000575","CH NORD OUEST - VILLEFRANCHE"
"01000","BOURG-EN-BRESSE",2,1.9,91.9,"690022959","HÃ”PITAL PRIVÃ‰ MERE ENFANT NATECIA"
"01000","BOURG-EN-BRESSE",2,1.9,93.8,"690783154","HÃ”PITAL EDOUARD HERRIOT - HCL"
"01000","BOURG-EN-BRESSE",2,1.9,95.7,"710780917","HÃ”PITAL PRIVÃ‰ SAINTE MARIE"
"01000","BOURG-EN-BRESSE",1,0.9,96.6,"210012670","HÃ”PITAL PRIVÃ‰ DIJON BOURGOGNE"
"01000","BOURG-EN-BRESSE",1,0.9,97.5,"210987558","HÃ”PITAL LE BOCAGE CHRU DIJON"
"01000","BOURG-EN-BRESSE",1,0.9,98.4,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
"01000","BOURG-EN-BRESSE",1,0.9,99.3,"690041124","MEDIPOLE HÃ”PITAL PRIVÃ‰"
"01000","BOURG-EN-BRESSE",1,0.9,100.2,"690780655","HÃ”PITAL PRIVÃ‰ DE L'EST LYONNAIS"
"01090","MONTMERLE SUR SAONE",14,46.7,46.7,"690807367","POLYCLINIQUE DU BEAUJOLAIS"
"01090","MONTMERLE SUR SAONE",8,26.7,73.4,"690780648","CLINIQUE DE LA SAUVEGARDE"
"01090","MONTMERLE SUR SAONE",5,16.7,90.1,"690000575","CH NORD OUEST - VILLEFRANCHE"
"01090","MONTMERLE SUR SAONE",1,3.3,93.4,"690780655","HÃ”PITAL PRIVÃ‰ DE L'EST LYONNAIS"
"01090","MONTMERLE SUR SAONE",1,3.3,96.7,"690793468","INFIRMERIE PROTESTANTE DE LYON"
"01090","MONTMERLE SUR SAONE",1,3.3,100,"710978289","CH LES CHANAUX MACON"
"01100","OYONNAX",45,47.9,47.9,"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU"
"01100","OYONNAX",21,22.3,70.2,"010780195","CLINIQUE CONVERT BOURG-EN-B."
"01100","OYONNAX",9,9.6,79.8,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
"01100","OYONNAX",7,7.4,87.2,"690780648","CLINIQUE DE LA SAUVEGARDE"
"01100","OYONNAX",4,4.3,91.5,"690023239","CLINIQUE DU PARC"
"01100","OYONNAX",3,3.2,94.7,"380785956","CLINIQUE DES CEDRES"
"01100","OYONNAX",1,1.1,95.8,"690041124","MEDIPOLE HÃ”PITAL PRIVÃ‰"
"01100","OYONNAX",1,1.1,96.9,"690780390","POLYCLINIQUE DE RILLIEUX"
"01100","OYONNAX",1,1.1,98,"690780655","HÃ”PITAL PRIVÃ‰ DE L'EST LYONNAIS"
"01100","OYONNAX",1,1.1,99.1,"690793468","INFIRMERIE PROTESTANTE DE LYON"
"01100","OYONNAX",1,1.1,100.2,"740780424","CLINIQUE GENERALE ANNECY"
"01110","PLATEAU D'HAUTEVILLE",7,31.8,31.8,"690780648","CLINIQUE DE LA SAUVEGARDE"
"01110","PLATEAU D'HAUTEVILLE",5,22.7,54.5,"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU"
"01110","PLATEAU D'HAUTEVILLE",4,18.2,72.7,"010780195","CLINIQUE CONVERT BOURG-EN-B."
"01110","PLATEAU D'HAUTEVILLE",2,9.1,81.8,"690780390","POLYCLINIQUE DE RILLIEUX"
"01110","PLATEAU D'HAUTEVILLE",1,4.5,86.3,"690023239","CLINIQUE DU PARC"
"01110","PLATEAU D'HAUTEVILLE",1,4.5,90.8,"690780655","HÃ”PITAL PRIVÃ‰ DE L'EST LYONNAIS"
"01110","PLATEAU D'HAUTEVILLE",1,4.5,95.3,"690783154","HÃ”PITAL EDOUARD HERRIOT - HCL"
"01110","PLATEAU D'HAUTEVILLE",1,4.5,99.8,"740780424","CLINIQUE GENERALE ANNECY"
"01120","MONTLUEL",19,22.6,22.6,"690780390","POLYCLINIQUE DE RILLIEUX"
"01120","MONTLUEL",17,20.2,42.8,"690780648","CLINIQUE DE LA SAUVEGARDE"
"01120","MONTLUEL",11,13.1,55.9,"690023239","CLINIQUE DU PARC"
"01120","MONTLUEL",11,13.1,69,"690780655","HÃ”PITAL PRIVÃ‰ DE L'EST LYONNAIS"
"01120","MONTLUEL",5,6,75,"380785956","CLINIQUE DES CEDRES"
"01120","MONTLUEL",5,6,81,"690783154","HÃ”PITAL EDOUARD HERRIOT - HCL"
"01120","MONTLUEL",4,4.8,85.8,"690793468","INFIRMERIE PROTESTANTE DE LYON"
"01120","MONTLUEL",3,3.6,89.4,"690022959","HÃ”PITAL PRIVÃ‰ MERE ENFANT NATECIA"
"01120","MONTLUEL",3,3.6,93,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
"01120","MONTLUEL",2,2.4,95.4,"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU"
"01120","MONTLUEL",2,2.4,97.8,"690041124","MEDIPOLE HÃ”PITAL PRIVÃ‰"
"01120","MONTLUEL",1,1.2,99,"690000575","CH NORD OUEST - VILLEFRANCHE"
"01120","MONTLUEL",1,1.2,100.2,"690780416","GROUPEMENT HOSPITALIER MUTUALISTE LES PORTES DU SUD"
"01140","SAINT-DIDIER-SUR-CHALARONNE",13,43.3,43.3,"690000575","CH NORD OUEST - VILLEFRANCHE"
"01140","SAINT-DIDIER-SUR-CHALARONNE",3,10,53.3,"690807367","POLYCLINIQUE DU BEAUJOLAIS"
"01140","SAINT-DIDIER-SUR-CHALARONNE",3,10,63.3,"710978289","CH LES CHANAUX MACON"
"01140","SAINT-DIDIER-SUR-CHALARONNE",2,6.7,70,"690780648","CLINIQUE DE LA SAUVEGARDE"
"01140","SAINT-DIDIER-SUR-CHALARONNE",2,6.7,76.7,"690793468","INFIRMERIE PROTESTANTE DE LYON"
"01140","SAINT-DIDIER-SUR-CHALARONNE",2,6.7,83.4,"710006859","POLYCLINIQUE DU VAL DE SAONE"
"01140","SAINT-DIDIER-SUR-CHALARONNE",1,3.3,86.7,"010780195","CLINIQUE CONVERT BOURG-EN-B."
"01140","SAINT-DIDIER-SUR-CHALARONNE",1,3.3,90,"690023239","CLINIQUE DU PARC"
"01140","SAINT-DIDIER-SUR-CHALARONNE",1,3.3,93.3,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
"01140","SAINT-DIDIER-SUR-CHALARONNE",1,3.3,96.6,"690780390","POLYCLINIQUE DE RILLIEUX"
"01140","SAINT-DIDIER-SUR-CHALARONNE",1,3.3,99.9,"710010067","CH DU PAYS CHAROLAIS BRIONNAIS"
"01150","LAGNIEU",41,47.7,47.7,"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU"
"01150","LAGNIEU",14,16.3,64,"690780648","CLINIQUE DE LA SAUVEGARDE"
"01150","LAGNIEU",6,7,71,"690023239","CLINIQUE DU PARC"
"01150","LAGNIEU",6,7,78,"690780390","POLYCLINIQUE DE RILLIEUX"
"01150","LAGNIEU",6,7,85,"690780655","HÃ”PITAL PRIVÃ‰ DE L'EST LYONNAIS"
"01150","LAGNIEU",5,5.8,90.8,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
"01150","LAGNIEU",4,4.7,95.5,"690783154","HÃ”PITAL EDOUARD HERRIOT - HCL"
"01150","LAGNIEU",1,1.2,96.7,"690000575","CH NORD OUEST - VILLEFRANCHE"
"01150","LAGNIEU",1,1.2,97.9,"690022959","HÃ”PITAL PRIVÃ‰ MERE ENFANT NATECIA"
"01150","LAGNIEU",1,1.2,99.1,"690793468","INFIRMERIE PROTESTANTE DE LYON"
"01150","LAGNIEU",1,1.2,100.3,"690805361","CH ST JOSEPH ST LUC"
"01160","PONT-D'AIN",14,35,35,"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU"
"01160","PONT-D'AIN",8,20,55,"010780195","CLINIQUE CONVERT BOURG-EN-B."
"01160","PONT-D'AIN",5,12.5,67.5,"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ"
