ID,Table,Folder,File Rdata,Table summary,Variable,Description
1,TAB_VOL_HOP_YEAR,Activity,01_volume,Total number of bariatric procedure per year and per hospital,finessGeoDP,"""Finess"" number, identification number for each hospital"
,,,,,annee,year
,,,,,n,number of procedures per year per hospital
2,TAB_VOL_NATL_YEAR,Activity,01_volume,Total number of bariatric procedure per year on a national level (= France),annee,year
,,,,,n,number of procedures per year in France
3,TAB_VOL_REG_YEAR,Activity,01_volume,Total number of bariatric procedure per year on a regional level ,lib_reg,Name of the region
,,,,,annee,year
,,,,,n,number of procedures per year per region
4,TAB_VOL_STATUS_YEAR,Activity,01_volume,Total number of bariatric procedure per year per type of hospital (4 types = 4 status),statut,"Type of hospital (private, PFT, public, academic)"
,,,,,annee,year
,,,,,n,number of procedures per year per type of hospital
5,TAB_VOL_HOP_MONTH,Activity,01_volume,"Total number of bariatric procedure per year, per month and per hospital",finessGeoDP,"""Finess"" number, identification number for each hospital"
,,,,,annee,year
,,,,,mois,month
,,,,,n,number of procedures per year and per month per hospital
6,TAB_TREND_HOP,Activity,02_trends_volume,Difference (%) in number of procedure between 2024 and 2025 at the same period at an hospital level,finessGeoDP,"""Finess"" number, identification number for each hospital"
,,,,,Vol_2024,Number of procedure in 2024 at the same period
,,,,,Vol_2025,Number of procedure in 2025 (last solid information)
,,,,,diff_pct,percentage of difference between 2024 and 2025
,,,,,rs,"""raison sociale"", full hospital name"
,,,,,statut,"Type of hospital (private, PFT, public, academic)"
,,,,,lib_dep,Name of the departement
,,,,,lib_reg,Name of the region
,,,,,code_reg,ID  of the region
7,TAB_TREND_NATL,Activity,02_trends_volume,Difference (%) in number of procedure between 2024 and 2025 at the same period at a national level,Vol_2024,Number of procedure in 2024 at the same period
,,,,,Vol_2025,Number of procedure in 2025 (last solid information)
,,,,,diff_pct,percentage of difference between 2024 and 2025
8,TAB_TREND_REG,Activity,02_trends_volume,Difference (%) in number of procedure between 2024 and 2025 at the same period at a regional level,lib_reg,Name of the region
,,,,,Vol_2024,Number of procedure in 2024 at the same period
,,,,,Vol_2025,Number of procedure in 2025 (last solid information)
,,,,,diff_pct,percentage of difference between 2024 and 2025
9,TAB_TRENDS_STATUS,Activity,02_trends_volume,Difference (%) in number of procedure between 2024 and 2025 at the same period according to type (statut) of thehospitals,statut,"Type of hospital (private, PFT, public, academic)"
,,,,,Vol_2024,Number of procedure in 2024 at the same period
,,,,,Vol_2025,Number of procedure in 2025 (last solid information)
,,,,,diff_pct,percentage of difference between 2024 and 2025
10,TAB_TCN_HOP,Activity,03_type_procedure.RData,Number and rate of each different baraitric procedure per hospital,finessGeoDP,"""Finess"" number, identification number for each hospital"
,,,,,baria_t,type of baraitric procedure
,,,,,n,number of procedure
,,,,,pct,% of the specific type on the total number of procedue
11,TAB_TCN_NATL,Activity,03_type_procedure.RData,Number and rate of each different baraitric procedure on a national level,baria_t,type of baraitric procedure
,,,,,n,number of procedure
,,,,,pct,% of the specific type on the total number of procedue
12,TAB_TCN_REG,Activity,03_type_procedure.RData,Number and rate of each different baraitric procedure per region,lib_reg,Name of the region
,,,,,baria_t,type of baraitric procedure
,,,,,n,number of procedure
,,,,,pct,% of the specific type on the total number of procedue
13,TAB_TCN_STATUS,Activity,03_type_procedure.RData,Number and rate of each different baraitric procedure per statut of the hospital ,statut,"Type of hospital (private, PFT, public, academic)"
,,,,,baria_t,type of baraitric procedure
,,,,,n,number of procedure
,,,,,pct,% of the specific type on the total number of procedue
14,TAB_TCN_HOP_12M,Activity,03_type_procedure.RData,Number and rate of each different baraitric procedure per hospital for the last 12 months,finessGeoDP,"""Finess"" number, identification number for each hospital"
,,,,,baria_t,type of baraitric procedure
,,,,,n,number of procedure
,,,,,pct,% of the specific type on the total number of procedue
15,TAB_TCN_NATL_12M,Activity,03_type_procedure.RData,Number and rate of each different baraitric procedure on a national level for the last 12 months,baria_t,type of baraitric procedure
,,,,,n,number of procedure
,,,,,pct,% of the specific type on the total number of procedue
16,TAB_TCN_REG_12M,Activity,03_type_procedure.RData,Number and rate of each different baraitric procedure per region for the last 12 months,lib_reg,Name of the region
,,,,,baria_t,type of baraitric procedure
,,,,,n,number of procedure
,,,,,pct,% of the specific type on the total number of procedue
